model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.148196,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.170592,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.100912,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.275239,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.15812,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,dependency_depth,-0.03307,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.247173,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.190492,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.311504,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.448876,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,extra_entity_count,-0.140086,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,register_score,0.097922,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,translationese_score,-0.805521,0.695,-0.135523,600
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,-0.001759,0.695,-0.135523,600
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.129449,0.733333,0.337738,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.342999,0.733333,0.337738,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.157255,0.733333,0.337738,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.140907,0.733333,0.337738,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.165021,0.733333,0.337738,600
deepseek__deepseek-v4-flash,dependency_depth,-0.057844,0.733333,0.337738,600
deepseek__deepseek-v4-flash,mean_dependency_distance,0.260438,0.733333,0.337738,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.18718,0.733333,0.337738,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.434595,0.733333,0.337738,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.413226,0.733333,0.337738,600
deepseek__deepseek-v4-flash,extra_entity_count,-0.059086,0.733333,0.337738,600
deepseek__deepseek-v4-flash,register_score,0.03276,0.733333,0.337738,600
deepseek__deepseek-v4-flash,translationese_score,-0.865117,0.733333,0.337738,600
deepseek__deepseek-v4-flash,target_lm_naturalness_score,-0.098768,0.733333,0.337738,600
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.127702,0.7,-0.062414,600
google__gemini-3-flash-preview,bidirectional_entailment,0.173268,0.7,-0.062414,600
google__gemini-3-flash-preview,nli_boundary_risk,0.077395,0.7,-0.062414,600
google__gemini-3-flash-preview,nli_omission_risk,-0.244035,0.7,-0.062414,600
google__gemini-3-flash-preview,nli_contradiction_risk,-0.080297,0.7,-0.062414,600
google__gemini-3-flash-preview,dependency_depth,-0.002688,0.7,-0.062414,600
google__gemini-3-flash-preview,mean_dependency_distance,0.257984,0.7,-0.062414,600
google__gemini-3-flash-preview,normalized_dependency_distance,-0.319027,0.7,-0.062414,600
google__gemini-3-flash-preview,sentence_compression_ratio,-0.498662,0.7,-0.062414,600
google__gemini-3-flash-preview,extra_number_ratio,-0.385113,0.7,-0.062414,600
google__gemini-3-flash-preview,extra_entity_count,-0.018976,0.7,-0.062414,600
google__gemini-3-flash-preview,register_score,0.050378,0.7,-0.062414,600
google__gemini-3-flash-preview,translationese_score,-0.789263,0.7,-0.062414,600
google__gemini-3-flash-preview,target_lm_naturalness_score,-0.100455,0.7,-0.062414,600
moonshotai__kimi-k2.5,crosslingual_embedding_similarity,0.136238,0.708333,0.425775,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.285975,0.708333,0.425775,600
