model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,0.014258,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,forward_neutral,0.132113,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,forward_contradiction,-0.15006,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,backward_entailment,0.122486,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.095411,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,backward_contradiction,-0.135678,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.051562,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,-0.014265,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.122483,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,0.169187,0.54,-0.12702,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.008612,0.54,-0.12702,600
deepseek__deepseek-v4-flash,forward_entailment,0.06112,0.593333,0.262948,600
deepseek__deepseek-v4-flash,forward_neutral,-0.031236,0.593333,0.262948,600
deepseek__deepseek-v4-flash,forward_contradiction,-0.03721,0.593333,0.262948,600
deepseek__deepseek-v4-flash,backward_entailment,0.081722,0.593333,0.262948,600
deepseek__deepseek-v4-flash,backward_neutral,-0.060605,0.593333,0.262948,600
deepseek__deepseek-v4-flash,backward_contradiction,-0.104114,0.593333,0.262948,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.160583,0.593333,0.262948,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.06112,0.593333,0.262948,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.081718,0.593333,0.262948,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.216248,0.593333,0.262948,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,-0.027633,0.593333,0.262948,600
google__gemini-3-flash-preview,forward_entailment,0.044685,0.515,-0.062075,600
google__gemini-3-flash-preview,forward_neutral,0.127942,0.515,-0.062075,600
google__gemini-3-flash-preview,forward_contradiction,-0.180128,0.515,-0.062075,600
google__gemini-3-flash-preview,backward_entailment,0.118406,0.515,-0.062075,600
google__gemini-3-flash-preview,backward_neutral,-0.066321,0.515,-0.062075,600
google__gemini-3-flash-preview,backward_contradiction,-0.246575,0.515,-0.062075,600
google__gemini-3-flash-preview,bidirectional_entailment,0.069813,0.515,-0.062075,600
google__gemini-3-flash-preview,nli_boundary_risk,-0.044697,0.515,-0.062075,600
google__gemini-3-flash-preview,nli_omission_risk,-0.118398,0.515,-0.062075,600
google__gemini-3-flash-preview,nli_contradiction_risk,0.308652,0.515,-0.062075,600
google__gemini-3-flash-preview,semantic_fidelity_score,-0.048391,0.515,-0.062075,600
moonshotai__kimi-k2.5,forward_entailment,0.091363,0.611667,0.330443,600
moonshotai__kimi-k2.5,forward_neutral,0.132932,0.611667,0.330443,600
moonshotai__kimi-k2.5,forward_contradiction,-0.237788,0.611667,0.330443,600
moonshotai__kimi-k2.5,backward_entailment,-0.014756,0.611667,0.330443,600
moonshotai__kimi-k2.5,backward_neutral,0.000329,0.611667,0.330443,600
moonshotai__kimi-k2.5,backward_contradiction,0.066123,0.611667,0.330443,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.24912,0.611667,0.330443,600
moonshotai__kimi-k2.5,nli_boundary_risk,-0.091366,0.611667,0.330443,600
moonshotai__kimi-k2.5,nli_omission_risk,0.014763,0.611667,0.330443,600
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.040725,0.611667,0.330443,600
moonshotai__kimi-k2.5,semantic_fidelity_score,0.030023,0.611667,0.330443,600
openai__gpt-5.2,forward_entailment,0.111727,0.633333,0.423464,600
openai__gpt-5.2,forward_neutral,0.11255,0.633333,0.423464,600
openai__gpt-5.2,forward_contradiction,-0.240082,0.633333,0.423464,600
openai__gpt-5.2,backward_entailment,0.20682,0.633333,0.423464,600
openai__gpt-5.2,backward_neutral,-0.170661,0.633333,0.423464,600
openai__gpt-5.2,backward_contradiction,-0.186552,0.633333,0.423464,600
openai__gpt-5.2,bidirectional_entailment,-0.128949,0.633333,0.423464,600
openai__gpt-5.2,nli_boundary_risk,-0.11174,0.633333,0.423464,600
openai__gpt-5.2,nli_omission_risk,-0.206823,0.633333,0.423464,600
openai__gpt-5.2,nli_contradiction_risk,0.384337,0.633333,0.423464,600
openai__gpt-5.2,semantic_fidelity_score,-0.008206,0.633333,0.423464,600
