model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
anthropic__claude-sonnet-4.6,intercept,-0.149075,0.101722,-1.465507,0.142783,-0.34845,0.050301,False,0.73,600,200
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.151237,0.115283,1.311873,0.189563,-0.074718,0.377193,False,0.73,600,200
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.13453,0.149675,0.898815,0.368751,-0.158833,0.427894,False,0.73,600,200
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.082687,0.09474,0.872783,0.382781,-0.103003,0.268377,False,0.73,600,200
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.301935,0.127036,-2.376759,0.017466,-0.550926,-0.052943,True,0.73,600,200
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.179068,0.095239,-1.880208,0.06008,-0.365736,0.007599,False,0.73,600,200
anthropic__claude-sonnet-4.6,dependency_depth,-0.032394,0.108214,-0.299351,0.764672,-0.244494,0.179706,False,0.73,600,200
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.196672,0.137666,1.42862,0.153113,-0.073153,0.466497,False,0.73,600,200
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.25579,0.154171,-1.659135,0.097089,-0.557964,0.046385,False,0.73,600,200
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.396908,0.152432,-2.603834,0.009219,-0.695674,-0.098141,True,0.73,600,200
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.434886,0.147536,-2.947671,0.003202,-0.724056,-0.145717,True,0.73,600,200
anthropic__claude-sonnet-4.6,extra_entity_count,-0.107939,0.098591,-1.09481,0.2736,-0.301178,0.0853,False,0.73,600,200
anthropic__claude-sonnet-4.6,register_score,0.118627,0.102686,1.155246,0.247989,-0.082637,0.319891,False,0.73,600,200
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,0.111311,0.138807,0.80191,0.422605,-0.160751,0.383373,False,0.73,600,200
anthropic__claude-sonnet-4.6,target_function_word_density,-0.971385,0.113493,-8.558992,0.0,-1.193831,-0.748939,True,0.73,600,200
anthropic__claude-sonnet-4.6,target_passive_density,-0.11271,0.095492,-1.180315,0.237875,-0.299875,0.074454,False,0.73,600,200
anthropic__claude-sonnet-4.6,target_pronoun_subject_ratio,-0.122392,0.072734,-1.68274,0.092426,-0.26495,0.020166,False,0.73,600,200
anthropic__claude-sonnet-4.6,target_explicit_connective_density,-0.252618,0.106959,-2.361813,0.018186,-0.462258,-0.042978,True,0.73,600,200
anthropic__claude-sonnet-4.6,target_nominalization_suffix_density,0.039175,0.114528,0.342052,0.732312,-0.185301,0.26365,False,0.73,600,200
