model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,target_lm_log_perplexity,0.140756,0.051069,2.756191,0.005848,0.040661,0.240851,True,0.54,0.040198,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,-0.140756,0.051069,-2.756191,0.005848,-0.240851,-0.040661,True,0.54,0.040198,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,target_lm_log_perplexity,0.140621,0.053044,2.651026,0.008025,0.036655,0.244587,True,0.55,0.242337,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,target_lm_naturalness_score,-0.140621,0.053044,-2.651026,0.008025,-0.244587,-0.036655,True,0.55,0.242337,600,200,feature_family_multivariate
google__gemini-3-flash-preview,target_lm_log_perplexity,0.389364,0.069564,5.597185,0.0,0.253018,0.52571,True,0.621667,-0.327395,600,200,feature_family_multivariate
google__gemini-3-flash-preview,target_lm_naturalness_score,-0.389364,0.069564,-5.597185,0.0,-0.52571,-0.253018,True,0.621667,-0.327395,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,target_lm_log_perplexity,0.463967,0.078617,5.901631,0.0,0.309878,0.618056,True,0.606667,0.462216,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,target_lm_naturalness_score,-0.463967,0.078617,-5.901631,0.0,-0.618056,-0.309878,True,0.606667,0.462216,600,200,feature_family_multivariate
openai__gpt-5.2,target_lm_log_perplexity,0.307643,0.065922,4.666753,3e-06,0.178435,0.436851,True,0.556667,0.07501,600,200,feature_family_multivariate
openai__gpt-5.2,target_lm_naturalness_score,-0.307643,0.065922,-4.666753,3e-06,-0.436851,-0.178435,True,0.556667,0.07501,600,200,feature_family_multivariate
