version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
claude-version,deepseek__deepseek-v4-flash,intercept,0.337398,0.06362,5.303296,0.0,0.212702,0.462094,True,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.775625,0.081043,-9.570551,0.0,-0.934469,-0.616781,True,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,target_passive_density,-0.243364,0.082416,-2.952859,0.003148,-0.4049,-0.081828,True,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,-0.157332,0.066255,-2.374647,0.017566,-0.287192,-0.027472,True,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.282856,0.075229,-3.759933,0.00017,-0.430305,-0.135407,True,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.057315,0.078124,0.733643,0.463167,-0.095808,0.210438,False,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,target_avg_sentence_length,0.234454,0.091025,2.575708,0.010004,0.056045,0.412864,True,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,0.153965,0.086921,1.771323,0.076507,-0.0164,0.324329,False,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,extra_number_ratio,-0.159955,0.071732,-2.22989,0.025755,-0.30055,-0.01936,True,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,extra_entity_count,-0.066446,0.070043,-0.948644,0.342802,-0.203729,0.070838,False,0.673333,1200,400
claude-version,deepseek__deepseek-v4-flash,register_score,0.060613,0.063173,0.959476,0.337319,-0.063206,0.184431,False,0.673333,1200,400
claude-version,google__gemini-3-flash-preview,intercept,-0.045193,0.070102,-0.644665,0.519144,-0.182593,0.092208,False,0.705,1200,400
claude-version,google__gemini-3-flash-preview,target_function_word_density,-0.897964,0.085056,-10.557326,0.0,-1.064674,-0.731254,True,0.705,1200,400
claude-version,google__gemini-3-flash-preview,target_passive_density,-0.262779,0.079724,-3.296107,0.00098,-0.419038,-0.10652,True,0.705,1200,400
