model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,target_lm_log_perplexity,-0.110606,0.495,0.026754,600
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,0.110606,0.495,0.026754,600
deepseek__deepseek-v4-flash,target_lm_log_perplexity,-0.530515,0.588333,0.185587,600
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.530515,0.588333,0.185587,600
google__gemini-3-flash-preview,target_lm_log_perplexity,-0.143985,0.605,-0.414503,600
google__gemini-3-flash-preview,target_lm_naturalness_score,0.143985,0.605,-0.414503,600
moonshotai__kimi-k2.5,target_lm_log_perplexity,-0.024074,0.578333,0.315981,600
moonshotai__kimi-k2.5,target_lm_naturalness_score,0.024074,0.578333,0.315981,600
openai__gpt-5.2,target_lm_log_perplexity,-0.225538,0.528333,-0.040473,600
openai__gpt-5.2,target_lm_naturalness_score,0.225538,0.528333,-0.040473,600
