model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,-0.021143,0.515,0.04001,600
anthropic__claude-sonnet-4.6,forward_neutral,0.021842,0.516667,0.04001,600
anthropic__claude-sonnet-4.6,forward_contradiction,-0.00295,0.51,0.040005,600
anthropic__claude-sonnet-4.6,backward_entailment,0.339897,0.526667,0.035972,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.308935,0.53,0.036462,600
anthropic__claude-sonnet-4.6,backward_contradiction,-0.153966,0.51,0.040091,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.092439,0.521667,0.04007,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.021143,0.515,0.04001,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.339896,0.526667,0.035972,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.077547,0.505,0.040061,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.107613,0.521667,0.039986,600
deepseek__deepseek-v4-flash,forward_entailment,0.457158,0.588333,0.246813,600
deepseek__deepseek-v4-flash,forward_neutral,-0.474537,0.59,0.247537,600
deepseek__deepseek-v4-flash,forward_contradiction,-0.026717,0.56,0.241205,600
deepseek__deepseek-v4-flash,backward_entailment,0.709424,0.58,0.232123,600
deepseek__deepseek-v4-flash,backward_neutral,-0.719775,0.578333,0.230749,600
deepseek__deepseek-v4-flash,backward_contradiction,-0.145924,0.561667,0.241742,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.595906,0.598333,0.248677,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.457158,0.588333,0.246813,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.709412,0.58,0.232123,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.096387,0.56,0.24165,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.577925,0.6,0.243525,600
google__gemini-3-flash-preview,forward_entailment,-0.01316,0.578333,-0.315949,600
google__gemini-3-flash-preview,forward_neutral,0.010042,0.578333,-0.315943,600
google__gemini-3-flash-preview,forward_contradiction,0.023094,0.578333,-0.315977,600
google__gemini-3-flash-preview,backward_entailment,0.218393,0.583333,-0.320163,600
google__gemini-3-flash-preview,backward_neutral,-0.303879,0.585,-0.323265,600
google__gemini-3-flash-preview,backward_contradiction,0.238107,0.58,-0.316934,600
google__gemini-3-flash-preview,bidirectional_entailment,0.056571,0.578333,-0.316188,600
google__gemini-3-flash-preview,nli_boundary_risk,0.013161,0.578333,-0.315949,600
google__gemini-3-flash-preview,nli_omission_risk,-0.218392,0.583333,-0.320163,600
google__gemini-3-flash-preview,nli_contradiction_risk,0.096038,0.581667,-0.316568,600
google__gemini-3-flash-preview,semantic_fidelity_score,0.041311,0.578333,-0.316075,600
moonshotai__kimi-k2.5,forward_entailment,-0.000152,0.608333,0.440312,600
moonshotai__kimi-k2.5,forward_neutral,-0.000372,0.608333,0.440312,600
moonshotai__kimi-k2.5,forward_contradiction,0.003675,0.608333,0.440313,600
moonshotai__kimi-k2.5,backward_entailment,0.285008,0.615,0.442273,600
moonshotai__kimi-k2.5,backward_neutral,-0.321228,0.621667,0.441506,600
moonshotai__kimi-k2.5,backward_contradiction,0.011942,0.608333,0.440327,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.108167,0.606667,0.441516,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.000153,0.608333,0.440312,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.285009,0.615,0.442273,600
moonshotai__kimi-k2.5,nli_contradiction_risk,0.004938,0.608333,0.440314,600
moonshotai__kimi-k2.5,semantic_fidelity_score,0.096786,0.608333,0.441212,600
openai__gpt-5.2,forward_entailment,0.146593,0.528333,0.073682,600
openai__gpt-5.2,forward_neutral,-0.147236,0.53,0.07373,600
openai__gpt-5.2,forward_contradiction,-0.011776,0.518333,0.073369,600
openai__gpt-5.2,backward_entailment,0.232696,0.531667,0.071965,600
openai__gpt-5.2,backward_neutral,-0.206426,0.53,0.072249,600
openai__gpt-5.2,backward_contradiction,-0.143945,0.515,0.073529,600
openai__gpt-5.2,bidirectional_entailment,0.226747,0.54,0.073932,600
openai__gpt-5.2,nli_boundary_risk,-0.146592,0.528333,0.073682,600
openai__gpt-5.2,nli_omission_risk,-0.232695,0.531667,0.071965,600
openai__gpt-5.2,nli_contradiction_risk,-0.08231,0.518333,0.07348,600
openai__gpt-5.2,semantic_fidelity_score,0.222065,0.536667,0.073178,600
