id,top1_entropy,disagreement_layer,top1_votes
011,1.5,high,"{""A"": 1, ""B"": 1, ""C"": 2}"
022,1.5,high,"{""A"": 1, ""B"": 1, ""C"": 2}"
045,1.5,high,"{""A"": 2, ""B"": 1, ""C"": 1}"
082,1.5,high,"{""A"": 2, ""B"": 1, ""C"": 1}"
036,1.0,medium,"{""A"": 2, ""B"": 2}"
046,1.0,medium,"{""A"": 2, ""B"": 2}"
048,1.0,medium,"{""B"": 2, ""C"": 2}"
067,1.0,medium,"{""B"": 2, ""C"": 2}"
093,1.0,medium,"{""A"": 2, ""B"": 2}"
118,1.0,medium,"{""B"": 2, ""C"": 2}"
119,1.0,medium,"{""B"": 2, ""C"": 2}"
143,1.0,medium,"{""A"": 2, ""C"": 2}"
144,1.0,medium,"{""B"": 2, ""C"": 2}"
013,0.811278,medium,"{""B"": 1, ""C"": 3}"
020,0.811278,medium,"{""A"": 3, ""B"": 1}"
026,0.811278,medium,"{""A"": 3, ""C"": 1}"
033,0.811278,medium,"{""A"": 1, ""B"": 3}"
035,0.811278,medium,"{""A"": 1, ""C"": 3}"
044,0.811278,medium,"{""A"": 1, ""B"": 3}"
060,0.811278,medium,"{""A"": 3, ""B"": 1}"
061,0.811278,medium,"{""A"": 3, ""B"": 1}"
064,0.811278,medium,"{""A"": 1, ""C"": 3}"
066,0.811278,medium,"{""A"": 1, ""C"": 3}"
070,0.811278,medium,"{""A"": 3, ""C"": 1}"
071,0.811278,medium,"{""A"": 3, ""C"": 1}"
073,0.811278,medium,"{""B"": 1, ""C"": 3}"
075,0.811278,medium,"{""A"": 3, ""C"": 1}"
076,0.811278,medium,"{""A"": 1, ""C"": 3}"
077,0.811278,medium,"{""B"": 3, ""C"": 1}"
080,0.811278,medium,"{""A"": 1, ""B"": 3}"
086,0.811278,medium,"{""A"": 3, ""C"": 1}"
088,0.811278,medium,"{""A"": 3, ""C"": 1}"
090,0.811278,medium,"{""A"": 3, ""C"": 1}"
096,0.811278,medium,"{""A"": 1, ""B"": 3}"
097,0.811278,medium,"{""A"": 1, ""B"": 3}"
100,0.811278,medium,"{""B"": 1, ""C"": 3}"
104,0.811278,medium,"{""A"": 3, ""C"": 1}"
105,0.811278,medium,"{""A"": 3, ""C"": 1}"
106,0.811278,medium,"{""A"": 1, ""B"": 3}"
117,0.811278,medium,"{""B"": 1, ""C"": 3}"
120,0.811278,medium,"{""B"": 3, ""C"": 1}"
122,0.811278,medium,"{""A"": 1, ""B"": 3}"
123,0.811278,medium,"{""B"": 1, ""C"": 3}"
125,0.811278,medium,"{""A"": 1, ""B"": 3}"
132,0.811278,medium,"{""A"": 1, ""B"": 3}"
134,0.811278,medium,"{""A"": 1, ""B"": 3}"
136,0.811278,medium,"{""A"": 3, ""C"": 1}"
137,0.811278,medium,"{""B"": 1, ""C"": 3}"
140,0.811278,medium,"{""A"": 1, ""C"": 3}"
146,0.811278,medium,"{""A"": 3, ""C"": 1}"
148,0.811278,medium,"{""A"": 1, ""B"": 3}"
151,0.811278,medium,"{""A"": 3, ""C"": 1}"
154,0.811278,medium,"{""B"": 3, ""C"": 1}"
155,0.811278,medium,"{""B"": 3, ""C"": 1}"
163,0.811278,medium,"{""A"": 3, ""C"": 1}"
166,0.811278,medium,"{""B"": 1, ""C"": 3}"
