model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,0.057946,0.113491,0.510577,0.609647,-0.164497,0.280389,False,0.528333,-0.120195,600,200,univariate
anthropic__claude-sonnet-4.6,forward_neutral,0.053718,0.08758,0.613357,0.53964,-0.117939,0.225375,False,0.523333,-0.120317,600,200,univariate
anthropic__claude-sonnet-4.6,forward_contradiction,-0.136857,0.138935,-0.985046,0.324601,-0.409169,0.135455,False,0.538333,-0.121515,600,200,univariate
anthropic__claude-sonnet-4.6,backward_entailment,0.36985,0.12569,2.942549,0.003255,0.123497,0.616203,True,0.538333,-0.124211,600,200,univariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.347038,0.12002,-2.891495,0.003834,-0.582278,-0.111798,True,0.536667,-0.124117,600,200,univariate
anthropic__claude-sonnet-4.6,backward_contradiction,-0.146271,0.090132,-1.62285,0.104621,-0.32293,0.030388,False,0.528333,-0.118372,600,200,univariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.342403,0.121352,2.821575,0.004779,0.104554,0.580252,True,0.538333,-0.123351,600,200,univariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,-0.057946,0.113491,-0.510577,0.609647,-0.280389,0.164497,False,0.528333,-0.120195,600,200,univariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.36985,0.12569,-2.942551,0.003255,-0.616203,-0.123497,True,0.538333,-0.124211,600,200,univariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.133301,0.123189,-1.082088,0.279214,-0.374751,0.108149,False,0.533333,-0.120219,600,200,univariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.327969,0.152174,2.155221,0.031145,0.029708,0.62623,True,0.543333,-0.12116,600,200,univariate
deepseek__deepseek-v4-flash,forward_entailment,0.150398,0.114026,1.318978,0.187177,-0.073093,0.373889,False,0.571667,0.256506,600,200,univariate
deepseek__deepseek-v4-flash,forward_neutral,-0.19495,0.155764,-1.251574,0.210725,-0.500247,0.110347,False,0.57,0.259216,600,200,univariate
deepseek__deepseek-v4-flash,forward_contradiction,0.003139,0.103644,0.030286,0.975839,-0.200004,0.206282,False,0.563333,0.254702,600,200,univariate
deepseek__deepseek-v4-flash,backward_entailment,0.35242,0.117222,3.006432,0.002643,0.122665,0.582175,True,0.586667,0.259788,600,200,univariate
deepseek__deepseek-v4-flash,backward_neutral,-0.351813,0.116834,-3.011212,0.002602,-0.580808,-0.122818,True,0.588333,0.2593,600,200,univariate
deepseek__deepseek-v4-flash,backward_contradiction,-0.050044,0.064564,-0.77511,0.438274,-0.176589,0.076501,False,0.563333,0.254969,600,200,univariate
deepseek__deepseek-v4-flash,bidirectional_entailment,0.357648,0.113532,3.150182,0.001632,0.135124,0.580172,True,0.59,0.260435,600,200,univariate
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.150398,0.114026,-1.318978,0.187177,-0.373889,0.073093,False,0.571667,0.256506,600,200,univariate
deepseek__deepseek-v4-flash,nli_omission_risk,-0.352419,0.117222,-3.006431,0.002643,-0.582174,-0.122664,True,0.586667,0.259788,600,200,univariate
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.01822,0.095009,-0.191771,0.847921,-0.204437,0.167997,False,0.563333,0.254723,600,200,univariate
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.27886,0.118268,2.357861,0.018381,0.047054,0.510666,True,0.586667,0.259299,600,200,univariate
google__gemini-3-flash-preview,forward_entailment,0.050351,0.113412,0.443966,0.657067,-0.171936,0.272638,False,0.511667,-0.060024,600,200,univariate
google__gemini-3-flash-preview,forward_neutral,0.029554,0.074964,0.394241,0.693403,-0.117376,0.176484,False,0.505,-0.060046,600,200,univariate
google__gemini-3-flash-preview,forward_contradiction,-0.092463,0.103164,-0.896271,0.370108,-0.294665,0.109739,False,0.516667,-0.060465,600,200,univariate
google__gemini-3-flash-preview,backward_entailment,0.326003,0.116456,2.799372,0.00512,0.09775,0.554256,True,0.516667,-0.062018,600,200,univariate
google__gemini-3-flash-preview,backward_neutral,-0.300735,0.111043,-2.708268,0.006764,-0.51838,-0.08309,True,0.521667,-0.061964,600,200,univariate
google__gemini-3-flash-preview,backward_contradiction,-0.167652,0.108675,-1.542697,0.122904,-0.380654,0.04535,False,0.513333,-0.057334,600,200,univariate
google__gemini-3-flash-preview,bidirectional_entailment,0.301096,0.113398,2.655218,0.007926,0.078836,0.523356,True,0.52,-0.061468,600,200,univariate
google__gemini-3-flash-preview,nli_boundary_risk,-0.050352,0.113412,-0.443974,0.657062,-0.27264,0.171936,False,0.511667,-0.060024,600,200,univariate
google__gemini-3-flash-preview,nli_omission_risk,-0.326002,0.116455,-2.79937,0.00512,-0.554255,-0.097749,True,0.516667,-0.062018,600,200,univariate
google__gemini-3-flash-preview,nli_contradiction_risk,-0.093675,0.104073,-0.900086,0.368075,-0.297659,0.110309,False,0.508333,-0.059998,600,200,univariate
google__gemini-3-flash-preview,semantic_fidelity_score,0.274217,0.13236,2.071752,0.038289,0.014791,0.533643,True,0.52,-0.060035,600,200,univariate
moonshotai__kimi-k2.5,forward_entailment,0.239145,0.151909,1.574266,0.115426,-0.058596,0.536886,False,0.593333,0.33457,600,200,univariate
moonshotai__kimi-k2.5,forward_neutral,0.01748,0.110277,0.158511,0.874055,-0.198662,0.233622,False,0.581667,0.329641,600,200,univariate
moonshotai__kimi-k2.5,forward_contradiction,-0.411281,0.071536,-5.749279,0.0,-0.551492,-0.27107,True,0.588333,0.324414,600,200,univariate
moonshotai__kimi-k2.5,backward_entailment,0.244441,0.103962,2.351247,0.018711,0.040675,0.448207,True,0.605,0.333544,600,200,univariate
moonshotai__kimi-k2.5,backward_neutral,-0.228899,0.101471,-2.255798,0.024083,-0.427783,-0.030015,True,0.603333,0.332999,600,200,univariate
moonshotai__kimi-k2.5,backward_contradiction,-0.113099,0.094851,-1.192387,0.233109,-0.299007,0.072809,False,0.585,0.331449,600,200,univariate
moonshotai__kimi-k2.5,bidirectional_entailment,0.28565,0.106345,2.68608,0.00723,0.077215,0.494085,True,0.606667,0.334953,600,200,univariate
moonshotai__kimi-k2.5,nli_boundary_risk,-0.239145,0.151909,-1.574266,0.115426,-0.536886,0.058596,False,0.593333,0.33457,600,200,univariate
moonshotai__kimi-k2.5,nli_omission_risk,-0.24444,0.103962,-2.351241,0.018711,-0.448206,-0.040674,True,0.605,0.333544,600,200,univariate
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.291977,0.093836,-3.111575,0.001861,-0.475895,-0.108059,True,0.586667,0.335253,600,200,univariate
moonshotai__kimi-k2.5,semantic_fidelity_score,0.347681,0.117791,2.951688,0.00316,0.116811,0.578551,True,0.61,0.337757,600,200,univariate
openai__gpt-5.2,forward_entailment,0.172815,0.197769,0.873824,0.382214,-0.214812,0.560442,False,0.611667,0.415624,600,200,univariate
openai__gpt-5.2,forward_neutral,-0.031059,0.147287,-0.210874,0.832986,-0.319741,0.257623,False,0.601667,0.412527,600,200,univariate
openai__gpt-5.2,forward_contradiction,-0.146696,0.149621,-0.980449,0.326865,-0.439954,0.146562,False,0.608333,0.412994,600,200,univariate
openai__gpt-5.2,backward_entailment,0.448638,0.138175,3.246891,0.001167,0.177816,0.71946,True,0.631667,0.424545,600,200,univariate
openai__gpt-5.2,backward_neutral,-0.435576,0.134835,-3.230426,0.001236,-0.699854,-0.171298,True,0.63,0.423205,600,200,univariate
openai__gpt-5.2,backward_contradiction,-0.113873,0.0761,-1.496365,0.134558,-0.263028,0.035282,False,0.601667,0.41442,600,200,univariate
openai__gpt-5.2,bidirectional_entailment,0.415435,0.138459,3.000414,0.002696,0.144055,0.686815,True,0.635,0.42435,600,200,univariate
openai__gpt-5.2,nli_boundary_risk,-0.172815,0.197769,-0.873824,0.382214,-0.560442,0.214812,False,0.611667,0.415624,600,200,univariate
openai__gpt-5.2,nli_omission_risk,-0.448639,0.138175,-3.246893,0.001167,-0.719462,-0.177816,True,0.631667,0.424545,600,200,univariate
openai__gpt-5.2,nli_contradiction_risk,-0.116756,0.135579,-0.861163,0.389148,-0.382492,0.14898,False,0.608333,0.413837,600,200,univariate
openai__gpt-5.2,semantic_fidelity_score,0.421533,0.189453,2.224999,0.026081,0.050205,0.792861,True,0.633333,0.425519,600,200,univariate
