model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,embedding_similarity,-0.006777,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,extra_number_count,0.001697,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.461304,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,extra_entity_count,-0.12928,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,specificity_expansion,0.016257,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,financial_register_score,-0.041872,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,statistical_register_score,0.06173,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,register_score,0.039554,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,syntactic_complexity,0.150068,0.675,-0.119755,600
anthropic__claude-sonnet-4.6,translationese_score,-0.788073,0.675,-0.119755,600
google__gemini-3-flash-preview,embedding_similarity,-0.10808,0.691667,-0.051378,600
google__gemini-3-flash-preview,extra_number_count,0.019763,0.691667,-0.051378,600
google__gemini-3-flash-preview,extra_number_ratio,-0.403066,0.691667,-0.051378,600
google__gemini-3-flash-preview,extra_entity_count,-0.001532,0.691667,-0.051378,600
google__gemini-3-flash-preview,specificity_expansion,-0.008202,0.691667,-0.051378,600
google__gemini-3-flash-preview,financial_register_score,-0.088048,0.691667,-0.051378,600
google__gemini-3-flash-preview,statistical_register_score,0.052479,0.691667,-0.051378,600
google__gemini-3-flash-preview,register_score,0.013163,0.691667,-0.051378,600
google__gemini-3-flash-preview,syntactic_complexity,0.075914,0.691667,-0.051378,600
google__gemini-3-flash-preview,translationese_score,-0.804734,0.691667,-0.051378,600
moonshotai__kimi-k2.5,embedding_similarity,-0.091293,0.698333,0.40805,600
moonshotai__kimi-k2.5,extra_number_count,-0.073752,0.698333,0.40805,600
moonshotai__kimi-k2.5,extra_number_ratio,-0.5647,0.698333,0.40805,600
moonshotai__kimi-k2.5,extra_entity_count,-0.17895,0.698333,0.40805,600
moonshotai__kimi-k2.5,specificity_expansion,0.236146,0.698333,0.40805,600
moonshotai__kimi-k2.5,financial_register_score,0.021496,0.698333,0.40805,600
moonshotai__kimi-k2.5,statistical_register_score,0.023322,0.698333,0.40805,600
moonshotai__kimi-k2.5,register_score,0.029501,0.698333,0.40805,600
moonshotai__kimi-k2.5,syntactic_complexity,-0.03815,0.698333,0.40805,600
moonshotai__kimi-k2.5,translationese_score,-0.747847,0.698333,0.40805,600
openai__gpt-5.2,embedding_similarity,0.005091,0.701667,0.483822,600
openai__gpt-5.2,extra_number_count,0.032345,0.701667,0.483822,600
openai__gpt-5.2,extra_number_ratio,-0.405654,0.701667,0.483822,600
openai__gpt-5.2,extra_entity_count,-0.080207,0.701667,0.483822,600
openai__gpt-5.2,specificity_expansion,0.055893,0.701667,0.483822,600
openai__gpt-5.2,financial_register_score,-0.008947,0.701667,0.483822,600
openai__gpt-5.2,statistical_register_score,-0.016275,0.701667,0.483822,600
openai__gpt-5.2,register_score,-0.018225,0.701667,0.483822,600
openai__gpt-5.2,syntactic_complexity,0.106823,0.701667,0.483822,600
openai__gpt-5.2,translationese_score,-0.747844,0.701667,0.483822,600
