id,top1_entropy,disagreement_layer,top1_votes
011,1.521928,high,"{""A"": 2, ""B"": 2, ""C"": 1}"
017,1.521928,high,"{""A"": 2, ""B"": 2, ""C"": 1}"
096,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
174,1.521928,high,"{""A"": 2, ""B"": 2, ""C"": 1}"
176,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
004,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
024,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
025,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
026,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
052,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
130,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
145,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
178,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
189,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
002,0.970951,medium,"{""B"": 2, ""C"": 3}"
006,0.970951,medium,"{""B"": 2, ""C"": 3}"
010,0.970951,medium,"{""A"": 3, ""C"": 2}"
012,0.970951,medium,"{""B"": 2, ""C"": 3}"
014,0.970951,medium,"{""A"": 2, ""B"": 3}"
027,0.970951,medium,"{""A"": 3, ""B"": 2}"
035,0.970951,medium,"{""A"": 3, ""B"": 2}"
036,0.970951,medium,"{""A"": 2, ""B"": 3}"
041,0.970951,medium,"{""B"": 3, ""C"": 2}"
042,0.970951,medium,"{""B"": 2, ""C"": 3}"
048,0.970951,medium,"{""A"": 2, ""C"": 3}"
051,0.970951,medium,"{""A"": 3, ""B"": 2}"
053,0.970951,medium,"{""A"": 3, ""B"": 2}"
059,0.970951,medium,"{""A"": 2, ""C"": 3}"
065,0.970951,medium,"{""B"": 3, ""C"": 2}"
066,0.970951,medium,"{""B"": 2, ""C"": 3}"
070,0.970951,medium,"{""B"": 2, ""C"": 3}"
071,0.970951,medium,"{""A"": 3, ""C"": 2}"
082,0.970951,medium,"{""A"": 3, ""C"": 2}"
083,0.970951,medium,"{""A"": 3, ""B"": 2}"
087,0.970951,medium,"{""A"": 3, ""C"": 2}"
090,0.970951,medium,"{""A"": 3, ""C"": 2}"
094,0.970951,medium,"{""B"": 3, ""C"": 2}"
095,0.970951,medium,"{""A"": 2, ""C"": 3}"
104,0.970951,medium,"{""B"": 2, ""C"": 3}"
111,0.970951,medium,"{""A"": 2, ""B"": 3}"
114,0.970951,medium,"{""A"": 3, ""C"": 2}"
120,0.970951,medium,"{""A"": 2, ""C"": 3}"
121,0.970951,medium,"{""B"": 2, ""C"": 3}"
126,0.970951,medium,"{""B"": 3, ""C"": 2}"
128,0.970951,medium,"{""B"": 2, ""C"": 3}"
131,0.970951,medium,"{""A"": 2, ""B"": 3}"
