id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
001,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
002,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
003,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
004,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
005,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
006,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 1, ""C"": 4}"
007,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
008,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
009,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
010,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
011,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,12,8,5,3,7,"{""A"": 1, ""B"": 1, ""C"": 3}"
012,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
013,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,12,6,3,3,9,"{""B"": 1, ""C"": 4}"
014,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
015,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
016,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
017,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,13,12,10,2,3,"{""A"": 5}"
018,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
019,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
020,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,11,13,9,4,2,"{""A"": 4, ""B"": 1}"
021,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
022,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,8,9,2,7,6,"{""A"": 1, ""B"": 2, ""C"": 2}"
023,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
024,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
025,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
