id,top1_entropy,disagreement_layer,top1_votes
004,1.5,high,"{""A"": 1, ""B"": 2, ""C"": 1}"
011,1.5,high,"{""A"": 1, ""B"": 2, ""C"": 1}"
017,1.5,high,"{""A"": 1, ""B"": 2, ""C"": 1}"
024,1.5,high,"{""A"": 2, ""B"": 1, ""C"": 1}"
025,1.5,high,"{""A"": 2, ""B"": 1, ""C"": 1}"
145,1.5,high,"{""A"": 1, ""B"": 1, ""C"": 2}"
174,1.5,high,"{""A"": 1, ""B"": 2, ""C"": 1}"
176,1.5,high,"{""A"": 1, ""B"": 2, ""C"": 1}"
178,1.5,high,"{""A"": 2, ""B"": 1, ""C"": 1}"
010,1.0,medium,"{""A"": 2, ""C"": 2}"
014,1.0,medium,"{""A"": 2, ""B"": 2}"
027,1.0,medium,"{""A"": 2, ""B"": 2}"
035,1.0,medium,"{""A"": 2, ""B"": 2}"
042,1.0,medium,"{""B"": 2, ""C"": 2}"
051,1.0,medium,"{""A"": 2, ""B"": 2}"
053,1.0,medium,"{""A"": 2, ""B"": 2}"
065,1.0,medium,"{""B"": 2, ""C"": 2}"
066,1.0,medium,"{""B"": 2, ""C"": 2}"
071,1.0,medium,"{""A"": 2, ""C"": 2}"
082,1.0,medium,"{""A"": 2, ""C"": 2}"
083,1.0,medium,"{""A"": 2, ""B"": 2}"
087,1.0,medium,"{""A"": 2, ""C"": 2}"
090,1.0,medium,"{""A"": 2, ""C"": 2}"
094,1.0,medium,"{""B"": 2, ""C"": 2}"
095,1.0,medium,"{""A"": 2, ""C"": 2}"
096,1.0,medium,"{""B"": 2, ""C"": 2}"
111,1.0,medium,"{""A"": 2, ""B"": 2}"
114,1.0,medium,"{""A"": 2, ""C"": 2}"
120,1.0,medium,"{""A"": 2, ""C"": 2}"
121,1.0,medium,"{""B"": 2, ""C"": 2}"
126,1.0,medium,"{""B"": 2, ""C"": 2}"
128,1.0,medium,"{""B"": 2, ""C"": 2}"
131,1.0,medium,"{""A"": 2, ""B"": 2}"
156,1.0,medium,"{""B"": 2, ""C"": 2}"
157,1.0,medium,"{""A"": 2, ""B"": 2}"
161,1.0,medium,"{""A"": 2, ""C"": 2}"
175,1.0,medium,"{""A"": 2, ""B"": 2}"
002,0.811278,medium,"{""B"": 1, ""C"": 3}"
005,0.811278,medium,"{""A"": 1, ""B"": 3}"
006,0.811278,medium,"{""B"": 1, ""C"": 3}"
012,0.811278,medium,"{""B"": 1, ""C"": 3}"
013,0.811278,medium,"{""B"": 3, ""C"": 1}"
019,0.811278,medium,"{""A"": 1, ""B"": 3}"
021,0.811278,medium,"{""A"": 3, ""C"": 1}"
026,0.811278,medium,"{""B"": 3, ""C"": 1}"
028,0.811278,medium,"{""A"": 3, ""C"": 1}"
032,0.811278,medium,"{""A"": 3, ""B"": 1}"
033,0.811278,medium,"{""B"": 3, ""C"": 1}"
034,0.811278,medium,"{""B"": 3, ""C"": 1}"
036,0.811278,medium,"{""A"": 1, ""B"": 3}"
037,0.811278,medium,"{""B"": 3, ""C"": 1}"
