model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
anthropic__claude-sonnet-4.6,intercept,-0.136676,0.070451,-1.940022,0.052377,-0.27476,0.001407,False,0.725,1200,400
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.287214,0.090852,3.16135,0.00157,0.109145,0.465284,True,0.725,1200,400
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.159452,0.119661,1.332534,0.182685,-0.075083,0.393987,False,0.725,1200,400
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.252686,0.1094,2.309737,0.020903,0.038261,0.467111,True,0.725,1200,400
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.224807,0.116615,-1.927773,0.053883,-0.453372,0.003758,False,0.725,1200,400
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.110188,0.111002,-0.992673,0.32087,-0.327752,0.107375,False,0.725,1200,400
anthropic__claude-sonnet-4.6,dependency_depth,0.076191,0.073403,1.037985,0.299277,-0.067678,0.22006,False,0.725,1200,400
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.306996,0.093862,3.270709,0.001073,0.123026,0.490966,True,0.725,1200,400
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.275808,0.107694,-2.561026,0.010436,-0.486888,-0.064727,True,0.725,1200,400
anthropic__claude-sonnet-4.6,clause_count,-0.102693,0.086719,-1.184194,0.236336,-0.272663,0.067278,False,0.725,1200,400
anthropic__claude-sonnet-4.6,modifier_density,0.12431,0.084036,1.479247,0.139074,-0.040401,0.289022,False,0.725,1200,400
anthropic__claude-sonnet-4.6,nominalization_ratio,0.089847,0.075129,1.195899,0.231736,-0.057406,0.237099,False,0.725,1200,400
anthropic__claude-sonnet-4.6,coordination_count,0.087569,0.075044,1.166905,0.243249,-0.059517,0.234654,False,0.725,1200,400
anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.214313,0.093688,-2.287533,0.022165,-0.397941,-0.030686,True,0.725,1200,400
