feature,tier,dominant_sign,significant_models,total_models,positive,negative
extra_entity_count,no_stable_evidence,negative,2,8,0,8
extra_number_ratio,mostly_supported_with_exceptions,negative,6,8,0,8
register_score,no_stable_evidence,positive,2,8,7,1
sentence_compression_ratio,no_stable_evidence,positive,3,8,4,4
target_avg_sentence_length,mostly_supported_with_exceptions,positive,5,8,8,0
target_explicit_connective_density,no_exception,negative,8,8,0,8
target_function_word_density,no_exception,negative,8,8,0,8
target_nominalization_suffix_density,no_stable_evidence,negative,0,8,1,7
target_passive_density,no_exception,negative,8,8,0,8
target_pronoun_subject_ratio,no_stable_evidence,negative,1,8,2,6
