model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,-0.20964,0.518333,-0.089625,600
anthropic__claude-sonnet-4.6,forward_neutral,0.322094,0.518333,-0.096861,600
anthropic__claude-sonnet-4.6,forward_contradiction,-0.111084,0.531667,-0.087752,600
anthropic__claude-sonnet-4.6,backward_entailment,0.215392,0.518333,-0.08756,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.209846,0.52,-0.087547,600
anthropic__claude-sonnet-4.6,backward_contradiction,-0.032113,0.521667,-0.086739,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.07127,0.52,-0.086813,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.209641,0.518333,-0.089625,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.215391,0.518333,-0.08756,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.12375,0.525,-0.087281,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.093901,0.513333,-0.086862,600
deepseek__deepseek-v4-flash,forward_entailment,-0.059253,0.578333,0.29566,600
deepseek__deepseek-v4-flash,forward_neutral,0.05848,0.575,0.295634,600
deepseek__deepseek-v4-flash,forward_contradiction,-0.000144,0.573333,0.295464,600
deepseek__deepseek-v4-flash,backward_entailment,0.205341,0.593333,0.298244,600
deepseek__deepseek-v4-flash,backward_neutral,-0.206507,0.596667,0.298203,600
deepseek__deepseek-v4-flash,backward_contradiction,-0.015256,0.573333,0.295482,600
deepseek__deepseek-v4-flash,bidirectional_entailment,0.111086,0.583333,0.296403,600
deepseek__deepseek-v4-flash,nli_boundary_risk,0.059253,0.578333,0.29566,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.205341,0.593333,0.298244,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.013394,0.573333,0.295477,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.092135,0.571667,0.296104,600
google__gemini-3-flash-preview,forward_entailment,-0.171023,0.52,-0.108673,600
google__gemini-3-flash-preview,forward_neutral,0.269302,0.52,-0.11378,600
google__gemini-3-flash-preview,forward_contradiction,-0.119571,0.535,-0.108056,600
google__gemini-3-flash-preview,backward_entailment,0.216766,0.52,-0.107822,600
google__gemini-3-flash-preview,backward_neutral,-0.189841,0.516667,-0.107619,600
google__gemini-3-flash-preview,backward_contradiction,-0.083683,0.525,-0.106877,600
google__gemini-3-flash-preview,bidirectional_entailment,0.083344,0.525,-0.106923,600
google__gemini-3-flash-preview,nli_boundary_risk,0.171024,0.52,-0.108673,600
google__gemini-3-flash-preview,nli_omission_risk,-0.216766,0.52,-0.107822,600
google__gemini-3-flash-preview,nli_contradiction_risk,-0.135564,0.531667,-0.107523,600
google__gemini-3-flash-preview,semantic_fidelity_score,0.110027,0.52,-0.107007,600
moonshotai__kimi-k2.5,forward_entailment,-0.188435,0.545,0.1396,600
moonshotai__kimi-k2.5,forward_neutral,0.285398,0.55,0.135336,600
moonshotai__kimi-k2.5,forward_contradiction,-0.120438,0.541667,0.139615,600
moonshotai__kimi-k2.5,backward_entailment,0.141543,0.556667,0.140902,600
moonshotai__kimi-k2.5,backward_neutral,-0.139067,0.555,0.140867,600
moonshotai__kimi-k2.5,backward_contradiction,-0.018002,0.535,0.140241,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.023066,0.535,0.140249,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.188435,0.545,0.1396,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.141543,0.556667,0.140902,600
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.113884,0.541667,0.140394,600
moonshotai__kimi-k2.5,semantic_fidelity_score,0.058013,0.541667,0.140356,600
openai__gpt-5.2,forward_entailment,-0.173031,0.571667,0.248204,600
openai__gpt-5.2,forward_neutral,0.27069,0.575,0.24511,600
openai__gpt-5.2,forward_contradiction,-0.136882,0.566667,0.247396,600
openai__gpt-5.2,backward_entailment,0.23026,0.59,0.250795,600
openai__gpt-5.2,backward_neutral,-0.202769,0.585,0.250158,600
openai__gpt-5.2,backward_contradiction,-0.085515,0.566667,0.248406,600
openai__gpt-5.2,bidirectional_entailment,0.080144,0.566667,0.248342,600
openai__gpt-5.2,nli_boundary_risk,0.173032,0.571667,0.248204,600
openai__gpt-5.2,nli_omission_risk,-0.230259,0.59,0.250795,600
openai__gpt-5.2,nli_contradiction_risk,-0.145068,0.568333,0.248535,600
openai__gpt-5.2,semantic_fidelity_score,0.118386,0.57,0.248827,600
