id,top1_entropy,disagreement_layer,top1_votes
026,1.521928,high,"{""A"": 2, ""B"": 1, ""C"": 2}"
036,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
055,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
082,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
093,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
105,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
118,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
190,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
001,0.970951,medium,"{""B"": 3, ""C"": 2}"
022,0.970951,medium,"{""B"": 3, ""C"": 2}"
053,0.970951,medium,"{""B"": 2, ""C"": 3}"
065,0.970951,medium,"{""B"": 2, ""C"": 3}"
075,0.970951,medium,"{""A"": 3, ""B"": 2}"
083,0.970951,medium,"{""A"": 3, ""C"": 2}"
084,0.970951,medium,"{""A"": 2, ""B"": 3}"
087,0.970951,medium,"{""A"": 3, ""C"": 2}"
088,0.970951,medium,"{""A"": 3, ""C"": 2}"
089,0.970951,medium,"{""A"": 2, ""C"": 3}"
090,0.970951,medium,"{""A"": 2, ""C"": 3}"
092,0.970951,medium,"{""B"": 2, ""C"": 3}"
100,0.970951,medium,"{""B"": 3, ""C"": 2}"
103,0.970951,medium,"{""A"": 3, ""C"": 2}"
107,0.970951,medium,"{""B"": 2, ""C"": 3}"
109,0.970951,medium,"{""B"": 2, ""C"": 3}"
111,0.970951,medium,"{""A"": 2, ""B"": 3}"
122,0.970951,medium,"{""A"": 3, ""B"": 2}"
123,0.970951,medium,"{""B"": 2, ""C"": 3}"
132,0.970951,medium,"{""A"": 3, ""B"": 2}"
136,0.970951,medium,"{""A"": 3, ""B"": 2}"
138,0.970951,medium,"{""B"": 3, ""C"": 2}"
139,0.970951,medium,"{""B"": 2, ""C"": 3}"
141,0.970951,medium,"{""A"": 3, ""C"": 2}"
146,0.970951,medium,"{""A"": 3, ""C"": 2}"
151,0.970951,medium,"{""A"": 3, ""C"": 2}"
152,0.970951,medium,"{""A"": 3, ""C"": 2}"
155,0.970951,medium,"{""B"": 3, ""C"": 2}"
170,0.970951,medium,"{""A"": 2, ""B"": 3}"
185,0.970951,medium,"{""A"": 3, ""C"": 2}"
005,0.721928,medium,"{""A"": 4, ""B"": 1}"
006,0.721928,medium,"{""B"": 1, ""C"": 4}"
009,0.721928,medium,"{""A"": 4, ""B"": 1}"
011,0.721928,medium,"{""A"": 1, ""C"": 4}"
013,0.721928,medium,"{""B"": 4, ""C"": 1}"
014,0.721928,medium,"{""B"": 1, ""C"": 4}"
015,0.721928,medium,"{""A"": 1, ""C"": 4}"
018,0.721928,medium,"{""B"": 4, ""C"": 1}"
020,0.721928,medium,"{""A"": 4, ""C"": 1}"
029,0.721928,medium,"{""A"": 4, ""C"": 1}"
030,0.721928,medium,"{""A"": 1, ""C"": 4}"
031,0.721928,medium,"{""A"": 1, ""C"": 4}"
033,0.721928,medium,"{""A"": 1, ""B"": 4}"
035,0.721928,medium,"{""B"": 1, ""C"": 4}"
046,0.721928,medium,"{""A"": 4, ""C"": 1}"
056,0.721928,medium,"{""A"": 1, ""C"": 4}"
060,0.721928,medium,"{""A"": 4, ""B"": 1}"
067,0.721928,medium,"{""B"": 1, ""C"": 4}"
069,0.721928,medium,"{""B"": 4, ""C"": 1}"
071,0.721928,medium,"{""A"": 4, ""C"": 1}"
072,0.721928,medium,"{""A"": 1, ""B"": 4}"
073,0.721928,medium,"{""B"": 1, ""C"": 4}"
078,0.721928,medium,"{""A"": 1, ""C"": 4}"
080,0.721928,medium,"{""A"": 1, ""B"": 4}"
081,0.721928,medium,"{""B"": 1, ""C"": 4}"
086,0.721928,medium,"{""A"": 4, ""C"": 1}"
094,0.721928,medium,"{""B"": 1, ""C"": 4}"
095,0.721928,medium,"{""A"": 1, ""C"": 4}"
096,0.721928,medium,"{""A"": 1, ""B"": 4}"
104,0.721928,medium,"{""A"": 4, ""C"": 1}"
108,0.721928,medium,"{""A"": 1, ""B"": 4}"
114,0.721928,medium,"{""B"": 1, ""C"": 4}"
119,0.721928,medium,"{""B"": 1, ""C"": 4}"
124,0.721928,medium,"{""A"": 4, ""B"": 1}"
126,0.721928,medium,"{""A"": 4, ""C"": 1}"
128,0.721928,medium,"{""B"": 1, ""C"": 4}"
129,0.721928,medium,"{""B"": 4, ""C"": 1}"
130,0.721928,medium,"{""B"": 1, ""C"": 4}"
140,0.721928,medium,"{""B"": 1, ""C"": 4}"
145,0.721928,medium,"{""B"": 4, ""C"": 1}"
148,0.721928,medium,"{""B"": 4, ""C"": 1}"
