version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
kimi-version,EC,001,A,8.0,5.0,4.506849,39.0,0.061738,0.540179,0.426667,5.0,1.0,1.191781,75.0,2.0,37.5,1.64743841,0.516414992,0.632483184,1.960460673,-2.062743174,0.284172529,0.783656604,1.251987134,0.552788273,-2.094422894,4.555445075,9.75475982,0.97743192
kimi-version,EC,001,B,10.0,7.0,5.24,40.0,0.069867,0.529661,0.376623,5.0,1.0,1.232877,77.0,2.0,38.5,2.55596894,2.252847381,1.32065959,2.062594597,-1.888144904,0.197294231,0.304109098,1.251987134,0.552788273,-2.083397256,4.747347017,9.75475982,1.073653528
kimi-version,EC,001,C,9.0,5.0,4.537313,36.0,0.067721,0.558,0.391304,5.0,1.0,1.09589,69.0,2.0,34.5,2.101703675,0.516414992,0.661078393,1.654058901,-1.934237645,0.431373343,0.444790038,1.251987134,0.552788273,-2.120149472,3.979739247,9.75475982,0.688767097
kimi-version,EC,002,A,18.0,5.0,5.292135,59.0,0.059462,0.394203,0.252747,3.0,15.0,1.461538,91.0,2.0,45.5,6.19009106,0.516414992,1.369596408,4.003139155,-2.111628112,-0.921583935,-0.88293484,0.491270684,17.153036713,-2.022049841,6.090660616,9.75475982,1.747204781
kimi-version,EC,002,B,16.0,5.0,3.771739,20.0,0.040997,0.482667,0.354167,3.0,13.0,1.666667,96.0,4.0,24.0,5.28156053,0.516414992,-0.057532049,0.019916115,-2.508227576,-0.190874504,0.088924085,0.491270684,14.78157265,-1.967015821,6.570415472,29.461345316,-0.321559783
kimi-version,EC,002,C,19.0,5.0,4.267442,26.0,0.049621,0.417143,0.269663,3.0,13.0,1.5,89.0,3.0,29.666667,6.644356325,0.516414992,0.407762425,0.63271966,-2.322997477,-0.732100367,-0.720836973,0.491270684,14.78157265,-2.011730878,5.898758673,19.608052568,0.223696025
kimi-version,EC,003,A,14.0,6.0,3.987805,26.0,0.048632,0.40274,0.352941,2.0,5.0,1.635135,85.0,3.0,28.333333,4.37303,1.384631187,0.145279545,0.63271966,-2.344239658,-0.851068625,0.077175919,0.110912458,5.295716399,-1.975475535,5.514954788,19.608052568,0.095400484
kimi-version,EC,003,B,12.0,6.0,3.679012,25.0,0.04542,0.417857,0.369048,0.0,3.0,1.567568,84.0,3.0,28.0,3.46449947,1.384631187,-0.144570782,0.530585736,-2.413228419,-0.726202753,0.231521528,-0.649803992,2.924252336,-1.993603072,5.419003817,19.608052568,0.063326647
kimi-version,EC,003,C,15.0,6.0,3.815789,20.0,0.050208,0.411538,0.367089,0.0,2.0,1.540541,79.0,3.0,26.333333,4.827295265,1.384631187,-0.016184263,0.019916115,-2.31038963,-0.778397464,0.212749377,-0.649803992,1.738520305,-2.000854141,4.93924896,19.608052568,-0.097042731
kimi-version,EC,004,A,16.0,6.0,3.045977,24.0,0.035011,0.428767,0.315217,3.0,7.0,1.794118,92.0,5.0,18.4,5.28156053,1.384631187,-0.738772728,0.428451812,-2.63679754,-0.636086549,-0.284314971,0.491270684,7.667180462,-1.932822016,6.186611587,39.314638064,-0.860400786
kimi-version,EC,004,B,15.0,5.0,2.925,22.0,0.036562,0.455224,0.317647,3.0,7.0,1.735294,85.0,5.0,17.0,4.827295265,0.516414992,-0.852328486,0.224183963,-2.603484474,-0.417552689,-0.261029454,0.491270684,7.667180462,-1.948603896,5.514954788,39.314638064,-0.995111037
