model,feature,n,avg_human,avg_model_top1,avg_diff_model_minus_human,share_model_lower_than_human,share_model_higher_than_human,lower_means_less_burden
anthropic__claude-sonnet-4.6,clause_count,200,10.175,10.59,0.415,0.22,0.44,False
anthropic__claude-sonnet-4.6,dependency_depth,200,6.735,6.8,0.065,0.275,0.305,True
anthropic__claude-sonnet-4.6,mean_dependency_distance,200,3.463146,3.515393,0.052247,0.4,0.485,True
anthropic__claude-sonnet-4.6,max_dependency_distance,200,29.965,30.8,0.835,0.335,0.505,True
anthropic__claude-sonnet-4.6,normalized_dependency_distance,200,0.046019,0.044602,-0.001417,0.585,0.3,True
anthropic__claude-sonnet-4.6,nominalization_ratio,200,0.575294,0.567668,-0.007627,0.5,0.38,False
anthropic__claude-sonnet-4.6,modifier_density,200,0.466411,0.480848,0.014438,0.345,0.525,False
anthropic__claude-sonnet-4.6,coordination_count,200,7.285,6.985,-0.3,0.325,0.21,False
anthropic__claude-sonnet-4.6,passive_count,200,2.945,3.42,0.475,0.215,0.39,True
anthropic__claude-sonnet-4.6,sentence_compression_ratio,200,0.620237,0.646349,0.026112,0.26,0.575,True
deepseek__deepseek-v4-flash,clause_count,200,10.175,10.665,0.49,0.235,0.45,False
deepseek__deepseek-v4-flash,dependency_depth,200,6.735,6.78,0.045,0.31,0.31,True
deepseek__deepseek-v4-flash,mean_dependency_distance,200,3.463146,3.522763,0.059617,0.44,0.52,True
deepseek__deepseek-v4-flash,max_dependency_distance,200,29.965,30.75,0.785,0.365,0.525,True
deepseek__deepseek-v4-flash,normalized_dependency_distance,200,0.046019,0.044292,-0.001727,0.64,0.32,True
deepseek__deepseek-v4-flash,nominalization_ratio,200,0.575294,0.565904,-0.00939,0.56,0.395,False
deepseek__deepseek-v4-flash,modifier_density,200,0.466411,0.476392,0.009981,0.43,0.515,False
deepseek__deepseek-v4-flash,coordination_count,200,7.285,6.96,-0.325,0.335,0.215,False
deepseek__deepseek-v4-flash,passive_count,200,2.945,3.58,0.635,0.24,0.465,True
deepseek__deepseek-v4-flash,sentence_compression_ratio,200,0.620237,0.653534,0.033297,0.255,0.655,True
google__gemini-3-flash-preview,clause_count,200,10.175,10.65,0.475,0.215,0.455,False
google__gemini-3-flash-preview,dependency_depth,200,6.735,6.76,0.025,0.3,0.285,True
google__gemini-3-flash-preview,mean_dependency_distance,200,3.463146,3.519914,0.056768,0.43,0.48,True
google__gemini-3-flash-preview,max_dependency_distance,200,29.965,30.875,0.91,0.34,0.495,True
google__gemini-3-flash-preview,normalized_dependency_distance,200,0.046019,0.04457,-0.001449,0.595,0.315,True
google__gemini-3-flash-preview,nominalization_ratio,200,0.575294,0.565328,-0.009966,0.515,0.385,False
google__gemini-3-flash-preview,modifier_density,200,0.466411,0.476711,0.010301,0.395,0.5,False
google__gemini-3-flash-preview,coordination_count,200,7.285,6.88,-0.405,0.34,0.19,False
google__gemini-3-flash-preview,passive_count,200,2.945,3.425,0.48,0.225,0.395,True
google__gemini-3-flash-preview,sentence_compression_ratio,200,0.620237,0.646314,0.026077,0.265,0.59,True
moonshotai__kimi-k2.5,clause_count,200,10.175,10.52,0.345,0.225,0.43,False
moonshotai__kimi-k2.5,dependency_depth,200,6.735,6.765,0.03,0.295,0.29,True
moonshotai__kimi-k2.5,mean_dependency_distance,200,3.463146,3.504441,0.041295,0.41,0.48,True
moonshotai__kimi-k2.5,max_dependency_distance,200,29.965,30.23,0.265,0.34,0.49,True
moonshotai__kimi-k2.5,normalized_dependency_distance,200,0.046019,0.044816,-0.001203,0.59,0.3,True
moonshotai__kimi-k2.5,nominalization_ratio,200,0.575294,0.565265,-0.010029,0.495,0.385,False
moonshotai__kimi-k2.5,modifier_density,200,0.466411,0.479789,0.013378,0.35,0.525,False
moonshotai__kimi-k2.5,coordination_count,200,7.285,6.87,-0.415,0.335,0.2,False
moonshotai__kimi-k2.5,passive_count,200,2.945,3.41,0.465,0.24,0.395,True
moonshotai__kimi-k2.5,sentence_compression_ratio,200,0.620237,0.640466,0.020229,0.275,0.55,True
openai__gpt-5.2,clause_count,200,10.175,10.525,0.35,0.275,0.465,False
openai__gpt-5.2,dependency_depth,200,6.735,6.755,0.02,0.325,0.31,True
openai__gpt-5.2,mean_dependency_distance,200,3.463146,3.52194,0.058794,0.44,0.535,True
openai__gpt-5.2,max_dependency_distance,200,29.965,30.56,0.595,0.385,0.535,True
openai__gpt-5.2,normalized_dependency_distance,200,0.046019,0.044774,-0.001245,0.63,0.345,True
openai__gpt-5.2,nominalization_ratio,200,0.575294,0.567615,-0.007679,0.525,0.44,False
openai__gpt-5.2,modifier_density,200,0.466411,0.482115,0.015704,0.385,0.57,False
openai__gpt-5.2,coordination_count,200,7.285,6.8,-0.485,0.37,0.21,False
openai__gpt-5.2,passive_count,200,2.945,3.465,0.52,0.24,0.42,True
openai__gpt-5.2,sentence_compression_ratio,200,0.620237,0.645783,0.025546,0.3,0.62,True
