model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
anthropic__claude-sonnet-4.6,intercept,0.045539,0.092563,0.49198,0.622734,-0.135885,0.226963,False,0.651667,600,200
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.561295,0.116912,4.801015,2e-06,0.332148,0.790442,True,0.651667,600,200
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.159649,0.107492,1.485212,0.137488,-0.051036,0.370333,False,0.651667,600,200
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.311662,0.103676,3.006123,0.002646,0.108458,0.514866,True,0.651667,600,200
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.146313,0.138544,-1.056078,0.290933,-0.417859,0.125233,False,0.651667,600,200
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.01286,0.09702,-0.132547,0.894552,-0.203019,0.1773,False,0.651667,600,200
anthropic__claude-sonnet-4.6,dependency_depth,0.055349,0.103773,0.533363,0.593782,-0.148047,0.258745,False,0.651667,600,200
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.12802,0.140295,0.912506,0.361503,-0.146959,0.402999,False,0.651667,600,200
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.514513,0.156596,-3.285611,0.001018,-0.821441,-0.207585,True,0.651667,600,200
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.735626,0.171866,-4.280217,1.9e-05,-1.072484,-0.398767,True,0.651667,600,200
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.06822,0.103178,-0.66119,0.50849,-0.270449,0.134008,False,0.651667,600,200
anthropic__claude-sonnet-4.6,extra_entity_count,0.178048,0.101608,1.7523,0.079722,-0.021104,0.3772,False,0.651667,600,200
anthropic__claude-sonnet-4.6,register_score,-0.055107,0.094876,-0.58083,0.561355,-0.241063,0.13085,False,0.651667,600,200
anthropic__claude-sonnet-4.6,translationese_score,-0.079107,0.11331,-0.698142,0.485088,-0.301194,0.142981,False,0.651667,600,200
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,0.023384,0.121654,0.192215,0.847574,-0.215058,0.261825,False,0.651667,600,200
deepseek__deepseek-v4-flash,intercept,0.302238,0.095221,3.174068,0.001503,0.115605,0.488872,True,0.723333,600,200
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.68024,0.122153,5.568758,0.0,0.44082,0.91966,True,0.723333,600,200
deepseek__deepseek-v4-flash,bidirectional_entailment,0.27235,0.076655,3.552907,0.000381,0.122105,0.422594,True,0.723333,600,200
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.038437,0.082934,-0.463467,0.64303,-0.200988,0.124114,False,0.723333,600,200
deepseek__deepseek-v4-flash,nli_omission_risk,-0.527269,0.129396,-4.074837,4.6e-05,-0.780886,-0.273652,True,0.723333,600,200
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.136713,0.155996,0.876392,0.380817,-0.169038,0.442465,False,0.723333,600,200
deepseek__deepseek-v4-flash,dependency_depth,0.139794,0.111907,1.249189,0.211596,-0.079545,0.359132,False,0.723333,600,200
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.213633,0.164117,-1.301714,0.193014,-0.535302,0.108036,False,0.723333,600,200
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.031278,0.211899,0.147607,0.882653,-0.384044,0.4466,False,0.723333,600,200
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.94059,0.175091,-5.372016,0.0,-1.283768,-0.597412,True,0.723333,600,200
deepseek__deepseek-v4-flash,extra_number_ratio,-0.357845,0.156979,-2.279568,0.022633,-0.665523,-0.050166,True,0.723333,600,200
deepseek__deepseek-v4-flash,extra_entity_count,0.05748,0.113858,0.50484,0.613671,-0.165682,0.280642,False,0.723333,600,200
deepseek__deepseek-v4-flash,register_score,0.062266,0.093433,0.66643,0.505136,-0.120862,0.245394,False,0.723333,600,200
deepseek__deepseek-v4-flash,translationese_score,-0.100528,0.115686,-0.868974,0.384861,-0.327273,0.126216,False,0.723333,600,200
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.396713,0.153077,2.591588,0.009553,0.096682,0.696744,True,0.723333,600,200
google__gemini-3-flash-preview,intercept,-0.371229,0.09637,-3.852139,0.000117,-0.560114,-0.182345,True,0.705,600,200
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.606944,0.122509,4.954295,1e-06,0.366827,0.847061,True,0.705,600,200
google__gemini-3-flash-preview,bidirectional_entailment,-0.104259,0.128698,-0.810106,0.417879,-0.356506,0.147989,False,0.705,600,200
google__gemini-3-flash-preview,nli_boundary_risk,0.044471,0.114758,0.387519,0.698372,-0.180455,0.269398,False,0.705,600,200
google__gemini-3-flash-preview,nli_omission_risk,-0.112738,0.118026,-0.9552,0.339477,-0.344069,0.118592,False,0.705,600,200
google__gemini-3-flash-preview,nli_contradiction_risk,0.260152,0.175521,1.48217,0.138295,-0.083869,0.604173,False,0.705,600,200
google__gemini-3-flash-preview,dependency_depth,0.285425,0.101231,2.819533,0.004809,0.087012,0.483838,True,0.705,600,200
google__gemini-3-flash-preview,mean_dependency_distance,0.131913,0.15744,0.837857,0.402111,-0.176671,0.440496,False,0.705,600,200
google__gemini-3-flash-preview,normalized_dependency_distance,-0.259671,0.193419,-1.34253,0.179424,-0.638772,0.11943,False,0.705,600,200
google__gemini-3-flash-preview,sentence_compression_ratio,-0.810598,0.165235,-4.90572,1e-06,-1.13446,-0.486737,True,0.705,600,200
google__gemini-3-flash-preview,extra_number_ratio,-0.078484,0.136036,-0.576935,0.563983,-0.345115,0.188147,False,0.705,600,200
google__gemini-3-flash-preview,extra_entity_count,0.314216,0.108969,2.883543,0.003932,0.100637,0.527795,True,0.705,600,200
google__gemini-3-flash-preview,register_score,-0.099072,0.104748,-0.945818,0.344241,-0.304378,0.106233,False,0.705,600,200
google__gemini-3-flash-preview,translationese_score,-0.102842,0.127037,-0.809543,0.418203,-0.351834,0.14615,False,0.705,600,200
google__gemini-3-flash-preview,target_lm_naturalness_score,-0.157808,0.129276,-1.220709,0.222196,-0.411189,0.095573,False,0.705,600,200
openai__gpt-5.2,intercept,0.1006,0.091996,1.093527,0.274163,-0.079712,0.280911,False,0.73,600,200
openai__gpt-5.2,crosslingual_embedding_similarity,0.794995,0.122009,6.515855,0.0,0.555857,1.034134,True,0.73,600,200
openai__gpt-5.2,bidirectional_entailment,0.111001,0.105658,1.05057,0.293456,-0.096089,0.318091,False,0.73,600,200
openai__gpt-5.2,nli_boundary_risk,0.14051,0.09508,1.477807,0.139459,-0.045847,0.326867,False,0.73,600,200
openai__gpt-5.2,nli_omission_risk,-0.051228,0.085297,-0.600586,0.548115,-0.218411,0.115954,False,0.73,600,200
openai__gpt-5.2,nli_contradiction_risk,0.064393,0.13685,0.470537,0.637971,-0.203833,0.332619,False,0.73,600,200
openai__gpt-5.2,dependency_depth,0.059593,0.11319,0.526481,0.598554,-0.162261,0.281446,False,0.73,600,200
openai__gpt-5.2,mean_dependency_distance,-0.278293,0.163973,-1.697192,0.08966,-0.599679,0.043093,False,0.73,600,200
openai__gpt-5.2,normalized_dependency_distance,-0.079745,0.200055,-0.398614,0.690178,-0.471852,0.312363,False,0.73,600,200
openai__gpt-5.2,sentence_compression_ratio,-0.853918,0.174606,-4.890537,1e-06,-1.196147,-0.51169,True,0.73,600,200
openai__gpt-5.2,extra_number_ratio,-0.245509,0.11314,-2.169962,0.03001,-0.467263,-0.023755,True,0.73,600,200
openai__gpt-5.2,extra_entity_count,0.18988,0.104095,1.824098,0.068137,-0.014147,0.393906,False,0.73,600,200
openai__gpt-5.2,register_score,0.125508,0.095463,1.314724,0.188603,-0.0616,0.312616,False,0.73,600,200
openai__gpt-5.2,translationese_score,-0.11911,0.120958,-0.984722,0.324761,-0.356188,0.117968,False,0.73,600,200
openai__gpt-5.2,target_lm_naturalness_score,0.148367,0.142155,1.043693,0.296627,-0.130258,0.426991,False,0.73,600,200
