id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
001,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,12,6,3,3,9,"{""A"": 1, ""C"": 4}"
002,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 2, ""C"": 3}"
003,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,7,12,4,8,3,"{""B"": 4, ""C"": 1}"
004,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,7,13,5,8,2,"{""A"": 2, ""B"": 3}"
005,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
006,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
007,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
008,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
009,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,8,11,4,7,4,"{""A"": 1, ""B"": 2, ""C"": 2}"
010,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,14,7,6,1,8,"{""A"": 2, ""C"": 3}"
011,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,9,14,8,6,1,"{""A"": 3, ""B"": 2}"
012,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
013,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,10,7,2,5,8,"{""B"": 2, ""C"": 3}"
014,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
015,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
016,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
017,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,6,14,5,9,1,"{""A"": 1, ""B"": 4}"
018,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
019,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
020,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""A"": 1, ""B"": 4}"
021,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
022,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
023,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
024,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,12,7,4,3,8,"{""A"": 1, ""B"": 1, ""C"": 3}"
025,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
026,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
027,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,11,13,9,4,2,"{""A"": 4, ""B"": 1}"
028,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,15,7,7,0,8,"{""A"": 2, ""C"": 3}"
029,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,11,5,1,4,10,"{""C"": 5}"
030,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
031,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
032,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
033,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
034,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,11,8,4,4,7,"{""A"": 1, ""B"": 2, ""C"": 2}"
035,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
036,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,7,13,5,8,2,"{""A"": 1, ""B"": 4}"
037,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
038,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,6,13,4,9,2,"{""B"": 4, ""C"": 1}"
039,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
040,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
041,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
042,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,8,10,3,7,5,"{""B"": 3, ""C"": 2}"
043,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
044,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
045,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
046,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
047,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,12,6,3,3,9,"{""B"": 1, ""C"": 4}"
048,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,14,6,5,1,9,"{""A"": 1, ""C"": 4}"
049,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
050,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,10,6,1,5,9,"{""B"": 1, ""C"": 4}"
051,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,15,7,8,0,"{""A"": 2, ""B"": 3}"
052,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,9,8,2,6,7,"{""A"": 1, ""B"": 2, ""C"": 2}"
053,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
054,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,14,6,5,1,9,"{""A"": 1, ""C"": 4}"
055,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
056,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
057,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 2, ""C"": 3}"
