model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,extra_number_count,-0.145923,0.641667,-0.090292,600
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.24774,0.641667,-0.090292,600
anthropic__claude-sonnet-4.6,extra_entity_count,-0.058488,0.641667,-0.090292,600
anthropic__claude-sonnet-4.6,financial_register_score,-0.114963,0.641667,-0.090292,600
anthropic__claude-sonnet-4.6,statistical_register_score,0.171162,0.641667,-0.090292,600
anthropic__claude-sonnet-4.6,register_score,0.10891,0.641667,-0.090292,600
anthropic__claude-sonnet-4.6,translationese_score,-0.582399,0.641667,-0.090292,600
deepseek__deepseek-v4-flash,extra_number_count,0.197581,0.628333,0.32752,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.427184,0.628333,0.32752,600
deepseek__deepseek-v4-flash,extra_entity_count,-0.05645,0.628333,0.32752,600
deepseek__deepseek-v4-flash,financial_register_score,-0.023232,0.628333,0.32752,600
deepseek__deepseek-v4-flash,statistical_register_score,0.067755,0.628333,0.32752,600
deepseek__deepseek-v4-flash,register_score,0.05277,0.628333,0.32752,600
deepseek__deepseek-v4-flash,translationese_score,-0.555001,0.628333,0.32752,600
google__gemini-3-flash-preview,extra_number_count,0.03774,0.673333,-0.110302,600
google__gemini-3-flash-preview,extra_number_ratio,-0.356077,0.673333,-0.110302,600
google__gemini-3-flash-preview,extra_entity_count,-0.127508,0.673333,-0.110302,600
google__gemini-3-flash-preview,financial_register_score,0.018483,0.673333,-0.110302,600
google__gemini-3-flash-preview,statistical_register_score,0.114463,0.673333,-0.110302,600
google__gemini-3-flash-preview,register_score,0.114187,0.673333,-0.110302,600
google__gemini-3-flash-preview,translationese_score,-0.634903,0.673333,-0.110302,600
moonshotai__kimi-k2.5,extra_number_count,0.199486,0.675,0.172828,600
moonshotai__kimi-k2.5,extra_number_ratio,-0.533342,0.675,0.172828,600
moonshotai__kimi-k2.5,extra_entity_count,-0.137754,0.675,0.172828,600
moonshotai__kimi-k2.5,financial_register_score,-0.030299,0.675,0.172828,600
moonshotai__kimi-k2.5,statistical_register_score,0.13601,0.675,0.172828,600
moonshotai__kimi-k2.5,register_score,0.113021,0.675,0.172828,600
moonshotai__kimi-k2.5,translationese_score,-0.69374,0.675,0.172828,600
openai__gpt-5.2,extra_number_count,0.15739,0.653333,0.276954,600
openai__gpt-5.2,extra_number_ratio,-0.343689,0.653333,0.276954,600
openai__gpt-5.2,extra_entity_count,-0.113644,0.653333,0.276954,600
openai__gpt-5.2,financial_register_score,-0.125816,0.653333,0.276954,600
openai__gpt-5.2,statistical_register_score,0.129547,0.653333,0.276954,600
openai__gpt-5.2,register_score,0.065602,0.653333,0.276954,600
openai__gpt-5.2,translationese_score,-0.594535,0.653333,0.276954,600
