version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
claude-version,deepseek__deepseek-v4-flash,intercept,0.355238,0.066341,5.354707,0.0,0.225209,0.485267,True,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.122831,0.085443,1.437586,0.150552,-0.044637,0.2903,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,bidirectional_entailment,-0.051324,0.128577,-0.399171,0.689767,-0.303334,0.200686,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_boundary_risk,-0.010309,0.072827,-0.141559,0.887428,-0.15305,0.132431,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_omission_risk,-0.280851,0.114499,-2.452872,0.014172,-0.505268,-0.056433,True,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_contradiction_risk,0.044529,0.114943,0.387401,0.69846,-0.18076,0.269818,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,dependency_depth,-0.096963,0.083856,-1.156307,0.247555,-0.26132,0.067394,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,mean_dependency_distance,-0.126663,0.110194,-1.149451,0.25037,-0.342644,0.089318,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,normalized_dependency_distance,0.105388,0.11608,0.90789,0.363936,-0.122129,0.332905,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,clause_count,-0.047093,0.076806,-0.613139,0.539785,-0.197632,0.103447,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,modifier_density,0.171194,0.086435,1.980612,0.047635,0.001782,0.340606,True,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,nominalization_ratio,0.066945,0.085818,0.780087,0.435339,-0.101257,0.235147,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,coordination_count,0.233695,0.082639,2.82789,0.004686,0.071722,0.395669,True,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.000769,0.080073,-0.009606,0.992335,-0.157713,0.156174,False,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,0.339958,0.102089,3.330005,0.000868,0.139863,0.540053,True,0.720833,1200,400
claude-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.659757,0.086377,-7.638145,0.0,-0.829055,-0.490459,True,0.720833,1200,400
