model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,forward_entailment,0.014258,0.050582,0.28188,0.778035,-0.084882,0.113398,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_neutral,0.132113,0.055101,2.397667,0.0165,0.024116,0.24011,True,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,forward_contradiction,-0.15006,0.080816,-1.856801,0.063339,-0.30846,0.00834,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_entailment,0.122486,0.0738,1.659695,0.096976,-0.022163,0.267135,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_neutral,-0.095411,0.07159,-1.332747,0.182615,-0.235727,0.044905,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,backward_contradiction,-0.135678,0.093178,-1.456112,0.145362,-0.318307,0.046951,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.051562,0.230303,0.223888,0.822844,-0.399831,0.502955,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_boundary_risk,-0.014265,0.050581,-0.282021,0.777927,-0.113404,0.084874,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.122483,0.0738,-1.659653,0.096984,-0.267132,0.022166,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,nli_contradiction_risk,0.169187,0.14601,1.158733,0.246565,-0.116993,0.455367,False,0.54,-0.12702,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.008612,0.059282,0.145273,0.884496,-0.10758,0.124804,False,0.54,-0.12702,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_entailment,0.06112,0.08096,0.754943,0.450283,-0.097561,0.219801,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_neutral,-0.031236,0.079259,-0.3941,0.693507,-0.186584,0.124112,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,forward_contradiction,-0.03721,0.065431,-0.568688,0.569568,-0.165455,0.091035,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_entailment,0.081722,0.072559,1.126279,0.260048,-0.060494,0.223938,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_neutral,-0.060605,0.06821,-0.888505,0.374269,-0.194297,0.073087,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,backward_contradiction,-0.104114,0.084541,-1.231526,0.218126,-0.269814,0.061586,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,bidirectional_entailment,0.160583,0.221704,0.724314,0.468873,-0.273956,0.595122,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.06112,0.080959,-0.754947,0.450281,-0.2198,0.09756,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_omission_risk,-0.081718,0.072559,-1.126226,0.26007,-0.223934,0.060498,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.216248,0.146634,1.474747,0.14028,-0.071154,0.50365,False,0.593333,0.262948,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,semantic_fidelity_score,-0.027633,0.042943,-0.643474,0.519916,-0.111802,0.056536,False,0.593333,0.262948,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_entailment,0.044685,0.051783,0.862932,0.388175,-0.056809,0.146179,False,0.515,-0.062075,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_neutral,0.127942,0.056866,2.249889,0.024456,0.016485,0.239399,True,0.515,-0.062075,600,200,feature_family_multivariate
google__gemini-3-flash-preview,forward_contradiction,-0.180128,0.090073,-1.999807,0.045521,-0.35667,-0.003586,True,0.515,-0.062075,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_entailment,0.118406,0.070333,1.683502,0.092278,-0.019447,0.256259,False,0.515,-0.062075,600,200,feature_family_multivariate
google__gemini-3-flash-preview,backward_neutral,-0.066321,0.069151,-0.959077,0.33752,-0.201857,0.069215,False,0.515,-0.062075,600,200,feature_family_multivariate
