version,version_meaning,direction,format,category,path,meaning,main_use,caution
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,JSON,dataset,kimi-version/ce/datasets/ecpcfe_200ce.candidate_position_map.json,Base 200-sample dataset with source and reference/human translation.,Use as the source corpus subset for this direction.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,JSON,dataset,kimi-version/ce/datasets/ecpcfe_200ce.json,Base 200-sample dataset with source and reference/human translation.,Use as the source corpus subset for this direction.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,JSON,dataset,kimi-version/ce/datasets/ecpcfe_200ce.with_candidates.json,Dataset with three candidate translations before blind shuffling.,Use to inspect candidate texts and candidate source labels.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,JSON,dataset,kimi-version/ce/datasets/ecpcfe_200ce.with_candidates.shuffled.json,Blind-judge dataset with candidate labels shuffled to A/B/C.,Use as the direct input for judge-model ranking.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,JSON,dataset,kimi-version/ce/datasets/ecpcfe_200ce.with_variants.json,Dataset with generated translation variants.,Use to audit candidate generation before final candidate packing.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,CSV,cross-lingual NLI,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.crosslingual_nli_features.model_top1_averages.csv,"XNLI-style entailment, contradiction, omission, and boundary-risk features.",Use to analyze semantic completeness and omission/contradiction risk.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,CSV,cross-lingual NLI,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.crosslingual_nli_features.pairwise_logistic_preferences.csv,"XNLI-style entailment, contradiction, omission, and boundary-risk features.",Use to analyze semantic completeness and omission/contradiction risk.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,CSV,cross-lingual NLI,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.crosslingual_nli_features.univariate_pairwise_logistic_preferences.csv,"XNLI-style entailment, contradiction, omission, and boundary-risk features.",Use to analyze semantic completeness and omission/contradiction risk.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,CSV,consensus ranking,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.condorcet_summary.csv,Condorcet-style pairwise majority summary.,Use to inspect majority preference cycles or stable winners.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,CSV,consensus ranking,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.consensus_borda_summary.csv,Consensus ranking built from Borda aggregation across judge models.,Use to inspect group-level preferred candidates.,
kimi-version,domestic-generator version: candidates were generated in the Kimi-based run,CE Chinese-to-English,CSV,model disagreement,kimi-version/ce/results/model_based_metrics/analysis/pilot/csv/ecpcfe_200ce.five_models.high_disagreement_summary.csv,Samples with high disagreement among judge models.,Use for qualitative error analysis.,
