model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,-0.149313,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,forward_neutral,0.144715,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,forward_contradiction,0.005598,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,backward_entailment,0.056253,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.144239,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,backward_contradiction,0.238954,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,-0.077592,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.149327,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.056247,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.335888,0.528333,-0.106742,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.125487,0.528333,-0.106742,600
deepseek__deepseek-v4-flash,forward_entailment,-0.018356,0.601667,0.298925,600
deepseek__deepseek-v4-flash,forward_neutral,0.002737,0.601667,0.298925,600
deepseek__deepseek-v4-flash,forward_contradiction,0.027671,0.601667,0.298925,600
deepseek__deepseek-v4-flash,backward_entailment,0.126366,0.601667,0.298925,600
deepseek__deepseek-v4-flash,backward_neutral,-0.121155,0.601667,0.298925,600
deepseek__deepseek-v4-flash,backward_contradiction,-0.024149,0.601667,0.298925,600
deepseek__deepseek-v4-flash,bidirectional_entailment,-0.197369,0.601667,0.298925,600
deepseek__deepseek-v4-flash,nli_boundary_risk,0.018352,0.601667,0.298925,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.126363,0.601667,0.298925,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.036195,0.601667,0.298925,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.046585,0.601667,0.298925,600
google__gemini-3-flash-preview,forward_entailment,-0.115209,0.525,-0.119307,600
google__gemini-3-flash-preview,forward_neutral,0.129161,0.525,-0.119307,600
google__gemini-3-flash-preview,forward_contradiction,-0.027053,0.525,-0.119307,600
google__gemini-3-flash-preview,backward_entailment,0.067102,0.525,-0.119307,600
google__gemini-3-flash-preview,backward_neutral,-0.089586,0.525,-0.119307,600
google__gemini-3-flash-preview,backward_contradiction,0.057011,0.525,-0.119307,600
google__gemini-3-flash-preview,bidirectional_entailment,-0.010823,0.525,-0.119307,600
google__gemini-3-flash-preview,nli_boundary_risk,0.115223,0.525,-0.119307,600
google__gemini-3-flash-preview,nli_omission_risk,-0.067095,0.525,-0.119307,600
google__gemini-3-flash-preview,nli_contradiction_risk,-0.153272,0.525,-0.119307,600
google__gemini-3-flash-preview,semantic_fidelity_score,0.06197,0.525,-0.119307,600
moonshotai__kimi-k2.5,forward_entailment,-0.116729,0.575,0.131271,600
moonshotai__kimi-k2.5,forward_neutral,0.127158,0.575,0.131271,600
moonshotai__kimi-k2.5,forward_contradiction,-0.020787,0.575,0.131271,600
moonshotai__kimi-k2.5,backward_entailment,0.015331,0.575,0.131271,600
moonshotai__kimi-k2.5,backward_neutral,-0.107481,0.575,0.131271,600
moonshotai__kimi-k2.5,backward_contradiction,0.253612,0.575,0.131271,600
moonshotai__kimi-k2.5,bidirectional_entailment,-0.030865,0.575,0.131271,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.11673,0.575,0.131271,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.015329,0.575,0.131271,600
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.313589,0.575,0.131271,600
moonshotai__kimi-k2.5,semantic_fidelity_score,0.105322,0.575,0.131271,600
openai__gpt-5.2,forward_entailment,-0.101139,0.601667,0.24504,600
openai__gpt-5.2,forward_neutral,0.1252,0.601667,0.24504,600
openai__gpt-5.2,forward_contradiction,-0.044931,0.601667,0.24504,600
openai__gpt-5.2,backward_entailment,0.089027,0.601667,0.24504,600
openai__gpt-5.2,backward_neutral,-0.112381,0.601667,0.24504,600
openai__gpt-5.2,backward_contradiction,0.057713,0.601667,0.24504,600
openai__gpt-5.2,bidirectional_entailment,-0.078786,0.601667,0.24504,600
openai__gpt-5.2,nli_boundary_risk,0.101151,0.601667,0.24504,600
openai__gpt-5.2,nli_omission_risk,-0.089024,0.601667,0.24504,600
openai__gpt-5.2,nli_contradiction_risk,-0.131158,0.601667,0.24504,600
openai__gpt-5.2,semantic_fidelity_score,0.069581,0.601667,0.24504,600
