model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,clause_count,0.097516,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,dependency_depth,0.030545,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.298153,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,max_dependency_distance,0.035455,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.395467,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,nominalization_ratio,-0.243508,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,modifier_density,0.404901,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,coordination_count,-0.104857,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,passive_count,-0.022881,0.596667,0.028028,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.407058,0.596667,0.028028,600
deepseek__deepseek-v4-flash,clause_count,0.087347,0.616667,0.186035,600
deepseek__deepseek-v4-flash,dependency_depth,-0.042734,0.616667,0.186035,600
deepseek__deepseek-v4-flash,mean_dependency_distance,0.283837,0.616667,0.186035,600
deepseek__deepseek-v4-flash,max_dependency_distance,-0.071325,0.616667,0.186035,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.374126,0.616667,0.186035,600
deepseek__deepseek-v4-flash,nominalization_ratio,-0.273056,0.616667,0.186035,600
deepseek__deepseek-v4-flash,modifier_density,0.272303,0.616667,0.186035,600
deepseek__deepseek-v4-flash,coordination_count,-0.219855,0.616667,0.186035,600
deepseek__deepseek-v4-flash,passive_count,0.114082,0.616667,0.186035,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.042708,0.616667,0.186035,600
google__gemini-3-flash-preview,clause_count,0.233256,0.658333,-0.435308,600
google__gemini-3-flash-preview,dependency_depth,-0.04528,0.658333,-0.435308,600
google__gemini-3-flash-preview,mean_dependency_distance,0.370422,0.658333,-0.435308,600
google__gemini-3-flash-preview,max_dependency_distance,0.021118,0.658333,-0.435308,600
google__gemini-3-flash-preview,normalized_dependency_distance,-0.45562,0.658333,-0.435308,600
google__gemini-3-flash-preview,nominalization_ratio,-0.220159,0.658333,-0.435308,600
google__gemini-3-flash-preview,modifier_density,0.195411,0.658333,-0.435308,600
google__gemini-3-flash-preview,coordination_count,-0.367688,0.658333,-0.435308,600
google__gemini-3-flash-preview,passive_count,0.068337,0.658333,-0.435308,600
google__gemini-3-flash-preview,sentence_compression_ratio,-0.479895,0.658333,-0.435308,600
moonshotai__kimi-k2.5,clause_count,0.148931,0.63,0.340019,600
moonshotai__kimi-k2.5,dependency_depth,0.061506,0.63,0.340019,600
moonshotai__kimi-k2.5,mean_dependency_distance,0.335121,0.63,0.340019,600
moonshotai__kimi-k2.5,max_dependency_distance,-0.187118,0.63,0.340019,600
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.333769,0.63,0.340019,600
moonshotai__kimi-k2.5,nominalization_ratio,-0.275621,0.63,0.340019,600
moonshotai__kimi-k2.5,modifier_density,0.439793,0.63,0.340019,600
moonshotai__kimi-k2.5,coordination_count,-0.218011,0.63,0.340019,600
moonshotai__kimi-k2.5,passive_count,0.009976,0.63,0.340019,600
moonshotai__kimi-k2.5,sentence_compression_ratio,-0.392558,0.63,0.340019,600
openai__gpt-5.2,clause_count,0.213869,0.638333,-0.041399,600
openai__gpt-5.2,dependency_depth,-0.053256,0.638333,-0.041399,600
openai__gpt-5.2,mean_dependency_distance,0.201147,0.638333,-0.041399,600
openai__gpt-5.2,max_dependency_distance,-0.10973,0.638333,-0.041399,600
openai__gpt-5.2,normalized_dependency_distance,-0.265511,0.638333,-0.041399,600
openai__gpt-5.2,nominalization_ratio,-0.293452,0.638333,-0.041399,600
openai__gpt-5.2,modifier_density,0.435791,0.638333,-0.041399,600
openai__gpt-5.2,coordination_count,-0.401457,0.638333,-0.041399,600
openai__gpt-5.2,passive_count,0.125147,0.638333,-0.041399,600
openai__gpt-5.2,sentence_compression_ratio,-0.105809,0.638333,-0.041399,600
