model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
deepseek__deepseek-v4-flash,intercept,0.221621,0.094793,2.337964,0.019389,0.035828,0.407415,True,0.685,600,200
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.833211,0.130592,6.380262,0.0,0.577251,1.089172,True,0.685,600,200
deepseek__deepseek-v4-flash,bidirectional_entailment,0.064063,0.136685,0.46869,0.639291,-0.20384,0.331966,False,0.685,600,200
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.180025,0.13741,-1.310129,0.190152,-0.449348,0.089299,False,0.685,600,200
deepseek__deepseek-v4-flash,nli_omission_risk,-0.357775,0.096349,-3.71332,0.000205,-0.546619,-0.168931,True,0.685,600,200
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.035336,0.091977,0.384184,0.700842,-0.144939,0.215611,False,0.685,600,200
deepseek__deepseek-v4-flash,dependency_depth,-0.031644,0.101757,-0.310978,0.755817,-0.231089,0.1678,False,0.685,600,200
deepseek__deepseek-v4-flash,mean_dependency_distance,0.021861,0.135814,0.160961,0.872124,-0.244335,0.288056,False,0.685,600,200
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.213859,0.165311,-1.293676,0.195777,-0.537869,0.110151,False,0.685,600,200
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.454685,0.150966,-3.011833,0.002597,-0.750579,-0.158791,True,0.685,600,200
deepseek__deepseek-v4-flash,extra_number_ratio,-0.538889,0.086123,-6.257216,0.0,-0.70769,-0.370089,True,0.685,600,200
deepseek__deepseek-v4-flash,extra_entity_count,0.059129,0.104107,0.567962,0.570061,-0.144921,0.263179,False,0.685,600,200
deepseek__deepseek-v4-flash,register_score,0.235745,0.098204,2.400562,0.01637,0.043265,0.428225,True,0.685,600,200
