model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
deepseek__deepseek-v4-flash,intercept,0.347612,0.064881,5.357717,0.0,0.220446,0.474778,True,0.705833,1200,400
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,-0.041016,0.089313,-0.45924,0.646062,-0.216069,0.134037,False,0.705833,1200,400
deepseek__deepseek-v4-flash,bidirectional_entailment,0.000359,0.110712,0.003239,0.997416,-0.216636,0.217353,False,0.705833,1200,400
deepseek__deepseek-v4-flash,nli_boundary_risk,0.053223,0.080953,0.657459,0.510886,-0.105445,0.211891,False,0.705833,1200,400
deepseek__deepseek-v4-flash,nli_omission_risk,-0.231314,0.101176,-2.286264,0.022239,-0.429618,-0.03301,True,0.705833,1200,400
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.004946,0.105067,-0.047076,0.962453,-0.210877,0.200985,False,0.705833,1200,400
deepseek__deepseek-v4-flash,dependency_depth,0.001437,0.074345,0.019329,0.984579,-0.14428,0.147154,False,0.705833,1200,400
deepseek__deepseek-v4-flash,mean_dependency_distance,0.100979,0.125465,0.804836,0.420914,-0.144932,0.346889,False,0.705833,1200,400
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.00831,0.145325,0.057185,0.954397,-0.276526,0.293147,False,0.705833,1200,400
deepseek__deepseek-v4-flash,clause_count,-0.001325,0.074219,-0.017854,0.985755,-0.146793,0.144143,False,0.705833,1200,400
deepseek__deepseek-v4-flash,modifier_density,0.18865,0.083744,2.252709,0.024277,0.024513,0.352788,True,0.705833,1200,400
deepseek__deepseek-v4-flash,nominalization_ratio,0.084334,0.081756,1.031536,0.302289,-0.075907,0.244576,False,0.705833,1200,400
deepseek__deepseek-v4-flash,coordination_count,0.15169,0.075804,2.001086,0.045383,0.003114,0.300265,True,0.705833,1200,400
deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.179445,0.085295,-2.103826,0.035394,-0.346622,-0.012268,True,0.705833,1200,400
deepseek__deepseek-v4-flash,sentence_compression_ratio,0.128913,0.109151,1.181052,0.237582,-0.085023,0.34285,False,0.705833,1200,400
deepseek__deepseek-v4-flash,extra_number_ratio,-0.169446,0.078593,-2.155997,0.031084,-0.323488,-0.015404,True,0.705833,1200,400
deepseek__deepseek-v4-flash,extra_entity_count,-0.055261,0.0709,-0.779431,0.435726,-0.194225,0.083702,False,0.705833,1200,400
deepseek__deepseek-v4-flash,register_score,0.053491,0.06611,0.809118,0.418448,-0.076085,0.183066,False,0.705833,1200,400
deepseek__deepseek-v4-flash,target_function_word_density,-0.821338,0.085965,-9.554388,0.0,-0.989829,-0.652848,True,0.705833,1200,400
deepseek__deepseek-v4-flash,target_passive_density,-0.130542,0.095497,-1.36698,0.171632,-0.317716,0.056632,False,0.705833,1200,400
deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,-0.159716,0.06487,-2.462109,0.013812,-0.28686,-0.032572,True,0.705833,1200,400
deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.262657,0.076954,-3.413142,0.000642,-0.413487,-0.111826,True,0.705833,1200,400
deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.065299,0.080038,0.815847,0.414588,-0.091576,0.222174,False,0.705833,1200,400
deepseek__deepseek-v4-flash,target_avg_sentence_length,0.160307,0.090773,1.766023,0.077392,-0.017608,0.338221,False,0.705833,1200,400
google__gemini-3-flash-preview,intercept,-0.059291,0.070687,-0.83879,0.401587,-0.197837,0.079255,False,0.716667,1200,400
google__gemini-3-flash-preview,crosslingual_embedding_similarity,-0.019875,0.091019,-0.218357,0.827151,-0.198271,0.158522,False,0.716667,1200,400
google__gemini-3-flash-preview,bidirectional_entailment,0.160872,0.109788,1.465299,0.142839,-0.054312,0.376056,False,0.716667,1200,400
google__gemini-3-flash-preview,nli_boundary_risk,0.298025,0.098253,3.033225,0.00242,0.105448,0.490601,True,0.716667,1200,400
google__gemini-3-flash-preview,nli_omission_risk,-0.210091,0.101733,-2.065125,0.038911,-0.409487,-0.010695,True,0.716667,1200,400
google__gemini-3-flash-preview,nli_contradiction_risk,-0.145763,0.142245,-1.024731,0.30549,-0.424564,0.133038,False,0.716667,1200,400
google__gemini-3-flash-preview,dependency_depth,0.005612,0.076847,0.073033,0.94178,-0.145008,0.156233,False,0.716667,1200,400
google__gemini-3-flash-preview,mean_dependency_distance,0.270787,0.134667,2.010785,0.044348,0.006839,0.534734,True,0.716667,1200,400
google__gemini-3-flash-preview,normalized_dependency_distance,-0.163944,0.169254,-0.968629,0.33273,-0.495681,0.167793,False,0.716667,1200,400
google__gemini-3-flash-preview,clause_count,0.099788,0.084054,1.187201,0.235148,-0.064956,0.264533,False,0.716667,1200,400
google__gemini-3-flash-preview,modifier_density,0.243404,0.081836,2.974299,0.002937,0.083006,0.403801,True,0.716667,1200,400
google__gemini-3-flash-preview,nominalization_ratio,0.225221,0.08528,2.64096,0.008267,0.058072,0.392369,True,0.716667,1200,400
google__gemini-3-flash-preview,coordination_count,0.042238,0.0756,0.5587,0.576366,-0.105939,0.190414,False,0.716667,1200,400
google__gemini-3-flash-preview,passive_or_beishi_count,-0.223549,0.088053,-2.538791,0.011124,-0.396133,-0.050964,True,0.716667,1200,400
google__gemini-3-flash-preview,sentence_compression_ratio,0.144832,0.114496,1.26495,0.205889,-0.07958,0.369244,False,0.716667,1200,400
google__gemini-3-flash-preview,extra_number_ratio,-0.139709,0.091853,-1.521014,0.128256,-0.319741,0.040322,False,0.716667,1200,400
google__gemini-3-flash-preview,extra_entity_count,-0.142102,0.073214,-1.940915,0.052269,-0.285602,0.001397,False,0.716667,1200,400
google__gemini-3-flash-preview,register_score,0.181197,0.07018,2.581892,0.009826,0.043644,0.318749,True,0.716667,1200,400
google__gemini-3-flash-preview,target_function_word_density,-0.965283,0.086893,-11.108878,0.0,-1.135593,-0.794973,True,0.716667,1200,400
google__gemini-3-flash-preview,target_passive_density,-0.131119,0.092431,-1.418568,0.156025,-0.312283,0.050045,False,0.716667,1200,400
google__gemini-3-flash-preview,target_pronoun_subject_ratio,-0.113161,0.065423,-1.729678,0.083688,-0.24139,0.015068,False,0.716667,1200,400
google__gemini-3-flash-preview,target_explicit_connective_density,-0.223059,0.075416,-2.957703,0.003099,-0.370875,-0.075243,True,0.716667,1200,400
google__gemini-3-flash-preview,target_nominalization_suffix_density,-0.053405,0.088684,-0.602199,0.547041,-0.227226,0.120415,False,0.716667,1200,400
google__gemini-3-flash-preview,target_avg_sentence_length,0.224548,0.106671,2.10506,0.035286,0.015474,0.433623,True,0.716667,1200,400
moonshotai__kimi-k2.5,intercept,0.237366,0.065473,3.625389,0.000289,0.109038,0.365693,True,0.7375,1200,400
moonshotai__kimi-k2.5,crosslingual_embedding_similarity,-0.097853,0.097794,-1.000604,0.317018,-0.28953,0.093823,False,0.7375,1200,400
moonshotai__kimi-k2.5,bidirectional_entailment,0.022893,0.105846,0.216285,0.828766,-0.184566,0.230352,False,0.7375,1200,400
moonshotai__kimi-k2.5,nli_boundary_risk,0.142348,0.118177,1.204529,0.228385,-0.089279,0.373975,False,0.7375,1200,400
moonshotai__kimi-k2.5,nli_omission_risk,-0.206584,0.102743,-2.010683,0.044359,-0.407961,-0.005207,True,0.7375,1200,400
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.092718,0.156984,-0.590618,0.554776,-0.400407,0.214972,False,0.7375,1200,400
moonshotai__kimi-k2.5,dependency_depth,-0.029909,0.074672,-0.400545,0.688755,-0.176266,0.116447,False,0.7375,1200,400
moonshotai__kimi-k2.5,mean_dependency_distance,0.226177,0.131585,1.718863,0.085639,-0.03173,0.484084,False,0.7375,1200,400
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.161582,0.166831,-0.968537,0.332776,-0.488569,0.165406,False,0.7375,1200,400
moonshotai__kimi-k2.5,clause_count,0.091921,0.080065,1.148074,0.250938,-0.065007,0.248849,False,0.7375,1200,400
moonshotai__kimi-k2.5,modifier_density,0.306481,0.08437,3.632577,0.000281,0.141116,0.471846,True,0.7375,1200,400
moonshotai__kimi-k2.5,nominalization_ratio,0.222958,0.085901,2.595513,0.009445,0.054591,0.391325,True,0.7375,1200,400
moonshotai__kimi-k2.5,coordination_count,0.068957,0.073466,0.938631,0.34792,-0.075036,0.21295,False,0.7375,1200,400
moonshotai__kimi-k2.5,passive_or_beishi_count,-0.288974,0.096161,-3.005103,0.002655,-0.47745,-0.100498,True,0.7375,1200,400
moonshotai__kimi-k2.5,sentence_compression_ratio,0.244857,0.107664,2.274272,0.02295,0.033836,0.455878,True,0.7375,1200,400
moonshotai__kimi-k2.5,extra_number_ratio,-0.236702,0.095972,-2.466365,0.013649,-0.424808,-0.048597,True,0.7375,1200,400
moonshotai__kimi-k2.5,extra_entity_count,-0.107204,0.068258,-1.57057,0.116282,-0.24099,0.026582,False,0.7375,1200,400
moonshotai__kimi-k2.5,register_score,0.187592,0.067243,2.789753,0.005275,0.055795,0.319389,True,0.7375,1200,400
moonshotai__kimi-k2.5,target_function_word_density,-1.044437,0.091485,-11.416471,0.0,-1.223748,-0.865126,True,0.7375,1200,400
moonshotai__kimi-k2.5,target_passive_density,-0.092641,0.09678,-0.957232,0.33845,-0.282331,0.097048,False,0.7375,1200,400
moonshotai__kimi-k2.5,target_pronoun_subject_ratio,-0.095445,0.079172,-1.205532,0.227998,-0.250622,0.059733,False,0.7375,1200,400
moonshotai__kimi-k2.5,target_explicit_connective_density,-0.315361,0.079326,-3.975497,7e-05,-0.470841,-0.159882,True,0.7375,1200,400
moonshotai__kimi-k2.5,target_nominalization_suffix_density,-0.025913,0.085623,-0.302638,0.762166,-0.193735,0.141909,False,0.7375,1200,400
moonshotai__kimi-k2.5,target_avg_sentence_length,0.208506,0.09469,2.20198,0.027667,0.022913,0.394099,True,0.7375,1200,400
openai__gpt-5.2,intercept,0.317186,0.067826,4.676495,3e-06,0.184248,0.450124,True,0.716667,1200,400
openai__gpt-5.2,crosslingual_embedding_similarity,0.109563,0.089694,1.221517,0.22189,-0.066237,0.285363,False,0.716667,1200,400
openai__gpt-5.2,bidirectional_entailment,0.018679,0.110194,0.169507,0.865398,-0.197302,0.234659,False,0.716667,1200,400
openai__gpt-5.2,nli_boundary_risk,0.153631,0.106862,1.437665,0.150529,-0.055818,0.36308,False,0.716667,1200,400
openai__gpt-5.2,nli_omission_risk,-0.187575,0.100373,-1.868767,0.061655,-0.384306,0.009157,False,0.716667,1200,400
