feature,model,value,rank_for_feature
clause_count,anthropic__claude-sonnet-4.6,12.725,1
clause_count,moonshotai__kimi-k2.5,12.71,2
clause_count,openai__gpt-5.2,12.705,3
clause_count,google__gemini-3-flash-preview,12.67,4
clause_count,deepseek__deepseek-v4-flash,12.59,5
dependency_depth,anthropic__claude-sonnet-4.6,5.645,1
dependency_depth,openai__gpt-5.2,5.64,2
dependency_depth,moonshotai__kimi-k2.5,5.63,3
dependency_depth,deepseek__deepseek-v4-flash,5.625,4
dependency_depth,google__gemini-3-flash-preview,5.625,5
mean_dependency_distance,openai__gpt-5.2,4.245179,1
mean_dependency_distance,google__gemini-3-flash-preview,4.244406,2
mean_dependency_distance,deepseek__deepseek-v4-flash,4.238521,3
mean_dependency_distance,moonshotai__kimi-k2.5,4.231278,4
mean_dependency_distance,anthropic__claude-sonnet-4.6,4.211297,5
max_dependency_distance,openai__gpt-5.2,31.64,1
max_dependency_distance,google__gemini-3-flash-preview,31.635,2
max_dependency_distance,deepseek__deepseek-v4-flash,31.285,3
max_dependency_distance,anthropic__claude-sonnet-4.6,31.265,4
max_dependency_distance,moonshotai__kimi-k2.5,31.09,5
normalized_dependency_distance,google__gemini-3-flash-preview,0.054101,1
normalized_dependency_distance,deepseek__deepseek-v4-flash,0.053963,2
normalized_dependency_distance,moonshotai__kimi-k2.5,0.053771,3
normalized_dependency_distance,openai__gpt-5.2,0.053762,4
normalized_dependency_distance,anthropic__claude-sonnet-4.6,0.053421,5
nominalization_ratio,moonshotai__kimi-k2.5,0.495038,1
nominalization_ratio,google__gemini-3-flash-preview,0.494966,2
nominalization_ratio,openai__gpt-5.2,0.493317,3
nominalization_ratio,anthropic__claude-sonnet-4.6,0.493082,4
nominalization_ratio,deepseek__deepseek-v4-flash,0.492056,5
modifier_density,openai__gpt-5.2,0.385278,1
modifier_density,moonshotai__kimi-k2.5,0.384705,2
modifier_density,google__gemini-3-flash-preview,0.38374,3
modifier_density,deepseek__deepseek-v4-flash,0.383302,4
modifier_density,anthropic__claude-sonnet-4.6,0.382817,5
coordination_count,deepseek__deepseek-v4-flash,4.485,1
coordination_count,moonshotai__kimi-k2.5,4.445,2
coordination_count,openai__gpt-5.2,4.44,3
coordination_count,google__gemini-3-flash-preview,4.435,4
coordination_count,anthropic__claude-sonnet-4.6,4.4,5
passive_or_beishi_count,google__gemini-3-flash-preview,1.83,1
passive_or_beishi_count,moonshotai__kimi-k2.5,1.855,2
passive_or_beishi_count,openai__gpt-5.2,1.885,3
passive_or_beishi_count,deepseek__deepseek-v4-flash,1.91,4
passive_or_beishi_count,anthropic__claude-sonnet-4.6,1.915,5
sentence_compression_ratio,anthropic__claude-sonnet-4.6,1.609497,1
sentence_compression_ratio,openai__gpt-5.2,1.609495,2
sentence_compression_ratio,deepseek__deepseek-v4-flash,1.604077,3
sentence_compression_ratio,moonshotai__kimi-k2.5,1.600992,4
sentence_compression_ratio,google__gemini-3-flash-preview,1.598793,5
