version,direction,model,id,top_candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,CE,anthropic__claude-sonnet-4.6,001,C,13.0,9.0,4.109091,54.0,0.037355,0.517,0.477876,1.0,9.0,0.671642,113.0,3.0,37.666667,4.313942741,2.000431852,0.980756724,2.732506616,-1.94972353,-0.662241413,-0.129151988,-0.521379701,6.199074279,-1.791345036,5.994289434,6.149075968,0.678758807
claude-version,CE,anthropic__claude-sonnet-4.6,002,C,16.0,8.0,3.722689,30.0,0.031283,0.588136,0.451613,12.0,1.0,0.588608,124.0,5.0,24.8,5.694787373,1.448162002,0.400506681,0.682460389,-2.070241008,-0.159162943,-0.353251396,3.089737734,0.180993771,-1.842124012,6.795176396,12.535735676,-0.345192569
claude-version,CE,anthropic__claude-sonnet-4.6,003,C,10.0,6.0,3.25,27.0,0.03125,0.555435,0.472222,3.0,3.0,0.685039,108.0,4.0,27.0,2.93309811,0.343622301,-0.309318353,0.426204611,-2.070895994,-0.390426566,-0.177396973,0.135187105,1.685513898,-1.783152176,5.630249906,9.342405822,-0.170112805
claude-version,CE,anthropic__claude-sonnet-4.6,004,A,12.0,5.0,2.913043,15.0,0.042218,0.467105,0.438356,6.0,0.0,0.547826,73.0,4.0,18.25,3.853661197,-0.208647549,-0.8153181,-0.598818503,-1.853202369,-1.015102135,-0.466371978,1.120037315,-0.571266292,-1.867064014,3.081973208,9.342405822,-0.866452777
claude-version,CE,anthropic__claude-sonnet-4.6,005,B,7.0,6.0,3.265625,28.0,0.051025,0.566667,0.432836,6.0,0.0,0.504587,67.0,3.0,22.333333,1.552253478,0.343622301,-0.285854689,0.511623203,-1.678400422,-0.310993123,-0.513473556,1.120037315,-0.571266292,-1.893506581,2.645125774,6.149075968,-0.54149415
claude-version,CE,anthropic__claude-sonnet-4.6,006,C,7.0,6.0,3.625,28.0,0.064732,0.448276,0.517241,6.0,0.0,0.68,58.0,2.0,29.0,1.552253478,0.343622301,0.253809597,0.511623203,-1.406342935,-1.148262061,0.206745403,1.120037315,-0.571266292,-1.786233748,1.989854623,2.955746113,-0.010949382
claude-version,CE,anthropic__claude-sonnet-4.6,007,C,14.0,7.0,4.302083,31.0,0.044813,0.57234,0.333333,7.0,14.0,0.595238,99.0,3.0,33.0,4.774224285,0.895892151,1.270567896,0.767878982,-1.801696629,-0.270873294,-1.362522155,1.448320718,9.960374596,-1.838069473,4.974978755,6.149075968,0.307377462
claude-version,CE,anthropic__claude-sonnet-4.6,008,A,23.0,8.0,3.409091,33.0,0.025826,0.647656,0.352518,19.0,0.0,0.746667,139.0,7.0,19.857143,8.916758179,1.448162002,-0.07041545,0.938716167,-2.178551922,0.261766411,-1.198818575,5.387721556,-0.571266292,-1.74546392,7.887294981,18.922395385,-0.738553587
claude-version,CE,anthropic__claude-sonnet-4.6,009,C,9.0,6.0,3.590164,24.0,0.058855,0.598485,0.555556,6.0,8.0,0.654762,63.0,2.0,31.5,2.472816566,0.343622301,0.201497263,0.169948832,-1.522990039,-0.085974135,0.533683255,1.120037315,5.446814215,-1.801667905,2.353894151,2.955746113,0.188004895
claude-version,CE,anthropic__claude-sonnet-4.6,010,C,9.0,7.0,3.8,38.0,0.063333,0.433333,0.360656,9.0,4.0,0.84058,61.0,1.0,61.0,2.472816566,0.895892151,0.516602641,1.365809131,-1.434110384,-1.25393994,-1.129377879,2.104887524,2.437773962,-1.688031953,2.20827834,-0.237583741,2.535665373
