model,feature,n,avg_human,avg_model_top1,avg_diff_model_minus_human,share_model_lower_than_human,share_model_higher_than_human,lower_means_less_burden
anthropic__claude-sonnet-4.6,clause_count,200,12.365,12.725,0.36,0.315,0.45,False
anthropic__claude-sonnet-4.6,dependency_depth,200,5.68,5.645,-0.035,0.305,0.26,True
anthropic__claude-sonnet-4.6,mean_dependency_distance,200,4.184255,4.211297,0.027042,0.46,0.49,True
anthropic__claude-sonnet-4.6,max_dependency_distance,200,29.43,31.265,1.835,0.35,0.545,True
anthropic__claude-sonnet-4.6,normalized_dependency_distance,200,0.055451,0.053421,-0.00203,0.55,0.4,True
anthropic__claude-sonnet-4.6,nominalization_ratio,200,0.485562,0.493082,0.00752,0.395,0.555,False
anthropic__claude-sonnet-4.6,modifier_density,200,0.366793,0.382817,0.016024,0.365,0.58,False
anthropic__claude-sonnet-4.6,coordination_count,200,4.08,4.4,0.32,0.205,0.405,False
anthropic__claude-sonnet-4.6,passive_or_beishi_count,200,2.19,1.915,-0.275,0.33,0.18,True
anthropic__claude-sonnet-4.6,sentence_compression_ratio,200,1.531443,1.609497,0.078054,0.27,0.665,True
deepseek__deepseek-v4-flash,clause_count,200,12.365,12.59,0.225,0.33,0.435,False
deepseek__deepseek-v4-flash,dependency_depth,200,5.68,5.625,-0.055,0.305,0.235,True
deepseek__deepseek-v4-flash,mean_dependency_distance,200,4.184255,4.238521,0.054266,0.4,0.52,True
deepseek__deepseek-v4-flash,max_dependency_distance,200,29.43,31.285,1.855,0.315,0.545,True
deepseek__deepseek-v4-flash,normalized_dependency_distance,200,0.055451,0.053963,-0.001489,0.54,0.38,True
deepseek__deepseek-v4-flash,nominalization_ratio,200,0.485562,0.492056,0.006494,0.375,0.545,False
deepseek__deepseek-v4-flash,modifier_density,200,0.366793,0.383302,0.01651,0.355,0.56,False
deepseek__deepseek-v4-flash,coordination_count,200,4.08,4.485,0.405,0.19,0.395,False
deepseek__deepseek-v4-flash,passive_or_beishi_count,200,2.19,1.91,-0.28,0.32,0.185,True
deepseek__deepseek-v4-flash,sentence_compression_ratio,200,1.531443,1.604077,0.072634,0.255,0.655,True
google__gemini-3-flash-preview,clause_count,200,12.365,12.67,0.305,0.325,0.46,False
google__gemini-3-flash-preview,dependency_depth,200,5.68,5.625,-0.055,0.305,0.245,True
google__gemini-3-flash-preview,mean_dependency_distance,200,4.184255,4.244406,0.060151,0.455,0.525,True
google__gemini-3-flash-preview,max_dependency_distance,200,29.43,31.635,2.205,0.37,0.555,True
google__gemini-3-flash-preview,normalized_dependency_distance,200,0.055451,0.054101,-0.00135,0.54,0.44,True
google__gemini-3-flash-preview,nominalization_ratio,200,0.485562,0.494966,0.009405,0.39,0.59,False
google__gemini-3-flash-preview,modifier_density,200,0.366793,0.38374,0.016947,0.38,0.595,False
google__gemini-3-flash-preview,coordination_count,200,4.08,4.435,0.355,0.22,0.405,False
google__gemini-3-flash-preview,passive_or_beishi_count,200,2.19,1.83,-0.36,0.365,0.195,True
google__gemini-3-flash-preview,sentence_compression_ratio,200,1.531443,1.598793,0.06735,0.29,0.675,True
moonshotai__kimi-k2.5,clause_count,200,12.365,12.71,0.345,0.315,0.455,False
moonshotai__kimi-k2.5,dependency_depth,200,5.68,5.63,-0.05,0.305,0.24,True
moonshotai__kimi-k2.5,mean_dependency_distance,200,4.184255,4.231278,0.047024,0.45,0.51,True
moonshotai__kimi-k2.5,max_dependency_distance,200,29.43,31.09,1.66,0.355,0.545,True
moonshotai__kimi-k2.5,normalized_dependency_distance,200,0.055451,0.053771,-0.00168,0.555,0.405,True
moonshotai__kimi-k2.5,nominalization_ratio,200,0.485562,0.495038,0.009477,0.39,0.57,False
moonshotai__kimi-k2.5,modifier_density,200,0.366793,0.384705,0.017912,0.365,0.59,False
moonshotai__kimi-k2.5,coordination_count,200,4.08,4.445,0.365,0.22,0.4,False
moonshotai__kimi-k2.5,passive_or_beishi_count,200,2.19,1.855,-0.335,0.36,0.195,True
moonshotai__kimi-k2.5,sentence_compression_ratio,200,1.531443,1.600992,0.069549,0.275,0.675,True
openai__gpt-5.2,clause_count,200,12.365,12.705,0.34,0.325,0.46,False
openai__gpt-5.2,dependency_depth,200,5.68,5.64,-0.04,0.3,0.255,True
openai__gpt-5.2,mean_dependency_distance,200,4.184255,4.245179,0.060924,0.445,0.53,True
openai__gpt-5.2,max_dependency_distance,200,29.43,31.64,2.21,0.37,0.55,True
openai__gpt-5.2,normalized_dependency_distance,200,0.055451,0.053762,-0.001689,0.56,0.415,True
openai__gpt-5.2,nominalization_ratio,200,0.485562,0.493317,0.007756,0.41,0.565,False
openai__gpt-5.2,modifier_density,200,0.366793,0.385278,0.018485,0.375,0.595,False
openai__gpt-5.2,coordination_count,200,4.08,4.44,0.36,0.22,0.415,False
openai__gpt-5.2,passive_or_beishi_count,200,2.19,1.885,-0.305,0.35,0.205,True
openai__gpt-5.2,sentence_compression_ratio,200,1.531443,1.609495,0.078052,0.27,0.695,True
