id,language,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length
zh_native_00001,zh,3.0,2.0,2.6875,12.0,0.167969,0.321429,0.294118,0.0,1.0,4.75,17.0,1.0,17.0
zh_native_00002,zh,3.0,3.0,3.56,15.0,0.1424,0.509091,0.5,0.0,1.0,9.75,26.0,1.0,26.0
zh_native_00003,zh,5.0,4.0,3.571429,22.0,0.127551,0.375,0.241379,0.0,0.0,7.5,29.0,1.0,29.0
zh_native_00004,zh,5.0,4.0,3.68,21.0,0.1472,0.456522,0.384615,0.0,0.0,9.5,26.0,1.0,26.0
zh_native_00005,zh,2.0,3.0,4.0,17.0,0.222222,0.553846,0.315789,0.0,0.0,5.0,19.0,1.0,19.0
zh_native_00006,zh,10.0,4.0,6.5,40.0,0.147727,0.557143,0.266667,9.0,0.0,15.0,45.0,1.0,45.0
zh_native_00007,zh,2.0,4.0,2.45,9.0,0.1225,0.441176,0.428571,0.0,0.0,7.25,21.0,1.0,21.0
zh_native_00008,zh,2.0,3.0,2.642857,12.0,0.188776,0.454545,0.466667,0.0,0.0,5.25,15.0,1.0,15.0
zh_native_00009,zh,3.0,4.0,4.611111,18.0,0.256173,0.470588,0.315789,4.0,0.0,5.75,19.0,1.0,19.0
zh_native_00010,zh,6.0,5.0,5.969697,23.0,0.1809,0.634,0.294118,7.0,1.0,11.25,34.0,1.0,34.0
zh_native_00011,zh,2.0,4.0,3.0,10.0,0.130435,0.48,0.458333,0.0,3.0,8.0,24.0,1.0,24.0
zh_native_00012,zh,5.0,4.0,3.565217,19.0,0.155009,0.555556,0.25,3.0,1.0,8.5,24.0,1.0,24.0
zh_native_00013,zh,8.0,6.0,6.30303,27.0,0.191001,0.574074,0.323529,4.0,1.0,13.0,34.0,1.0,34.0
zh_native_00014,zh,6.0,8.0,5.019231,44.0,0.096524,0.480952,0.45283,0.0,1.0,16.5,53.0,1.0,53.0
zh_native_00015,zh,7.0,5.0,6.512821,35.0,0.166995,0.667241,0.425,7.0,0.0,14.5,40.0,1.0,40.0
zh_native_00016,zh,3.0,4.0,2.882353,11.0,0.16955,0.603846,0.388889,0.0,0.0,6.25,18.0,1.0,18.0
zh_native_00017,zh,3.0,5.0,3.413793,11.0,0.117717,0.509524,0.433333,0.0,0.0,10.5,30.0,1.0,30.0
zh_native_00018,zh,3.0,3.0,2.631579,10.0,0.138504,0.553125,0.45,1.0,1.0,7.0,20.0,1.0,20.0
