model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
anthropic__claude-sonnet-4.6,intercept,0.045588,0.094391,0.482963,0.629122,-0.139419,0.230594,False,0.661667,600,200
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.527933,0.119193,4.429238,9e-06,0.294315,0.761551,True,0.661667,600,200
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.195873,0.126536,1.54796,0.121632,-0.052138,0.443883,False,0.661667,600,200
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.343914,0.122257,2.813044,0.004907,0.104291,0.583538,True,0.661667,600,200
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.134748,0.155859,-0.864555,0.387283,-0.440231,0.170735,False,0.661667,600,200
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.055606,0.096269,-0.577617,0.563523,-0.244293,0.13308,False,0.661667,600,200
anthropic__claude-sonnet-4.6,dependency_depth,0.013226,0.104969,0.126002,0.89973,-0.192513,0.218966,False,0.661667,600,200
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.112968,0.147602,0.76536,0.444057,-0.176331,0.402268,False,0.661667,600,200
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.536743,0.159629,-3.362435,0.000773,-0.849616,-0.22387,True,0.661667,600,200
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.722708,0.177946,-4.061391,4.9e-05,-1.071483,-0.373934,True,0.661667,600,200
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.055439,0.114803,-0.482907,0.629162,-0.280454,0.169575,False,0.661667,600,200
anthropic__claude-sonnet-4.6,extra_entity_count,0.165587,0.10566,1.567171,0.117075,-0.041506,0.372679,False,0.661667,600,200
anthropic__claude-sonnet-4.6,register_score,-0.056529,0.095963,-0.589069,0.555815,-0.244616,0.131559,False,0.661667,600,200
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,0.098786,0.129281,0.76412,0.444796,-0.154605,0.352177,False,0.661667,600,200
anthropic__claude-sonnet-4.6,target_function_word_density,-0.045604,0.097018,-0.470061,0.638312,-0.235759,0.14455,False,0.661667,600,200
anthropic__claude-sonnet-4.6,target_passive_density,-0.289146,0.111313,-2.597592,0.009388,-0.50732,-0.070972,True,0.661667,600,200
anthropic__claude-sonnet-4.6,target_pronoun_subject_ratio,0.202928,0.088904,2.282547,0.022457,0.028676,0.377179,True,0.661667,600,200
anthropic__claude-sonnet-4.6,target_explicit_connective_density,-0.156169,0.08734,-1.788066,0.073765,-0.327355,0.015017,False,0.661667,600,200
anthropic__claude-sonnet-4.6,target_nominalization_suffix_density,-0.066311,0.101154,-0.655547,0.512115,-0.264572,0.13195,False,0.661667,600,200
anthropic__claude-sonnet-4.6,target_avg_sentence_length,0.012492,0.101207,0.123426,0.90177,-0.185874,0.210857,False,0.661667,600,200
deepseek__deepseek-v4-flash,intercept,0.325334,0.097614,3.332869,0.00086,0.134011,0.516657,True,0.733333,600,200
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.61141,0.129068,4.737112,2e-06,0.358437,0.864384,True,0.733333,600,200
deepseek__deepseek-v4-flash,bidirectional_entailment,0.282625,0.078278,3.610525,0.000306,0.1292,0.43605,True,0.733333,600,200
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.035992,0.090182,-0.399106,0.689815,-0.21275,0.140765,False,0.733333,600,200
deepseek__deepseek-v4-flash,nli_omission_risk,-0.511747,0.115187,-4.442728,9e-06,-0.737514,-0.285979,True,0.733333,600,200
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.038508,0.14588,0.263968,0.791805,-0.247418,0.324433,False,0.733333,600,200
deepseek__deepseek-v4-flash,dependency_depth,0.084873,0.115357,0.735739,0.46189,-0.141227,0.310973,False,0.733333,600,200
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.218073,0.162086,-1.345412,0.178492,-0.535762,0.099616,False,0.733333,600,200
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.029562,0.205396,0.143927,0.885558,-0.373014,0.432138,False,0.733333,600,200
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.851745,0.174863,-4.870936,1e-06,-1.194476,-0.509014,True,0.733333,600,200
deepseek__deepseek-v4-flash,extra_number_ratio,-0.305188,0.119916,-2.545011,0.010927,-0.540223,-0.070152,True,0.733333,600,200
deepseek__deepseek-v4-flash,extra_entity_count,0.006504,0.117723,0.055246,0.955942,-0.224234,0.237242,False,0.733333,600,200
deepseek__deepseek-v4-flash,register_score,0.030895,0.092285,0.334781,0.737791,-0.149983,0.211773,False,0.733333,600,200
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.576645,0.157445,3.66251,0.00025,0.268052,0.885238,True,0.733333,600,200
deepseek__deepseek-v4-flash,target_function_word_density,-0.238792,0.121053,-1.972622,0.048539,-0.476057,-0.001528,True,0.733333,600,200
deepseek__deepseek-v4-flash,target_passive_density,-0.493525,0.128957,-3.82704,0.00013,-0.746281,-0.240768,True,0.733333,600,200
deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,0.188678,0.122986,1.534138,0.124996,-0.052375,0.429732,False,0.733333,600,200
deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.266986,0.094103,-2.837172,0.004552,-0.451428,-0.082544,True,0.733333,600,200
deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.1441,0.124596,1.15654,0.24746,-0.100108,0.388308,False,0.733333,600,200
