model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,forward_entailment,-0.026124,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,forward_neutral,0.081046,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,forward_contradiction,-0.556927,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,backward_entailment,0.264041,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,backward_neutral,-0.365652,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,backward_contradiction,0.259342,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,0.146858,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.026122,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.264035,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.046518,0.548333,0.031622,600
anthropic__claude-sonnet-4.6,semantic_fidelity_score,0.090231,0.548333,0.031622,600
deepseek__deepseek-v4-flash,forward_entailment,0.088888,0.598333,0.186431,600
deepseek__deepseek-v4-flash,forward_neutral,-0.05266,0.598333,0.186431,600
deepseek__deepseek-v4-flash,forward_contradiction,-0.383556,0.598333,0.186431,600
deepseek__deepseek-v4-flash,backward_entailment,0.284728,0.598333,0.186431,600
deepseek__deepseek-v4-flash,backward_neutral,-0.392168,0.598333,0.186431,600
deepseek__deepseek-v4-flash,backward_contradiction,0.273271,0.598333,0.186431,600
deepseek__deepseek-v4-flash,bidirectional_entailment,-0.043563,0.598333,0.186431,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.088889,0.598333,0.186431,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.284716,0.598333,0.186431,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,-0.089331,0.598333,0.186431,600
deepseek__deepseek-v4-flash,semantic_fidelity_score,0.201995,0.598333,0.186431,600
google__gemini-3-flash-preview,forward_entailment,-0.07652,0.63,-0.42193,600
google__gemini-3-flash-preview,forward_neutral,0.145002,0.63,-0.42193,600
google__gemini-3-flash-preview,forward_contradiction,-0.687723,0.63,-0.42193,600
google__gemini-3-flash-preview,backward_entailment,0.158892,0.63,-0.42193,600
google__gemini-3-flash-preview,backward_neutral,-0.268653,0.63,-0.42193,600
google__gemini-3-flash-preview,backward_contradiction,0.302253,0.63,-0.42193,600
google__gemini-3-flash-preview,bidirectional_entailment,0.158825,0.63,-0.42193,600
google__gemini-3-flash-preview,nli_boundary_risk,0.076517,0.63,-0.42193,600
google__gemini-3-flash-preview,nli_omission_risk,-0.158883,0.63,-0.42193,600
google__gemini-3-flash-preview,nli_contradiction_risk,-0.052505,0.63,-0.42193,600
google__gemini-3-flash-preview,semantic_fidelity_score,0.012423,0.63,-0.42193,600
moonshotai__kimi-k2.5,forward_entailment,-0.068989,0.593333,0.329304,600
moonshotai__kimi-k2.5,forward_neutral,0.096011,0.593333,0.329304,600
moonshotai__kimi-k2.5,forward_contradiction,-0.265472,0.593333,0.329304,600
moonshotai__kimi-k2.5,backward_entailment,0.287073,0.593333,0.329304,600
moonshotai__kimi-k2.5,backward_neutral,-0.410868,0.593333,0.329304,600
moonshotai__kimi-k2.5,backward_contradiction,0.322015,0.593333,0.329304,600
moonshotai__kimi-k2.5,bidirectional_entailment,0.035327,0.593333,0.329304,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.068985,0.593333,0.329304,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.287067,0.593333,0.329304,600
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.027731,0.593333,0.329304,600
moonshotai__kimi-k2.5,semantic_fidelity_score,0.059217,0.593333,0.329304,600
openai__gpt-5.2,forward_entailment,-0.026499,0.555,-0.037558,600
openai__gpt-5.2,forward_neutral,0.058124,0.555,-0.037558,600
openai__gpt-5.2,forward_contradiction,-0.318981,0.555,-0.037558,600
openai__gpt-5.2,backward_entailment,0.276584,0.555,-0.037558,600
openai__gpt-5.2,backward_neutral,-0.372421,0.555,-0.037558,600
openai__gpt-5.2,backward_contradiction,0.239809,0.555,-0.037558,600
openai__gpt-5.2,bidirectional_entailment,0.121977,0.555,-0.037558,600
openai__gpt-5.2,nli_boundary_risk,0.026494,0.555,-0.037558,600
openai__gpt-5.2,nli_omission_risk,-0.276572,0.555,-0.037558,600
openai__gpt-5.2,nli_contradiction_risk,-0.090461,0.555,-0.037558,600
openai__gpt-5.2,semantic_fidelity_score,0.106854,0.555,-0.037558,600
