direction,feature,tier,dominant_sign,significant_models,total_models,positive_coefficients,negative_coefficients
CE,bidirectional_entailment,no_stable_evidence,positive,1,8,7,1
CE,crosslingual_embedding_similarity,no_exception,positive,8,8,8,0
CE,dependency_depth,no_stable_evidence,positive,1,8,6,2
CE,extra_entity_count,no_stable_evidence,positive,2,8,7,1
CE,extra_number_ratio,no_stable_evidence,negative,3,8,2,6
CE,mean_dependency_distance,no_stable_evidence,positive,0,8,5,3
CE,nli_boundary_risk,no_stable_evidence,positive,3,8,6,2
CE,nli_contradiction_risk,no_stable_evidence,positive,0,8,7,1
CE,nli_omission_risk,no_stable_evidence,negative,4,8,0,8
CE,normalized_dependency_distance,no_stable_evidence,negative,2,8,1,7
CE,register_score,no_stable_evidence,positive,1,8,6,2
CE,sentence_compression_ratio,mostly_supported_with_exceptions,negative,7,8,0,8
CE,target_lm_naturalness_score,no_stable_evidence,positive,3,8,7,1
CE,translationese_score,no_stable_evidence,negative,0,8,2,6
EC,bidirectional_entailment,no_stable_evidence,positive,1,8,5,3
EC,crosslingual_embedding_similarity,no_stable_evidence,positive,1,8,7,1
EC,dependency_depth,no_stable_evidence,negative,1,8,0,8
EC,extra_entity_count,no_stable_evidence,negative,1,8,0,8
EC,extra_number_ratio,mostly_supported_with_exceptions,negative,5,8,0,8
EC,mean_dependency_distance,no_stable_evidence,positive,0,8,7,1
EC,nli_boundary_risk,no_stable_evidence,positive,1,8,5,3
EC,nli_contradiction_risk,no_stable_evidence,negative,0,8,2,6
EC,nli_omission_risk,mostly_supported_with_exceptions,negative,5,8,0,8
EC,normalized_dependency_distance,no_stable_evidence,negative,1,8,2,6
EC,register_score,no_stable_evidence,positive,0,8,7,1
EC,sentence_compression_ratio,no_stable_evidence,positive,6,8,4,4
EC,target_lm_naturalness_score,no_stable_evidence,positive,3,8,5,3
EC,translationese_score,no_exception,negative,8,8,0,8
