feature,model,value,rank_for_feature
clause_count,google__gemini-3-flash-preview,12.15,1
clause_count,openai__gpt-5.2,12.145,2
clause_count,deepseek__deepseek-v4-flash,12.11,3
clause_count,anthropic__claude-sonnet-4.6,12.075,4
clause_count,moonshotai__kimi-k2.5,12.065,5
dependency_depth,deepseek__deepseek-v4-flash,5.565,1
dependency_depth,anthropic__claude-sonnet-4.6,5.555,2
dependency_depth,google__gemini-3-flash-preview,5.54,3
dependency_depth,moonshotai__kimi-k2.5,5.535,4
dependency_depth,openai__gpt-5.2,5.535,5
mean_dependency_distance,anthropic__claude-sonnet-4.6,4.195368,1
mean_dependency_distance,openai__gpt-5.2,4.190967,2
mean_dependency_distance,moonshotai__kimi-k2.5,4.182884,3
mean_dependency_distance,deepseek__deepseek-v4-flash,4.179411,4
mean_dependency_distance,google__gemini-3-flash-preview,4.158272,5
max_dependency_distance,moonshotai__kimi-k2.5,29.645,1
max_dependency_distance,anthropic__claude-sonnet-4.6,29.48,2
max_dependency_distance,deepseek__deepseek-v4-flash,29.48,3
max_dependency_distance,google__gemini-3-flash-preview,29.4,4
max_dependency_distance,openai__gpt-5.2,29.355,5
normalized_dependency_distance,deepseek__deepseek-v4-flash,0.057737,1
normalized_dependency_distance,moonshotai__kimi-k2.5,0.057735,2
normalized_dependency_distance,anthropic__claude-sonnet-4.6,0.057673,3
normalized_dependency_distance,openai__gpt-5.2,0.057621,4
normalized_dependency_distance,google__gemini-3-flash-preview,0.057422,5
nominalization_ratio,moonshotai__kimi-k2.5,0.491314,1
nominalization_ratio,google__gemini-3-flash-preview,0.491096,2
nominalization_ratio,anthropic__claude-sonnet-4.6,0.49044,3
nominalization_ratio,openai__gpt-5.2,0.490377,4
nominalization_ratio,deepseek__deepseek-v4-flash,0.489596,5
modifier_density,moonshotai__kimi-k2.5,0.368969,1
modifier_density,google__gemini-3-flash-preview,0.366125,2
modifier_density,anthropic__claude-sonnet-4.6,0.365459,3
modifier_density,deepseek__deepseek-v4-flash,0.365446,4
modifier_density,openai__gpt-5.2,0.365401,5
coordination_count,google__gemini-3-flash-preview,4.255,1
coordination_count,moonshotai__kimi-k2.5,4.245,2
coordination_count,deepseek__deepseek-v4-flash,4.23,3
coordination_count,openai__gpt-5.2,4.215,4
coordination_count,anthropic__claude-sonnet-4.6,4.2,5
passive_or_beishi_count,deepseek__deepseek-v4-flash,1.795,1
passive_or_beishi_count,google__gemini-3-flash-preview,1.81,2
passive_or_beishi_count,moonshotai__kimi-k2.5,1.815,3
passive_or_beishi_count,anthropic__claude-sonnet-4.6,1.85,4
passive_or_beishi_count,openai__gpt-5.2,1.88,5
sentence_compression_ratio,anthropic__claude-sonnet-4.6,1.475791,1
sentence_compression_ratio,openai__gpt-5.2,1.475399,2
sentence_compression_ratio,moonshotai__kimi-k2.5,1.469475,3
sentence_compression_ratio,deepseek__deepseek-v4-flash,1.469082,4
sentence_compression_ratio,google__gemini-3-flash-preview,1.466722,5
