model,feature,n,avg_human,avg_model_top1,avg_diff_model_minus_human,share_model_lower_than_human,share_model_higher_than_human,lower_means_less_burden
anthropic__claude-sonnet-4.6,clause_count,200,10.175,10.355,0.18,0.27,0.315,False
anthropic__claude-sonnet-4.6,dependency_depth,200,6.735,6.675,-0.06,0.295,0.22,True
anthropic__claude-sonnet-4.6,mean_dependency_distance,200,3.463146,3.438182,-0.024964,0.375,0.395,True
anthropic__claude-sonnet-4.6,max_dependency_distance,200,29.965,28.85,-1.115,0.39,0.275,True
anthropic__claude-sonnet-4.6,normalized_dependency_distance,200,0.046019,0.046451,0.000433,0.36,0.41,True
anthropic__claude-sonnet-4.6,nominalization_ratio,200,0.575294,0.561297,-0.013998,0.495,0.255,False
anthropic__claude-sonnet-4.6,modifier_density,200,0.466411,0.464278,-0.002133,0.425,0.34,False
anthropic__claude-sonnet-4.6,coordination_count,200,7.285,6.815,-0.47,0.27,0.14,False
anthropic__claude-sonnet-4.6,passive_count,200,2.945,3.08,0.135,0.175,0.285,True
anthropic__claude-sonnet-4.6,sentence_compression_ratio,200,0.620237,0.603028,-0.017209,0.465,0.27,True
deepseek__deepseek-v4-flash,clause_count,200,10.175,10.425,0.25,0.315,0.405,False
deepseek__deepseek-v4-flash,dependency_depth,200,6.735,6.66,-0.075,0.365,0.265,True
deepseek__deepseek-v4-flash,mean_dependency_distance,200,3.463146,3.41736,-0.045786,0.48,0.475,True
deepseek__deepseek-v4-flash,max_dependency_distance,200,29.965,28.445,-1.52,0.535,0.325,True
deepseek__deepseek-v4-flash,normalized_dependency_distance,200,0.046019,0.047277,0.001258,0.395,0.56,True
deepseek__deepseek-v4-flash,nominalization_ratio,200,0.575294,0.556732,-0.018562,0.565,0.365,False
deepseek__deepseek-v4-flash,modifier_density,200,0.466411,0.460913,-0.005498,0.53,0.42,False
deepseek__deepseek-v4-flash,coordination_count,200,7.285,6.845,-0.44,0.33,0.205,False
deepseek__deepseek-v4-flash,passive_count,200,2.945,2.845,-0.1,0.245,0.3,True
deepseek__deepseek-v4-flash,sentence_compression_ratio,200,0.620237,0.590112,-0.030125,0.635,0.28,True
google__gemini-3-flash-preview,clause_count,200,10.175,10.45,0.275,0.3,0.395,False
google__gemini-3-flash-preview,dependency_depth,200,6.735,6.65,-0.085,0.335,0.24,True
google__gemini-3-flash-preview,mean_dependency_distance,200,3.463146,3.4374,-0.025746,0.45,0.45,True
google__gemini-3-flash-preview,max_dependency_distance,200,29.965,28.845,-1.12,0.475,0.32,True
google__gemini-3-flash-preview,normalized_dependency_distance,200,0.046019,0.047154,0.001135,0.375,0.525,True
google__gemini-3-flash-preview,nominalization_ratio,200,0.575294,0.560169,-0.015126,0.55,0.33,False
google__gemini-3-flash-preview,modifier_density,200,0.466411,0.461641,-0.004769,0.5,0.395,False
google__gemini-3-flash-preview,coordination_count,200,7.285,6.78,-0.505,0.31,0.18,False
google__gemini-3-flash-preview,passive_count,200,2.945,2.93,-0.015,0.235,0.29,True
google__gemini-3-flash-preview,sentence_compression_ratio,200,0.620237,0.59273,-0.027507,0.6,0.27,True
moonshotai__kimi-k2.5,clause_count,200,10.175,10.37,0.195,0.31,0.37,False
moonshotai__kimi-k2.5,dependency_depth,200,6.735,6.715,-0.02,0.31,0.255,True
moonshotai__kimi-k2.5,mean_dependency_distance,200,3.463146,3.426945,-0.0362,0.44,0.45,True
moonshotai__kimi-k2.5,max_dependency_distance,200,29.965,28.55,-1.415,0.49,0.305,True
moonshotai__kimi-k2.5,normalized_dependency_distance,200,0.046019,0.047293,0.001274,0.355,0.535,True
moonshotai__kimi-k2.5,nominalization_ratio,200,0.575294,0.561718,-0.013576,0.53,0.345,False
moonshotai__kimi-k2.5,modifier_density,200,0.466411,0.464246,-0.002165,0.475,0.41,False
moonshotai__kimi-k2.5,coordination_count,200,7.285,6.775,-0.51,0.33,0.18,False
moonshotai__kimi-k2.5,passive_count,200,2.945,2.83,-0.115,0.25,0.255,True
moonshotai__kimi-k2.5,sentence_compression_ratio,200,0.620237,0.589985,-0.030252,0.605,0.25,True
openai__gpt-5.2,clause_count,200,10.175,10.38,0.205,0.33,0.395,False
openai__gpt-5.2,dependency_depth,200,6.735,6.58,-0.155,0.375,0.24,True
openai__gpt-5.2,mean_dependency_distance,200,3.463146,3.412824,-0.050322,0.505,0.445,True
openai__gpt-5.2,max_dependency_distance,200,29.965,28.055,-1.91,0.56,0.295,True
openai__gpt-5.2,normalized_dependency_distance,200,0.046019,0.047201,0.001182,0.39,0.56,True
openai__gpt-5.2,nominalization_ratio,200,0.575294,0.560521,-0.014773,0.56,0.365,False
openai__gpt-5.2,modifier_density,200,0.466411,0.460979,-0.005432,0.515,0.43,False
openai__gpt-5.2,coordination_count,200,7.285,6.695,-0.59,0.355,0.18,False
openai__gpt-5.2,passive_count,200,2.945,2.9,-0.045,0.235,0.29,True
openai__gpt-5.2,sentence_compression_ratio,200,0.620237,0.589084,-0.031153,0.665,0.24,True
