id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
001,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,8,11,4,7,4,"{""B"": 3, ""C"": 2}"
002,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
003,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
004,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
005,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,9,14,8,6,1,"{""A"": 4, ""B"": 1}"
006,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
007,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
008,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,12,13,10,3,2,"{""A"": 5}"
009,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,9,15,9,6,0,"{""A"": 4, ""B"": 1}"
010,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
011,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
012,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
013,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,6,11,2,9,4,"{""B"": 4, ""C"": 1}"
014,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,12,7,4,3,8,"{""B"": 1, ""C"": 4}"
015,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
016,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
017,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
018,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,6,9,0,9,6,"{""B"": 4, ""C"": 1}"
019,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
020,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,14,10,9,1,5,"{""A"": 4, ""C"": 1}"
021,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
022,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,7,9,1,8,6,"{""B"": 3, ""C"": 2}"
023,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
024,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,14,11,10,1,4,"{""A"": 5}"
025,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
026,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",8,12,10,7,3,5,"{""A"": 2, ""B"": 1, ""C"": 2}"
027,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
028,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,11,14,10,4,1,"{""A"": 5}"
029,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
030,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,14,6,5,1,9,"{""A"": 1, ""C"": 4}"
031,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,14,6,5,1,9,"{""A"": 1, ""C"": 4}"
032,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
033,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,6,14,5,9,1,"{""A"": 1, ""B"": 4}"
034,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
035,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,13,6,4,2,9,"{""B"": 1, ""C"": 4}"
036,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,10,13,8,5,2,"{""A"": 3, ""B"": 1, ""C"": 1}"
037,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
038,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,14,5,4,1,10,"{""C"": 5}"
039,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
040,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
041,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
042,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",13,12,5,2,3,10,"{""C"": 5}"
043,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
044,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
045,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
046,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,12,12,9,3,3,"{""A"": 4, ""C"": 1}"
047,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",15,5,10,0,10,5,"{""B"": 5}"
048,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
049,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
050,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
051,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
052,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",11,5,14,4,10,1,"{""B"": 5}"
053,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",11,11,8,4,4,7,"{""B"": 2, ""C"": 3}"
054,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
055,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",9,12,9,6,3,6,"{""A"": 1, ""B"": 1, ""C"": 3}"
056,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,11,7,3,4,8,"{""A"": 1, ""C"": 4}"
057,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,5,12,2,10,3,"{""B"": 5}"
058,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",12,5,13,3,10,2,"{""B"": 5}"
059,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",14,5,11,1,10,4,"{""B"": 5}"
060,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,10,14,9,5,1,"{""A"": 4, ""B"": 1}"
061,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
062,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,14,11,10,1,4,"{""A"": 5}"
063,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
064,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",12,13,5,3,2,10,"{""C"": 5}"
065,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 2, ""C"": 3}"
066,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
067,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,13,7,5,2,8,"{""B"": 1, ""C"": 4}"
068,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
069,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",13,6,11,2,9,4,"{""B"": 4, ""C"": 1}"
070,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,15,10,10,0,5,"{""A"": 5}"
071,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
072,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
073,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,9,6,0,6,9,"{""B"": 1, ""C"": 4}"
074,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,14,11,10,1,4,"{""A"": 5}"
075,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,8,15,8,7,0,"{""A"": 3, ""B"": 2}"
076,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
077,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,5,15,5,10,0,"{""B"": 5}"
078,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
079,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,10,5,0,5,10,"{""C"": 5}"
080,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
081,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,9,7,1,6,8,"{""B"": 1, ""C"": 4}"
082,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,13,10,8,2,5,"{""A"": 3, ""B"": 1, ""C"": 1}"
083,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
084,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,7,15,7,8,0,"{""A"": 2, ""B"": 3}"
085,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,15,5,5,0,10,"{""C"": 5}"
086,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,15,9,9,0,6,"{""A"": 4, ""C"": 1}"
087,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
088,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",7,15,8,8,0,7,"{""A"": 3, ""C"": 2}"
089,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",8,13,9,7,2,6,"{""A"": 2, ""C"": 3}"
090,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,15,7,7,0,8,"{""A"": 2, ""C"": 3}"
091,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,10,15,10,5,0,"{""A"": 5}"
092,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",15,8,7,0,7,8,"{""B"": 2, ""C"": 3}"
093,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,13,7,5,2,8,"{""A"": 1, ""B"": 1, ""C"": 3}"
094,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",14,10,6,1,5,9,"{""B"": 1, ""C"": 4}"
095,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,15,6,6,0,9,"{""A"": 1, ""C"": 4}"
096,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,15,6,9,0,"{""A"": 1, ""B"": 4}"
