feature,model,value,rank_for_feature
clause_count,google__gemini-3-flash-preview,10.45,1
clause_count,deepseek__deepseek-v4-flash,10.425,2
clause_count,openai__gpt-5.2,10.38,3
clause_count,moonshotai__kimi-k2.5,10.37,4
clause_count,anthropic__claude-sonnet-4.6,10.355,5
dependency_depth,moonshotai__kimi-k2.5,6.715,1
dependency_depth,anthropic__claude-sonnet-4.6,6.675,2
dependency_depth,deepseek__deepseek-v4-flash,6.66,3
dependency_depth,google__gemini-3-flash-preview,6.65,4
dependency_depth,openai__gpt-5.2,6.58,5
mean_dependency_distance,anthropic__claude-sonnet-4.6,3.438182,1
mean_dependency_distance,google__gemini-3-flash-preview,3.4374,2
mean_dependency_distance,moonshotai__kimi-k2.5,3.426945,3
mean_dependency_distance,deepseek__deepseek-v4-flash,3.41736,4
mean_dependency_distance,openai__gpt-5.2,3.412824,5
max_dependency_distance,anthropic__claude-sonnet-4.6,28.85,1
max_dependency_distance,google__gemini-3-flash-preview,28.845,2
max_dependency_distance,moonshotai__kimi-k2.5,28.55,3
max_dependency_distance,deepseek__deepseek-v4-flash,28.445,4
max_dependency_distance,openai__gpt-5.2,28.055,5
normalized_dependency_distance,moonshotai__kimi-k2.5,0.047293,1
normalized_dependency_distance,deepseek__deepseek-v4-flash,0.047277,2
normalized_dependency_distance,openai__gpt-5.2,0.047201,3
normalized_dependency_distance,google__gemini-3-flash-preview,0.047154,4
normalized_dependency_distance,anthropic__claude-sonnet-4.6,0.046451,5
nominalization_ratio,moonshotai__kimi-k2.5,0.561718,1
nominalization_ratio,anthropic__claude-sonnet-4.6,0.561297,2
nominalization_ratio,openai__gpt-5.2,0.560521,3
nominalization_ratio,google__gemini-3-flash-preview,0.560169,4
nominalization_ratio,deepseek__deepseek-v4-flash,0.556732,5
modifier_density,anthropic__claude-sonnet-4.6,0.464278,1
modifier_density,moonshotai__kimi-k2.5,0.464246,2
modifier_density,google__gemini-3-flash-preview,0.461641,3
modifier_density,openai__gpt-5.2,0.460979,4
modifier_density,deepseek__deepseek-v4-flash,0.460913,5
coordination_count,deepseek__deepseek-v4-flash,6.845,1
coordination_count,anthropic__claude-sonnet-4.6,6.815,2
coordination_count,google__gemini-3-flash-preview,6.78,3
coordination_count,moonshotai__kimi-k2.5,6.775,4
coordination_count,openai__gpt-5.2,6.695,5
passive_count,moonshotai__kimi-k2.5,2.83,1
passive_count,deepseek__deepseek-v4-flash,2.845,2
passive_count,openai__gpt-5.2,2.9,3
passive_count,google__gemini-3-flash-preview,2.93,4
passive_count,anthropic__claude-sonnet-4.6,3.08,5
sentence_compression_ratio,anthropic__claude-sonnet-4.6,0.603028,1
sentence_compression_ratio,google__gemini-3-flash-preview,0.59273,2
sentence_compression_ratio,deepseek__deepseek-v4-flash,0.590112,3
sentence_compression_ratio,moonshotai__kimi-k2.5,0.589985,4
sentence_compression_ratio,openai__gpt-5.2,0.589084,5
