model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,clause_count,0.008542,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,dependency_depth,-0.067735,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.298715,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,max_dependency_distance,0.022807,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,-0.28851,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,nominalization_ratio,0.182095,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,modifier_density,-0.069701,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,coordination_count,0.210972,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,passive_or_beishi_count,-0.286976,0.603333,-0.129006,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,-0.432566,0.603333,-0.129006,600
deepseek__deepseek-v4-flash,clause_count,0.05467,0.648333,0.277411,600
deepseek__deepseek-v4-flash,dependency_depth,-0.086098,0.648333,0.277411,600
deepseek__deepseek-v4-flash,mean_dependency_distance,0.297328,0.648333,0.277411,600
deepseek__deepseek-v4-flash,max_dependency_distance,0.097006,0.648333,0.277411,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,-0.290993,0.648333,0.277411,600
deepseek__deepseek-v4-flash,nominalization_ratio,0.171415,0.648333,0.277411,600
deepseek__deepseek-v4-flash,modifier_density,-0.054164,0.648333,0.277411,600
deepseek__deepseek-v4-flash,coordination_count,0.165119,0.648333,0.277411,600
deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.311522,0.648333,0.277411,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.58699,0.648333,0.277411,600
google__gemini-3-flash-preview,clause_count,0.125322,0.633333,-0.068202,600
google__gemini-3-flash-preview,dependency_depth,-0.047204,0.633333,-0.068202,600
google__gemini-3-flash-preview,mean_dependency_distance,0.261074,0.633333,-0.068202,600
google__gemini-3-flash-preview,max_dependency_distance,0.156195,0.633333,-0.068202,600
google__gemini-3-flash-preview,normalized_dependency_distance,-0.394948,0.633333,-0.068202,600
google__gemini-3-flash-preview,nominalization_ratio,0.255945,0.633333,-0.068202,600
google__gemini-3-flash-preview,modifier_density,0.066911,0.633333,-0.068202,600
google__gemini-3-flash-preview,coordination_count,0.239076,0.633333,-0.068202,600
google__gemini-3-flash-preview,passive_or_beishi_count,-0.243166,0.633333,-0.068202,600
google__gemini-3-flash-preview,sentence_compression_ratio,-0.708462,0.633333,-0.068202,600
moonshotai__kimi-k2.5,clause_count,0.049031,0.643333,0.358053,600
moonshotai__kimi-k2.5,dependency_depth,-0.142946,0.643333,0.358053,600
moonshotai__kimi-k2.5,mean_dependency_distance,0.162573,0.643333,0.358053,600
moonshotai__kimi-k2.5,max_dependency_distance,0.155672,0.643333,0.358053,600
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.270349,0.643333,0.358053,600
moonshotai__kimi-k2.5,nominalization_ratio,0.25256,0.643333,0.358053,600
moonshotai__kimi-k2.5,modifier_density,0.150052,0.643333,0.358053,600
moonshotai__kimi-k2.5,coordination_count,0.163714,0.643333,0.358053,600
moonshotai__kimi-k2.5,passive_or_beishi_count,-0.223954,0.643333,0.358053,600
moonshotai__kimi-k2.5,sentence_compression_ratio,-0.560319,0.643333,0.358053,600
openai__gpt-5.2,clause_count,0.03195,0.651667,0.43926,600
openai__gpt-5.2,dependency_depth,-0.235721,0.651667,0.43926,600
openai__gpt-5.2,mean_dependency_distance,0.263721,0.651667,0.43926,600
openai__gpt-5.2,max_dependency_distance,0.052375,0.651667,0.43926,600
openai__gpt-5.2,normalized_dependency_distance,-0.230785,0.651667,0.43926,600
openai__gpt-5.2,nominalization_ratio,0.198368,0.651667,0.43926,600
openai__gpt-5.2,modifier_density,-0.059864,0.651667,0.43926,600
openai__gpt-5.2,coordination_count,0.159566,0.651667,0.43926,600
openai__gpt-5.2,passive_or_beishi_count,-0.213449,0.651667,0.43926,600
openai__gpt-5.2,sentence_compression_ratio,-0.377746,0.651667,0.43926,600
