model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,length_chars,-0.147974,0.6,-0.123971,600
anthropic__claude-sonnet-4.6,length_ratio_to_source_words,-0.156988,0.6,-0.123971,600
anthropic__claude-sonnet-4.6,number_preservation,-0.000918,0.6,-0.123971,600
anthropic__claude-sonnet-4.6,entity_preservation,-0.009399,0.6,-0.123971,600
anthropic__claude-sonnet-4.6,term_coverage,-0.084503,0.6,-0.123971,600
anthropic__claude-sonnet-4.6,semantic_similarity_proxy,-0.029721,0.6,-0.123971,600
anthropic__claude-sonnet-4.6,fluency_proxy,-0.197519,0.6,-0.123971,600
google__gemini-3-flash-preview,length_chars,-0.167172,0.596667,-0.064866,600
google__gemini-3-flash-preview,length_ratio_to_source_words,-0.257487,0.596667,-0.064866,600
google__gemini-3-flash-preview,number_preservation,0.025471,0.596667,-0.064866,600
google__gemini-3-flash-preview,entity_preservation,-0.170748,0.596667,-0.064866,600
google__gemini-3-flash-preview,term_coverage,-0.11735,0.596667,-0.064866,600
google__gemini-3-flash-preview,semantic_similarity_proxy,-0.037912,0.596667,-0.064866,600
google__gemini-3-flash-preview,fluency_proxy,-0.253028,0.596667,-0.064866,600
moonshotai__kimi-k2.5,length_chars,-0.166059,0.63,0.344824,600
moonshotai__kimi-k2.5,length_ratio_to_source_words,-0.252082,0.63,0.344824,600
moonshotai__kimi-k2.5,number_preservation,-0.02589,0.63,0.344824,600
moonshotai__kimi-k2.5,entity_preservation,-0.04946,0.63,0.344824,600
moonshotai__kimi-k2.5,term_coverage,-0.055068,0.63,0.344824,600
moonshotai__kimi-k2.5,semantic_similarity_proxy,0.02097,0.63,0.344824,600
moonshotai__kimi-k2.5,fluency_proxy,-0.209983,0.63,0.344824,600
openai__gpt-5.2,length_chars,-0.12027,0.618333,0.423653,600
openai__gpt-5.2,length_ratio_to_source_words,-0.19043,0.618333,0.423653,600
openai__gpt-5.2,number_preservation,0.006205,0.618333,0.423653,600
openai__gpt-5.2,entity_preservation,0.034919,0.618333,0.423653,600
openai__gpt-5.2,term_coverage,0.011725,0.618333,0.423653,600
openai__gpt-5.2,semantic_similarity_proxy,-0.004437,0.618333,0.423653,600
openai__gpt-5.2,fluency_proxy,-0.158355,0.618333,0.423653,600
