model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,training_accuracy,intercept,n_pairwise_observations,n_clusters,model_type
anthropic__claude-sonnet-4.6,target_lm_log_perplexity,0.275027,0.060762,4.526266,6e-06,0.155933,0.394121,True,0.553333,-0.122201,600,200,feature_family_multivariate
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,-0.275027,0.060762,-4.526266,6e-06,-0.394121,-0.155933,True,0.553333,-0.122201,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,target_lm_log_perplexity,0.399967,0.075276,5.313341,0.0,0.252426,0.547508,True,0.6,0.264244,600,200,feature_family_multivariate
deepseek__deepseek-v4-flash,target_lm_naturalness_score,-0.399967,0.075276,-5.313341,0.0,-0.547508,-0.252426,True,0.6,0.264244,600,200,feature_family_multivariate
google__gemini-3-flash-preview,target_lm_log_perplexity,0.396369,0.077667,5.103438,0.0,0.244142,0.548596,True,0.563333,-0.061989,600,200,feature_family_multivariate
google__gemini-3-flash-preview,target_lm_naturalness_score,-0.396369,0.077667,-5.103438,0.0,-0.548596,-0.244142,True,0.563333,-0.061989,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,target_lm_log_perplexity,0.329005,0.070217,4.685533,3e-06,0.191379,0.466631,True,0.605,0.338103,600,200,feature_family_multivariate
moonshotai__kimi-k2.5,target_lm_naturalness_score,-0.329005,0.070217,-4.685533,3e-06,-0.466631,-0.191379,True,0.605,0.338103,600,200,feature_family_multivariate
openai__gpt-5.2,target_lm_log_perplexity,0.201767,0.05611,3.595917,0.000323,0.091791,0.311743,True,0.598333,0.416502,600,200,feature_family_multivariate
openai__gpt-5.2,target_lm_naturalness_score,-0.201767,0.05611,-3.595917,0.000323,-0.311743,-0.091791,True,0.598333,0.416502,600,200,feature_family_multivariate
