model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,target_lm_log_perplexity,0.140756,0.54,0.040198,600
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,-0.140756,0.54,0.040198,600
deepseek__deepseek-v4-flash,target_lm_log_perplexity,0.140621,0.55,0.242337,600
deepseek__deepseek-v4-flash,target_lm_naturalness_score,-0.140621,0.55,0.242337,600
google__gemini-3-flash-preview,target_lm_log_perplexity,0.389364,0.621667,-0.327395,600
google__gemini-3-flash-preview,target_lm_naturalness_score,-0.389364,0.621667,-0.327395,600
moonshotai__kimi-k2.5,target_lm_log_perplexity,0.463967,0.606667,0.462216,600
moonshotai__kimi-k2.5,target_lm_naturalness_score,-0.463967,0.606667,0.462216,600
openai__gpt-5.2,target_lm_log_perplexity,0.307643,0.556667,0.07501,600
openai__gpt-5.2,target_lm_naturalness_score,-0.307643,0.556667,0.07501,600
