feature,model,value,rank_for_feature
extra_number_count,deepseek__deepseek-v4-flash,0.07,1
extra_number_count,openai__gpt-5.2,0.07,2
extra_number_count,anthropic__claude-sonnet-4.6,0.075,3
extra_number_count,google__gemini-3-flash-preview,0.08,4
extra_number_count,moonshotai__kimi-k2.5,0.08,5
extra_number_ratio,deepseek__deepseek-v4-flash,0.044056,1
extra_number_ratio,openai__gpt-5.2,0.044056,2
extra_number_ratio,moonshotai__kimi-k2.5,0.047389,3
extra_number_ratio,anthropic__claude-sonnet-4.6,0.049056,4
extra_number_ratio,google__gemini-3-flash-preview,0.054056,5
extra_entity_count,deepseek__deepseek-v4-flash,2.45,1
extra_entity_count,openai__gpt-5.2,2.49,2
extra_entity_count,anthropic__claude-sonnet-4.6,2.495,3
extra_entity_count,google__gemini-3-flash-preview,2.5,4
extra_entity_count,moonshotai__kimi-k2.5,2.515,5
financial_register_score,openai__gpt-5.2,0.517553,1
financial_register_score,moonshotai__kimi-k2.5,0.513888,2
financial_register_score,deepseek__deepseek-v4-flash,0.512332,3
financial_register_score,anthropic__claude-sonnet-4.6,0.503006,4
financial_register_score,google__gemini-3-flash-preview,0.502794,5
statistical_register_score,moonshotai__kimi-k2.5,0.232499,1
statistical_register_score,google__gemini-3-flash-preview,0.217961,2
statistical_register_score,openai__gpt-5.2,0.212856,3
statistical_register_score,deepseek__deepseek-v4-flash,0.212653,4
statistical_register_score,anthropic__claude-sonnet-4.6,0.204777,5
register_score,moonshotai__kimi-k2.5,0.387263,1
register_score,openai__gpt-5.2,0.380439,2
register_score,deepseek__deepseek-v4-flash,0.377476,3
register_score,google__gemini-3-flash-preview,0.374619,4
register_score,anthropic__claude-sonnet-4.6,0.368803,5
translationese_score,openai__gpt-5.2,0.19713,1
translationese_score,deepseek__deepseek-v4-flash,0.198046,2
translationese_score,moonshotai__kimi-k2.5,0.198175,3
translationese_score,google__gemini-3-flash-preview,0.199771,4
translationese_score,anthropic__claude-sonnet-4.6,0.205503,5
