version,direction,dataset,judge_model,judge_set,is_candidate_generator_judge,n_samples,human_top1_count,human_top1_rate,human_top2_or_better_rate,mean_human_rank,random_top1_baseline
kimi-version,EC,ffn_200ec,openai__gpt-5.2,all_judges_5model,False,200,12,0.06,0.365,2.575,0.333333
kimi-version,EC,ffn_200ec,google__gemini-3-flash-preview,all_judges_5model,False,200,10,0.05,0.31,2.64,0.333333
kimi-version,EC,ffn_200ec,anthropic__claude-sonnet-4.6,all_judges_5model,False,200,12,0.06,0.295,2.645,0.333333
kimi-version,EC,ffn_200ec,moonshotai__kimi-k2.5,all_judges_5model,True,200,10,0.05,0.305,2.645,0.333333
kimi-version,EC,ffn_200ec,deepseek__deepseek-v4-flash,all_judges_5model,False,200,11,0.055,0.36,2.585,0.333333
kimi-version,CE,ecpcfe_200ce,openai__gpt-5.2,all_judges_5model,False,200,10,0.05,0.36,2.59,0.333333
kimi-version,CE,ecpcfe_200ce,google__gemini-3-flash-preview,all_judges_5model,False,200,20,0.1,0.475,2.425,0.333333
kimi-version,CE,ecpcfe_200ce,anthropic__claude-sonnet-4.6,all_judges_5model,False,200,46,0.23,0.56,2.21,0.333333
kimi-version,CE,ecpcfe_200ce,moonshotai__kimi-k2.5,all_judges_5model,True,200,22,0.11,0.485,2.405,0.333333
kimi-version,CE,ecpcfe_200ce,deepseek__deepseek-v4-flash,all_judges_5model,False,200,9,0.045,0.325,2.63,0.333333
claude-version,EC,ffn_200ec,openai__gpt-5.2,all_judges_5model,False,200,62,0.31,0.81,1.88,0.333333
claude-version,EC,ffn_200ec,google__gemini-3-flash-preview,all_judges_5model,False,200,65,0.325,0.6,2.075,0.333333
claude-version,EC,ffn_200ec,anthropic__claude-sonnet-4.6,all_judges_5model,True,200,48,0.24,0.635,2.125,0.333333
claude-version,EC,ffn_200ec,moonshotai__kimi-k2.5,all_judges_5model,False,200,63,0.315,0.76,1.925,0.333333
claude-version,EC,ffn_200ec,deepseek__deepseek-v4-flash,all_judges_5model,False,200,72,0.36,0.765,1.875,0.333333
claude-version,CE,ecpcfe_200ce,openai__gpt-5.2,all_judges_5model,False,200,47,0.235,0.705,2.06,0.333333
claude-version,CE,ecpcfe_200ce,google__gemini-3-flash-preview,all_judges_5model,False,200,47,0.235,0.48,2.285,0.333333
claude-version,CE,ecpcfe_200ce,anthropic__claude-sonnet-4.6,all_judges_5model,True,200,49,0.245,0.675,2.08,0.333333
claude-version,CE,ecpcfe_200ce,moonshotai__kimi-k2.5,all_judges_5model,False,200,71,0.355,0.83,1.815,0.333333
claude-version,CE,ecpcfe_200ce,deepseek__deepseek-v4-flash,all_judges_5model,False,200,74,0.37,0.695,1.935,0.333333
