id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
001,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,9,5
002,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
003,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
004,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10
005,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
006,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
007,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
008,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
009,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10
010,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6
011,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11
012,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
013,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,9,5
014,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
015,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
016,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
017,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11
018,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
019,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
020,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11
021,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
022,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
023,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
024,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
025,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
026,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
027,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
028,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6
029,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
030,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
031,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
032,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
033,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
034,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6
035,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
036,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10
037,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
038,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10
039,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
040,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
041,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
042,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
043,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
044,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
045,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
046,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
047,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",10,9,5
048,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
049,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
050,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5
051,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
052,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
053,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
054,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
055,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
056,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
057,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
058,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,9,10
059,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
060,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
061,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
062,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
063,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,6,7
064,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
065,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
066,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
067,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
068,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
069,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
070,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
071,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
072,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
073,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
074,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
075,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
076,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
077,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,6,9
078,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,9,10
079,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,10,8
080,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
081,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
082,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",9,7,8
083,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
084,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9
085,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
086,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
087,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,11,9
088,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
