feature,model,value,rank_for_feature
extra_number_count,deepseek__deepseek-v4-flash,0.045,1
extra_number_count,openai__gpt-5.2,0.045,2
extra_number_count,anthropic__claude-sonnet-4.6,0.06,3
extra_number_count,google__gemini-3-flash-preview,0.07,4
extra_number_count,moonshotai__kimi-k2.5,0.09,5
extra_number_ratio,deepseek__deepseek-v4-flash,0.024056,1
extra_number_ratio,openai__gpt-5.2,0.024056,2
extra_number_ratio,anthropic__claude-sonnet-4.6,0.039056,3
extra_number_ratio,google__gemini-3-flash-preview,0.049056,4
extra_number_ratio,moonshotai__kimi-k2.5,0.052389,5
extra_entity_count,deepseek__deepseek-v4-flash,2.36,1
extra_entity_count,openai__gpt-5.2,2.36,2
extra_entity_count,anthropic__claude-sonnet-4.6,2.38,3
extra_entity_count,moonshotai__kimi-k2.5,2.385,4
extra_entity_count,google__gemini-3-flash-preview,2.395,5
financial_register_score,deepseek__deepseek-v4-flash,0.51841,1
financial_register_score,openai__gpt-5.2,0.509462,2
financial_register_score,anthropic__claude-sonnet-4.6,0.509278,3
financial_register_score,google__gemini-3-flash-preview,0.501971,4
financial_register_score,moonshotai__kimi-k2.5,0.501769,5
statistical_register_score,openai__gpt-5.2,0.220114,1
statistical_register_score,moonshotai__kimi-k2.5,0.217335,2
statistical_register_score,google__gemini-3-flash-preview,0.216566,3
statistical_register_score,deepseek__deepseek-v4-flash,0.216492,4
statistical_register_score,anthropic__claude-sonnet-4.6,0.214515,5
register_score,deepseek__deepseek-v4-flash,0.382547,1
register_score,openai__gpt-5.2,0.379255,2
register_score,anthropic__claude-sonnet-4.6,0.376635,3
register_score,moonshotai__kimi-k2.5,0.373774,4
register_score,google__gemini-3-flash-preview,0.373539,5
translationese_score,google__gemini-3-flash-preview,0.230975,1
translationese_score,moonshotai__kimi-k2.5,0.231327,2
translationese_score,openai__gpt-5.2,0.232631,3
translationese_score,anthropic__claude-sonnet-4.6,0.235146,4
translationese_score,deepseek__deepseek-v4-flash,0.238069,5
