feature,model,value,rank_for_feature
extra_number_count,anthropic__claude-sonnet-4.6,0.72,1
extra_number_count,google__gemini-3-flash-preview,0.725,2
extra_number_count,openai__gpt-5.2,0.745,3
extra_number_count,moonshotai__kimi-k2.5,0.75,4
extra_number_count,deepseek__deepseek-v4-flash,0.76,5
extra_number_ratio,anthropic__claude-sonnet-4.6,0.310546,1
extra_number_ratio,google__gemini-3-flash-preview,0.311379,2
extra_number_ratio,openai__gpt-5.2,0.314712,3
extra_number_ratio,moonshotai__kimi-k2.5,0.315308,4
extra_number_ratio,deepseek__deepseek-v4-flash,0.317986,5
extra_entity_count,moonshotai__kimi-k2.5,0.92,1
extra_entity_count,deepseek__deepseek-v4-flash,0.93,2
extra_entity_count,openai__gpt-5.2,0.93,3
extra_entity_count,google__gemini-3-flash-preview,0.935,4
extra_entity_count,anthropic__claude-sonnet-4.6,0.955,5
financial_register_score,deepseek__deepseek-v4-flash,0.786517,1
financial_register_score,google__gemini-3-flash-preview,0.785314,2
financial_register_score,moonshotai__kimi-k2.5,0.784899,3
financial_register_score,openai__gpt-5.2,0.779579,4
financial_register_score,anthropic__claude-sonnet-4.6,0.778057,5
statistical_register_score,anthropic__claude-sonnet-4.6,0.478862,1
statistical_register_score,google__gemini-3-flash-preview,0.473011,2
statistical_register_score,openai__gpt-5.2,0.469122,3
statistical_register_score,moonshotai__kimi-k2.5,0.469114,4
statistical_register_score,deepseek__deepseek-v4-flash,0.462896,5
register_score,google__gemini-3-flash-preview,0.644778,1
register_score,anthropic__claude-sonnet-4.6,0.643419,2
register_score,moonshotai__kimi-k2.5,0.642796,3
register_score,deepseek__deepseek-v4-flash,0.640887,4
register_score,openai__gpt-5.2,0.639873,5
translationese_score,moonshotai__kimi-k2.5,0.157346,1
translationese_score,google__gemini-3-flash-preview,0.16106,2
translationese_score,anthropic__claude-sonnet-4.6,0.165153,3
translationese_score,openai__gpt-5.2,0.165423,4
translationese_score,deepseek__deepseek-v4-flash,0.165458,5
