model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
deepseek__deepseek-v4-flash,intercept,0.355504,0.092152,3.85779,0.000114,0.174886,0.536123,True,0.693333,600,200
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.131798,0.121205,1.087397,0.276861,-0.105764,0.36936,False,0.693333,600,200
deepseek__deepseek-v4-flash,bidirectional_entailment,-0.053428,0.151823,-0.351912,0.724904,-0.351001,0.244144,False,0.693333,600,200
deepseek__deepseek-v4-flash,nli_boundary_risk,0.024188,0.09167,0.263866,0.791883,-0.155484,0.203861,False,0.693333,600,200
deepseek__deepseek-v4-flash,nli_omission_risk,-0.403921,0.129824,-3.111301,0.001863,-0.658376,-0.149466,True,0.693333,600,200
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.017778,0.160634,0.110674,0.911875,-0.297065,0.332621,False,0.693333,600,200
deepseek__deepseek-v4-flash,dependency_depth,-0.146832,0.111215,-1.320257,0.186749,-0.364813,0.071149,False,0.693333,600,200
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.089841,0.168582,-0.532921,0.594088,-0.420262,0.24058,False,0.693333,600,200
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.029289,0.165484,0.17699,0.859516,-0.295059,0.353638,False,0.693333,600,200
deepseek__deepseek-v4-flash,sentence_compression_ratio,-0.102622,0.16081,-0.638159,0.52337,-0.417811,0.212566,False,0.693333,600,200
deepseek__deepseek-v4-flash,extra_number_ratio,-0.126847,0.10589,-1.197913,0.230951,-0.334391,0.080697,False,0.693333,600,200
deepseek__deepseek-v4-flash,extra_entity_count,-0.06434,0.092456,-0.695897,0.486493,-0.245552,0.116873,False,0.693333,600,200
deepseek__deepseek-v4-flash,register_score,0.054149,0.104348,0.518927,0.603812,-0.150372,0.25867,False,0.693333,600,200
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.418627,0.122323,3.422321,0.000621,0.178875,0.658379,True,0.693333,600,200
deepseek__deepseek-v4-flash,target_function_word_density,-0.771574,0.121406,-6.355319,0.0,-1.00953,-0.533618,True,0.693333,600,200
deepseek__deepseek-v4-flash,target_passive_density,-0.241414,0.11802,-2.045533,0.040802,-0.472734,-0.010095,True,0.693333,600,200
deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,-0.191271,0.09672,-1.977583,0.047976,-0.380842,-0.001701,True,0.693333,600,200
deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.320806,0.101943,-3.146927,0.00165,-0.520613,-0.120998,True,0.693333,600,200
deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.168962,0.103511,1.632318,0.102613,-0.033919,0.371843,False,0.693333,600,200
deepseek__deepseek-v4-flash,target_avg_sentence_length,0.223805,0.14642,1.528516,0.126384,-0.063178,0.510789,False,0.693333,600,200
google__gemini-3-flash-preview,intercept,-0.146019,0.103102,-1.416258,0.1567,-0.3481,0.056061,False,0.75,600,200
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.042584,0.12874,0.330773,0.740816,-0.209747,0.294914,False,0.75,600,200
google__gemini-3-flash-preview,bidirectional_entailment,0.101222,0.120604,0.839286,0.401309,-0.135163,0.337606,False,0.75,600,200
google__gemini-3-flash-preview,nli_boundary_risk,0.318548,0.116905,2.724842,0.006433,0.089414,0.547682,True,0.75,600,200
google__gemini-3-flash-preview,nli_omission_risk,-0.365095,0.126073,-2.895914,0.003781,-0.612197,-0.117993,True,0.75,600,200
google__gemini-3-flash-preview,nli_contradiction_risk,-0.320866,0.183033,-1.753048,0.079594,-0.679611,0.037879,False,0.75,600,200
google__gemini-3-flash-preview,dependency_depth,-0.094685,0.11258,-0.841042,0.400324,-0.315341,0.125972,False,0.75,600,200
google__gemini-3-flash-preview,mean_dependency_distance,0.081497,0.170323,0.478485,0.632305,-0.252336,0.415331,False,0.75,600,200
google__gemini-3-flash-preview,normalized_dependency_distance,-0.098257,0.175595,-0.559566,0.575775,-0.442424,0.245909,False,0.75,600,200
google__gemini-3-flash-preview,sentence_compression_ratio,-0.058337,0.163102,-0.357669,0.720591,-0.378017,0.261343,False,0.75,600,200
google__gemini-3-flash-preview,extra_number_ratio,-0.167722,0.170305,-0.98483,0.324708,-0.50152,0.166077,False,0.75,600,200
google__gemini-3-flash-preview,extra_entity_count,-0.16094,0.101322,-1.588397,0.112197,-0.359531,0.037652,False,0.75,600,200
google__gemini-3-flash-preview,register_score,0.191984,0.103023,1.863509,0.062391,-0.009941,0.393909,False,0.75,600,200
google__gemini-3-flash-preview,target_lm_naturalness_score,0.415291,0.133347,3.11436,0.001843,0.153931,0.676652,True,0.75,600,200
google__gemini-3-flash-preview,target_function_word_density,-1.18425,0.120422,-9.834173,0.0,-1.420277,-0.948223,True,0.75,600,200
google__gemini-3-flash-preview,target_passive_density,-0.263295,0.134389,-1.9592,0.050089,-0.526697,0.000108,False,0.75,600,200
google__gemini-3-flash-preview,target_pronoun_subject_ratio,-0.117266,0.094422,-1.241933,0.214261,-0.302333,0.067801,False,0.75,600,200
google__gemini-3-flash-preview,target_explicit_connective_density,-0.28638,0.102719,-2.787992,0.005304,-0.487709,-0.08505,True,0.75,600,200
google__gemini-3-flash-preview,target_nominalization_suffix_density,0.176647,0.097707,1.807919,0.070619,-0.014859,0.368153,False,0.75,600,200
google__gemini-3-flash-preview,target_avg_sentence_length,0.343077,0.1862,1.842514,0.0654,-0.021876,0.708029,False,0.75,600,200
moonshotai__kimi-k2.5,intercept,0.211512,0.09357,2.260475,0.023792,0.028115,0.394909,True,0.736667,600,200
moonshotai__kimi-k2.5,crosslingual_embedding_similarity,-0.108238,0.133157,-0.812857,0.4163,-0.369226,0.15275,False,0.736667,600,200
moonshotai__kimi-k2.5,bidirectional_entailment,0.062202,0.145944,0.426204,0.669959,-0.223848,0.348252,False,0.736667,600,200
moonshotai__kimi-k2.5,nli_boundary_risk,0.288832,0.123849,2.332121,0.019694,0.046087,0.531576,True,0.736667,600,200
moonshotai__kimi-k2.5,nli_omission_risk,-0.325292,0.148879,-2.18495,0.028892,-0.617094,-0.03349,True,0.736667,600,200
moonshotai__kimi-k2.5,nli_contradiction_risk,-0.294761,0.210809,-1.398239,0.162041,-0.707947,0.118424,False,0.736667,600,200
moonshotai__kimi-k2.5,dependency_depth,-0.107124,0.113331,-0.945231,0.344541,-0.329253,0.115005,False,0.736667,600,200
moonshotai__kimi-k2.5,mean_dependency_distance,0.130466,0.172423,0.756665,0.449251,-0.207482,0.468415,False,0.736667,600,200
moonshotai__kimi-k2.5,normalized_dependency_distance,-0.32619,0.162872,-2.002738,0.045205,-0.645419,-0.006961,True,0.736667,600,200
moonshotai__kimi-k2.5,sentence_compression_ratio,0.014478,0.158575,0.091298,0.927256,-0.296329,0.325284,False,0.736667,600,200
moonshotai__kimi-k2.5,extra_number_ratio,-0.251962,0.122512,-2.056624,0.039722,-0.492086,-0.011838,True,0.736667,600,200
moonshotai__kimi-k2.5,extra_entity_count,-0.194972,0.089092,-2.188432,0.028638,-0.369592,-0.020351,True,0.736667,600,200
moonshotai__kimi-k2.5,register_score,0.173791,0.099612,1.744688,0.081039,-0.021448,0.36903,False,0.736667,600,200
moonshotai__kimi-k2.5,target_lm_naturalness_score,0.358023,0.130076,2.75242,0.005916,0.103074,0.612971,True,0.736667,600,200
moonshotai__kimi-k2.5,target_function_word_density,-1.233862,0.112192,-10.997766,0.0,-1.453758,-1.013965,True,0.736667,600,200
moonshotai__kimi-k2.5,target_passive_density,-0.304528,0.141749,-2.148359,0.031685,-0.582355,-0.0267,True,0.736667,600,200
moonshotai__kimi-k2.5,target_pronoun_subject_ratio,-0.152798,0.102785,-1.486582,0.137125,-0.354257,0.04866,False,0.736667,600,200
moonshotai__kimi-k2.5,target_explicit_connective_density,-0.348205,0.106386,-3.27302,0.001064,-0.556722,-0.139687,True,0.736667,600,200
moonshotai__kimi-k2.5,target_nominalization_suffix_density,0.153291,0.113943,1.345332,0.178518,-0.070037,0.376619,False,0.736667,600,200
moonshotai__kimi-k2.5,target_avg_sentence_length,0.335786,0.175466,1.91368,0.055661,-0.008128,0.6797,False,0.736667,600,200
openai__gpt-5.2,intercept,0.317445,0.094401,3.362713,0.000772,0.132418,0.502471,True,0.725,600,200
openai__gpt-5.2,crosslingual_embedding_similarity,0.208284,0.119578,1.741836,0.081537,-0.026088,0.442657,False,0.725,600,200
openai__gpt-5.2,bidirectional_entailment,-0.005936,0.139092,-0.04268,0.965957,-0.278557,0.266684,False,0.725,600,200
openai__gpt-5.2,nli_boundary_risk,0.267741,0.129502,2.067466,0.03869,0.013917,0.521565,True,0.725,600,200
openai__gpt-5.2,nli_omission_risk,-0.386955,0.130993,-2.954017,0.003137,-0.643701,-0.130209,True,0.725,600,200
openai__gpt-5.2,nli_contradiction_risk,-0.267745,0.176358,-1.518195,0.128965,-0.613406,0.077916,False,0.725,600,200
openai__gpt-5.2,dependency_depth,-0.129587,0.10792,-1.200767,0.229842,-0.341111,0.081937,False,0.725,600,200
openai__gpt-5.2,mean_dependency_distance,0.166379,0.170257,0.977225,0.328458,-0.167324,0.500082,False,0.725,600,200
openai__gpt-5.2,normalized_dependency_distance,-0.267197,0.1592,-1.678375,0.093274,-0.579228,0.044835,False,0.725,600,200
openai__gpt-5.2,sentence_compression_ratio,-0.046989,0.154703,-0.303735,0.76133,-0.350206,0.256229,False,0.725,600,200
openai__gpt-5.2,extra_number_ratio,-0.049976,0.143547,-0.348154,0.727724,-0.331328,0.231375,False,0.725,600,200
openai__gpt-5.2,extra_entity_count,-0.146947,0.086113,-1.706445,0.087925,-0.315729,0.021834,False,0.725,600,200
openai__gpt-5.2,register_score,0.072056,0.095562,0.754027,0.450833,-0.115245,0.259358,False,0.725,600,200
openai__gpt-5.2,target_lm_naturalness_score,0.365282,0.119939,3.045569,0.002322,0.130202,0.600361,True,0.725,600,200
openai__gpt-5.2,target_function_word_density,-1.11,0.118457,-9.370454,0.0,-1.342177,-0.877824,True,0.725,600,200
openai__gpt-5.2,target_passive_density,-0.264149,0.123494,-2.138953,0.032439,-0.506198,-0.0221,True,0.725,600,200
