version,direction,model,id,top_candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
kimi-version,CE,anthropic__claude-sonnet-4.6,001,C,13.0,12.0,3.919643,54.0,0.034997,0.498077,0.495652,3.0,9.0,0.664179,115.0,3.0,38.333333,4.313942741,3.657241403,0.696267487,2.732506616,-1.996525278,-0.796066114,0.022528744,0.135187105,6.199074279,-1.795908992,6.139905245,6.149075968,0.731813228
kimi-version,CE,anthropic__claude-sonnet-4.6,002,C,18.0,6.0,3.760684,29.0,0.032143,0.590179,0.401639,15.0,2.0,0.594937,122.0,5.0,24.4,6.61535046,0.343622301,0.457562805,0.597041796,-2.053171668,-0.144714713,-0.779674265,4.074587943,0.933253835,-1.838253547,6.649560585,12.535735676,-0.377025253
kimi-version,CE,anthropic__claude-sonnet-4.6,003,B,13.0,7.0,3.170213,25.0,0.033726,0.466667,0.459184,3.0,5.0,0.598425,98.0,4.0,24.5,4.313942741,0.895892151,-0.42913246,0.255367425,-2.021752174,-1.0181997,-0.288648852,0.135187105,3.190034025,-1.836120481,4.902170849,9.342405822,-0.369067082
kimi-version,CE,anthropic__claude-sonnet-4.6,004,A,12.0,5.0,2.913043,15.0,0.042218,0.467105,0.438356,6.0,0.0,0.547826,73.0,4.0,18.25,3.853661197,-0.208647549,-0.8153181,-0.598818503,-1.853202369,-1.015102135,-0.466371978,1.120037315,-0.571266292,-1.867064014,3.081973208,9.342405822,-0.866452777
kimi-version,CE,anthropic__claude-sonnet-4.6,005,A,9.0,6.0,2.534483,13.0,0.043698,0.428571,0.349206,11.0,0.0,0.458716,63.0,5.0,12.6,2.472816566,0.343622301,-1.383792011,-0.769655689,-1.823827226,-1.287617117,-1.227079521,2.761454331,-0.571266292,-1.921558733,2.353894151,12.535735676,-1.316089444
kimi-version,CE,anthropic__claude-sonnet-4.6,006,C,7.0,9.0,3.45098,26.0,0.067666,0.413793,0.471698,6.0,0.0,0.613333,53.0,2.0,26.5,1.552253478,2.000431852,-0.007511806,0.340786018,-1.348108699,-1.392128105,-0.18186821,1.120037315,-0.571266292,-1.827003577,1.625815095,2.955746113,-0.20990366
kimi-version,CE,anthropic__claude-sonnet-4.6,007,C,14.0,8.0,4.62766,30.0,0.04923,0.595349,0.346939,6.0,3.0,0.587302,98.0,4.0,24.5,4.774224285,1.448162002,1.759478586,0.682460389,-1.714027706,-0.108152133,-1.246423593,1.120037315,1.685513898,-1.842922689,4.902170849,9.342405822,-0.369067082
kimi-version,CE,anthropic__claude-sonnet-4.6,008,A,24.0,8.0,3.243902,32.0,0.026373,0.6125,0.3,21.0,0.0,0.713333,130.0,7.0,18.571429,9.377039723,1.448162002,-0.318475565,0.853297575,-2.167695028,0.013140867,-1.646949127,6.044288362,-0.571266292,-1.76584914,7.23202383,18.922395385,-0.840872907
kimi-version,CE,anthropic__claude-sonnet-4.6,009,B,9.0,5.0,3.596774,25.0,0.058012,0.643243,0.578125,7.0,9.0,0.654762,64.0,2.0,32.0,2.472816566,-0.208647549,0.211423332,0.255367425,-1.539721961,0.230557385,0.726262151,1.448320718,6.199074279,-1.801667905,2.426702057,2.955746113,0.227795751
kimi-version,CE,anthropic__claude-sonnet-4.6,010,C,9.0,8.0,3.5,42.0,0.072917,0.404167,0.387755,9.0,5.0,0.681159,49.0,1.0,49.0,2.472816566,1.448162002,0.06610028,1.707483503,-1.243886487,-1.46020381,-0.898144972,2.104887524,3.190034025,-1.785524969,1.334583472,-0.237583741,1.58068484
kimi-version,CE,anthropic__claude-sonnet-4.6,011,B,7.0,7.0,3.656716,31.0,0.054578,0.5375,0.565217,6.0,0.0,0.652174,69.0,2.0,34.5,1.552253478,0.895892151,0.301436707,0.767878982,-1.607880231,-0.517264065,0.616119549,1.120037315,-0.571266292,-1.803250582,2.790741585,2.955746113,0.426750029
kimi-version,CE,anthropic__claude-sonnet-4.6,012,B,12.0,6.0,2.853333,23.0,0.038044,0.514634,0.320988,5.0,4.0,0.539062,81.0,6.0,13.5,3.853661197,0.343622301,-0.904983086,0.084530239,-1.93604821,-0.678973921,-1.467860738,0.791753912,2.437773962,-1.872423589,3.664436453,15.729065531,-1.244465904
kimi-version,CE,anthropic__claude-sonnet-4.6,013,B,8.0,10.0,3.710843,41.0,0.044709,0.455952,0.488372,0.0,6.0,0.686441,86.0,3.0,28.666667,2.012535022,2.552701702,0.382717844,1.62206491,-1.803760828,-1.093976884,-0.039590728,-0.849663104,3.942294088,-1.782294791,4.028475981,6.149075968,-0.037476593
kimi-version,CE,anthropic__claude-sonnet-4.6,014,A,4.0,8.0,3.509804,26.0,0.06882,0.765909,0.509434,4.0,3.0,0.563218,53.0,2.0,26.5,0.171408847,1.448162002,0.080822697,0.340786018,-1.325204027,1.098059404,0.140129096,0.463470509,1.685513898,-1.857651123,1.625815095,2.955746113,-0.20990366
kimi-version,CE,anthropic__claude-sonnet-4.6,015,A,14.0,5.0,3.307692,20.0,0.036348,0.642553,0.5,13.0,6.0,0.731481,94.0,3.0,31.333333,4.774224285,-0.208647549,-0.222683746,-0.171725539,-1.969710536,0.225677659,0.059629769,3.418021137,3.942294088,-1.754750833,4.610939226,6.149075968,0.17474125
kimi-version,CE,anthropic__claude-sonnet-4.6,016,B,6.0,5.0,3.522727,23.0,0.080062,0.552,0.543478,6.0,1.0,0.512821,46.0,2.0,23.0,1.091971935,-0.208647549,0.100228837,0.084530239,-1.102072031,-0.414719112,0.430622956,1.120037315,0.180993771,-1.888471125,1.116159755,2.955746113,-0.488439649
kimi-version,CE,anthropic__claude-sonnet-4.6,017,C,8.0,8.0,2.7625,24.0,0.034531,0.75625,0.590361,6.0,9.0,0.696429,83.0,3.0,27.666667,2.012535022,1.448162002,-1.041384689,0.169948832,-2.005774478,1.029750321,0.830670648,1.120037315,6.199074279,-1.776186686,3.810052264,6.149075968,-0.117058304
kimi-version,CE,anthropic__claude-sonnet-4.6,018,B,8.0,5.0,3.901639,28.0,0.063961,0.565625,0.47619,5.0,3.0,0.610526,63.0,2.0,31.5,2.012535022,-0.208647549,0.669231339,0.511623203,-1.421645796,-0.318362216,-0.143538448,0.791753912,1.685513898,-1.828720182,2.353894151,2.955746113,0.188004895
kimi-version,CE,anthropic__claude-sonnet-4.6,019,A,17.0,6.0,3.747826,36.0,0.03259,0.591509,0.338983,22.0,5.0,0.941748,118.0,3.0,39.333333,6.155068917,0.343622301,0.438254273,1.194971946,-2.044299581,-0.135308865,-1.314311302,6.372571765,3.190034025,-1.626163232,6.358328962,6.149075968,0.811394939
kimi-version,CE,anthropic__claude-sonnet-4.6,020,A,12.0,6.0,3.606557,24.0,0.059124,0.401667,0.349206,5.0,1.0,0.445378,63.0,2.0,31.5,3.853661197,0.343622301,0.226114214,0.169948832,-1.517650908,-1.477883974,-1.227079521,0.791753912,0.180993771,-1.929715512,2.353894151,2.955746113,0.188004895
kimi-version,CE,anthropic__claude-sonnet-4.6,021,C,7.0,5.0,3.973333,28.0,0.052978,0.5,0.493506,6.0,0.0,0.555556,77.0,2.0,38.5,1.552253478,-0.208647549,0.776892393,0.511623203,-1.639637142,-0.782466531,0.004217153,1.120037315,-0.571266292,-1.862336776,3.37320483,2.955746113,0.745076873
kimi-version,CE,anthropic__claude-sonnet-4.6,022,A,9.0,7.0,3.720588,32.0,0.054715,0.7275,0.542857,15.0,3.0,0.64,70.0,2.0,35.0,2.472816566,0.895892151,0.397351662,0.853297575,-1.605161046,0.82642843,0.425324028,4.074587943,1.685513898,-1.810695523,2.863549491,2.955746113,0.466540884
kimi-version,CE,anthropic__claude-sonnet-4.6,023,A,13.0,7.0,3.190476,38.0,0.030385,0.454167,0.357798,3.0,6.0,0.610063,109.0,4.0,27.25,4.313942741,0.895892151,-0.398704028,1.365809131,-2.088064574,-1.106600522,-1.153764892,0.135187105,3.942294088,-1.829003327,5.703057811,9.342405822,-0.150217377
kimi-version,CE,anthropic__claude-sonnet-4.6,024,B,5.0,7.0,3.449275,31.0,0.049989,0.514062,0.56338,0.0,2.0,0.570175,71.0,2.0,35.5,0.631690391,0.895892151,-0.010072161,0.767878982,-1.698963022,-0.683019143,0.600444622,-0.849663104,0.933253835,-1.853396609,2.936357396,2.955746113,0.50633174
kimi-version,CE,anthropic__claude-sonnet-4.6,025,C,13.0,9.0,3.555556,28.0,0.049383,0.713235,0.351351,12.0,2.0,0.701031,74.0,2.0,37.0,4.313942741,2.000431852,0.149527311,0.511623203,-1.710990952,0.725545412,-1.208776463,3.089737734,0.933253835,-1.773372359,3.154781113,2.955746113,0.625704306
kimi-version,CE,anthropic__claude-sonnet-4.6,026,C,8.0,4.0,2.868852,15.0,0.04703,0.475,0.4,8.0,4.0,0.675,65.0,4.0,16.25,2.012535022,-0.7609174,-0.881678599,-0.598818503,-1.757693459,-0.959268176,-0.793659679,1.776604121,2.437773962,-1.78929147,2.499509963,9.342405822,-1.025616199
kimi-version,CE,anthropic__claude-sonnet-4.6,027,B,6.0,9.0,3.040816,26.0,0.062057,0.426316,0.372549,0.0,0.0,0.635135,51.0,2.0,25.5,1.091971935,2.000431852,-0.623444639,0.340786018,-1.45943652,-1.303564625,-1.027896165,-0.849663104,-0.571266292,-1.813670687,1.480199283,2.955746113,-0.289485371
kimi-version,CE,anthropic__claude-sonnet-4.6,028,A,6.0,7.0,4.101124,75.0,0.04608,0.752439,0.516484,6.0,6.0,0.763158,91.0,2.0,45.5,1.091971935,0.895892151,0.968792883,4.526297065,-1.776549125,1.002798678,0.200286002,1.120037315,3.942294088,-1.735378942,4.392515509,2.955746113,1.302148851
kimi-version,CE,anthropic__claude-sonnet-4.6,029,C,5.0,5.0,3.151515,25.0,0.04775,0.627027,0.637681,3.0,4.0,0.6,69.0,3.0,23.0,0.631690391,-0.208647549,-0.45721077,0.255367425,-1.743402849,0.115876766,1.234447215,0.135187105,2.437773962,-1.835157298,2.790741585,6.149075968,-0.488439649
