id,consensus_order,top1_candidate,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C
001,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
002,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
003,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
004,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
005,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
006,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6
007,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
008,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
009,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
010,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
011,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,9,7
012,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
013,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
014,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
015,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
016,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
017,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10
018,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
019,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
020,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11
021,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
022,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7
023,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
024,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
025,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
026,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7
027,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
028,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
029,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
030,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4
031,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
032,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8
033,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
034,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
035,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6
036,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,7,11
037,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
038,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
039,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
040,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4
041,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
042,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
043,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
044,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,6,11
045,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10
046,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",7,6,11
047,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8
048,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6
049,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
050,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
051,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12
052,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
053,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
054,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
055,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4
056,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4
057,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10
058,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
059,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
060,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",5,7,12
061,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12
062,A>B>C,A,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11
063,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
064,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5
065,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4
066,C>A>B,C,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5
067,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,5,8
068,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12
069,B>C>A,B,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9
070,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
071,A>C>B,A,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7
072,B>A>C,B,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11
073,C>B>A,C,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5
