model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,crosslingual_embedding_similarity,0.114695,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,bidirectional_entailment,-0.027226,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,nli_boundary_risk,0.322966,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,nli_omission_risk,-0.347613,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,nli_contradiction_risk,-0.190533,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,dependency_depth,-0.020088,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,mean_dependency_distance,0.015829,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,normalized_dependency_distance,0.059021,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,sentence_compression_ratio,0.474618,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,extra_number_ratio,-0.303712,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,extra_entity_count,-0.134257,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,register_score,0.120144,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,translationese_score,-0.998667,0.703333,-0.106613,600
anthropic__claude-sonnet-4.6,target_lm_naturalness_score,0.342113,0.703333,-0.106613,600
deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.142913,0.668333,0.346787,600
deepseek__deepseek-v4-flash,bidirectional_entailment,-0.121846,0.668333,0.346787,600
deepseek__deepseek-v4-flash,nli_boundary_risk,-0.018463,0.668333,0.346787,600
deepseek__deepseek-v4-flash,nli_omission_risk,-0.418693,0.668333,0.346787,600
deepseek__deepseek-v4-flash,nli_contradiction_risk,0.089171,0.668333,0.346787,600
deepseek__deepseek-v4-flash,dependency_depth,-0.141189,0.668333,0.346787,600
deepseek__deepseek-v4-flash,mean_dependency_distance,-0.027045,0.668333,0.346787,600
deepseek__deepseek-v4-flash,normalized_dependency_distance,0.12175,0.668333,0.346787,600
deepseek__deepseek-v4-flash,sentence_compression_ratio,0.214355,0.668333,0.346787,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.187501,0.668333,0.346787,600
deepseek__deepseek-v4-flash,extra_entity_count,-0.095287,0.668333,0.346787,600
deepseek__deepseek-v4-flash,register_score,0.050468,0.668333,0.346787,600
deepseek__deepseek-v4-flash,translationese_score,-0.825615,0.668333,0.346787,600
deepseek__deepseek-v4-flash,target_lm_naturalness_score,0.348101,0.668333,0.346787,600
google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.036207,0.706667,-0.129457,600
google__gemini-3-flash-preview,bidirectional_entailment,0.008715,0.706667,-0.129457,600
google__gemini-3-flash-preview,nli_boundary_risk,0.249867,0.706667,-0.129457,600
google__gemini-3-flash-preview,nli_omission_risk,-0.34025,0.706667,-0.129457,600
google__gemini-3-flash-preview,nli_contradiction_risk,-0.175528,0.706667,-0.129457,600
google__gemini-3-flash-preview,dependency_depth,-0.096654,0.706667,-0.129457,600
google__gemini-3-flash-preview,mean_dependency_distance,0.151625,0.706667,-0.129457,600
google__gemini-3-flash-preview,normalized_dependency_distance,0.043744,0.706667,-0.129457,600
google__gemini-3-flash-preview,sentence_compression_ratio,0.314577,0.706667,-0.129457,600
google__gemini-3-flash-preview,extra_number_ratio,-0.266546,0.706667,-0.129457,600
google__gemini-3-flash-preview,extra_entity_count,-0.184689,0.706667,-0.129457,600
google__gemini-3-flash-preview,register_score,0.149624,0.706667,-0.129457,600
google__gemini-3-flash-preview,translationese_score,-0.972856,0.706667,-0.129457,600
google__gemini-3-flash-preview,target_lm_naturalness_score,0.322651,0.706667,-0.129457,600
moonshotai__kimi-k2.5,crosslingual_embedding_similarity,-0.081395,0.711667,0.186726,600
moonshotai__kimi-k2.5,bidirectional_entailment,-0.027643,0.711667,0.186726,600
moonshotai__kimi-k2.5,nli_boundary_risk,0.194738,0.711667,0.186726,600
moonshotai__kimi-k2.5,nli_omission_risk,-0.275446,0.711667,0.186726,600
