model,feature,n,avg_human,avg_model_top1,avg_diff_model_minus_human,share_model_lower_than_human,share_model_higher_than_human,lower_means_less_burden
anthropic__claude-sonnet-4.6,clause_count,200,12.365,12.075,-0.29,0.385,0.31,False
anthropic__claude-sonnet-4.6,dependency_depth,200,5.68,5.555,-0.125,0.295,0.18,True
anthropic__claude-sonnet-4.6,mean_dependency_distance,200,4.184255,4.195368,0.011113,0.51,0.43,True
anthropic__claude-sonnet-4.6,max_dependency_distance,200,29.43,29.48,0.05,0.465,0.39,True
anthropic__claude-sonnet-4.6,normalized_dependency_distance,200,0.055451,0.057673,0.002222,0.36,0.58,True
anthropic__claude-sonnet-4.6,nominalization_ratio,200,0.485562,0.49044,0.004878,0.425,0.51,False
anthropic__claude-sonnet-4.6,modifier_density,200,0.366793,0.365459,-0.001334,0.48,0.455,False
anthropic__claude-sonnet-4.6,coordination_count,200,4.08,4.2,0.12,0.2,0.32,False
anthropic__claude-sonnet-4.6,passive_or_beishi_count,200,2.19,1.85,-0.34,0.365,0.175,True
anthropic__claude-sonnet-4.6,sentence_compression_ratio,200,1.531443,1.475791,-0.055652,0.605,0.3,True
deepseek__deepseek-v4-flash,clause_count,200,12.365,12.11,-0.255,0.39,0.355,False
deepseek__deepseek-v4-flash,dependency_depth,200,5.68,5.565,-0.115,0.295,0.185,True
deepseek__deepseek-v4-flash,mean_dependency_distance,200,4.184255,4.179411,-0.004844,0.505,0.44,True
deepseek__deepseek-v4-flash,max_dependency_distance,200,29.43,29.48,0.05,0.455,0.42,True
deepseek__deepseek-v4-flash,normalized_dependency_distance,200,0.055451,0.057737,0.002286,0.37,0.575,True
deepseek__deepseek-v4-flash,nominalization_ratio,200,0.485562,0.489596,0.004034,0.42,0.52,False
deepseek__deepseek-v4-flash,modifier_density,200,0.366793,0.365446,-0.001347,0.495,0.44,False
deepseek__deepseek-v4-flash,coordination_count,200,4.08,4.23,0.15,0.205,0.305,False
deepseek__deepseek-v4-flash,passive_or_beishi_count,200,2.19,1.795,-0.395,0.37,0.155,True
deepseek__deepseek-v4-flash,sentence_compression_ratio,200,1.531443,1.469082,-0.062361,0.635,0.285,True
google__gemini-3-flash-preview,clause_count,200,12.365,12.15,-0.215,0.38,0.365,False
google__gemini-3-flash-preview,dependency_depth,200,5.68,5.54,-0.14,0.295,0.18,True
google__gemini-3-flash-preview,mean_dependency_distance,200,4.184255,4.158272,-0.025982,0.535,0.415,True
google__gemini-3-flash-preview,max_dependency_distance,200,29.43,29.4,-0.03,0.465,0.415,True
google__gemini-3-flash-preview,normalized_dependency_distance,200,0.055451,0.057422,0.001971,0.375,0.575,True
google__gemini-3-flash-preview,nominalization_ratio,200,0.485562,0.491096,0.005534,0.41,0.535,False
google__gemini-3-flash-preview,modifier_density,200,0.366793,0.366125,-0.000667,0.475,0.47,False
google__gemini-3-flash-preview,coordination_count,200,4.08,4.255,0.175,0.2,0.315,False
google__gemini-3-flash-preview,passive_or_beishi_count,200,2.19,1.81,-0.38,0.385,0.165,True
google__gemini-3-flash-preview,sentence_compression_ratio,200,1.531443,1.466722,-0.064721,0.62,0.285,True
moonshotai__kimi-k2.5,clause_count,200,12.365,12.065,-0.3,0.405,0.355,False
moonshotai__kimi-k2.5,dependency_depth,200,5.68,5.535,-0.145,0.305,0.18,True
moonshotai__kimi-k2.5,mean_dependency_distance,200,4.184255,4.182884,-0.001371,0.51,0.44,True
moonshotai__kimi-k2.5,max_dependency_distance,200,29.43,29.645,0.215,0.44,0.43,True
moonshotai__kimi-k2.5,normalized_dependency_distance,200,0.055451,0.057735,0.002284,0.37,0.58,True
moonshotai__kimi-k2.5,nominalization_ratio,200,0.485562,0.491314,0.005752,0.415,0.53,False
moonshotai__kimi-k2.5,modifier_density,200,0.366793,0.368969,0.002177,0.455,0.49,False
moonshotai__kimi-k2.5,coordination_count,200,4.08,4.245,0.165,0.21,0.31,False
moonshotai__kimi-k2.5,passive_or_beishi_count,200,2.19,1.815,-0.375,0.385,0.17,True
moonshotai__kimi-k2.5,sentence_compression_ratio,200,1.531443,1.469475,-0.061968,0.615,0.3,True
openai__gpt-5.2,clause_count,200,12.365,12.145,-0.22,0.39,0.34,False
openai__gpt-5.2,dependency_depth,200,5.68,5.535,-0.145,0.305,0.18,True
openai__gpt-5.2,mean_dependency_distance,200,4.184255,4.190967,0.006712,0.495,0.445,True
openai__gpt-5.2,max_dependency_distance,200,29.43,29.355,-0.075,0.47,0.395,True
openai__gpt-5.2,normalized_dependency_distance,200,0.055451,0.057621,0.00217,0.36,0.58,True
openai__gpt-5.2,nominalization_ratio,200,0.485562,0.490377,0.004816,0.42,0.51,False
openai__gpt-5.2,modifier_density,200,0.366793,0.365401,-0.001391,0.49,0.445,False
openai__gpt-5.2,coordination_count,200,4.08,4.215,0.135,0.2,0.31,False
openai__gpt-5.2,passive_or_beishi_count,200,2.19,1.88,-0.31,0.375,0.175,True
openai__gpt-5.2,sentence_compression_ratio,200,1.531443,1.475399,-0.056044,0.595,0.295,True
