version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
claude-version,deepseek__deepseek-v4-flash,intercept,0.352413,0.066164,5.326318,0.0,0.22273,0.482095,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.117287,0.083125,1.410974,0.158252,-0.045638,0.280212,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,bidirectional_entailment,-0.038859,0.13041,-0.297979,0.765719,-0.294463,0.216744,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_boundary_risk,-0.007001,0.073427,-0.095341,0.924044,-0.150917,0.136916,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_omission_risk,-0.282113,0.115645,-2.439473,0.014709,-0.508778,-0.055449,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_contradiction_risk,0.030561,0.125438,0.243631,0.807516,-0.215298,0.276419,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,dependency_depth,-0.095147,0.083137,-1.144461,0.252433,-0.258095,0.067801,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,mean_dependency_distance,-0.124289,0.110574,-1.124037,0.260997,-0.341013,0.092436,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,normalized_dependency_distance,0.096851,0.115869,0.835862,0.403232,-0.130253,0.323954,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,clause_count,-0.050142,0.07559,-0.66334,0.507113,-0.1983,0.098015,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,modifier_density,0.160126,0.085011,1.883596,0.05962,-0.006495,0.326747,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,nominalization_ratio,0.0665,0.084986,0.782476,0.433935,-0.100074,0.233073,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,coordination_count,0.225381,0.082849,2.720393,0.00652,0.062998,0.387765,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.007052,0.078804,-0.089492,0.928691,-0.161509,0.147404,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,0.27735,0.097735,2.837761,0.004543,0.085788,0.468911,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.652478,0.087388,-7.466439,0.0,-0.823759,-0.481197,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_passive_density,-0.232327,0.084503,-2.749334,0.005972,-0.397952,-0.066701,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,-0.168981,0.06891,-2.452183,0.014199,-0.304045,-0.033916,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.285047,0.076033,-3.748999,0.000178,-0.434072,-0.136023,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.072049,0.076552,0.941187,0.346609,-0.077992,0.222091,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_avg_sentence_length,0.080328,0.109149,0.73595,0.461761,-0.133604,0.294261,False,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,clause_density,0.266148,0.100545,2.64706,0.00812,0.06908,0.463216,True,0.714167,1200,400
claude-version,deepseek__deepseek-v4-flash,lexical_frequency_deviation,-0.391974,0.087691,-4.469932,8e-06,-0.563849,-0.220099,True,0.714167,1200,400
claude-version,google__gemini-3-flash-preview,intercept,-0.065417,0.072707,-0.899735,0.368261,-0.207922,0.077088,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.06923,0.083329,0.830809,0.406082,-0.094094,0.232554,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,bidirectional_entailment,0.034675,0.096535,0.359194,0.71945,-0.154533,0.223882,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,nli_boundary_risk,0.214363,0.09429,2.273447,0.022999,0.029555,0.399172,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,nli_omission_risk,-0.243193,0.089862,-2.706283,0.006804,-0.419323,-0.067063,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,nli_contradiction_risk,-0.212751,0.127398,-1.669965,0.094926,-0.462452,0.03695,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,dependency_depth,-0.043636,0.075964,-0.574427,0.565679,-0.192526,0.105254,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,mean_dependency_distance,-0.056515,0.113467,-0.498075,0.618431,-0.27891,0.16588,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,normalized_dependency_distance,0.085973,0.109755,0.783313,0.433443,-0.129148,0.301093,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,clause_count,0.019582,0.093073,0.210388,0.833365,-0.162842,0.202005,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,modifier_density,0.226904,0.077179,2.939963,0.003283,0.075633,0.378176,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,nominalization_ratio,0.150403,0.077604,1.938092,0.052612,-0.0017,0.302506,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,coordination_count,0.122772,0.078085,1.572284,0.115885,-0.030275,0.275819,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,passive_or_beishi_count,-0.019807,0.078122,-0.253543,0.799848,-0.172926,0.133311,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,sentence_compression_ratio,0.469124,0.100867,4.650897,3e-06,0.271424,0.666824,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,target_function_word_density,-0.727395,0.095954,-7.580634,0.0,-0.915465,-0.539324,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,target_passive_density,-0.231071,0.0777,-2.973902,0.00294,-0.383363,-0.07878,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,target_pronoun_subject_ratio,-0.104239,0.067936,-1.534372,0.124938,-0.237392,0.028915,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,target_explicit_connective_density,-0.268749,0.074806,-3.592637,0.000327,-0.415368,-0.12213,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,target_nominalization_suffix_density,-0.048903,0.07894,-0.619492,0.535592,-0.203625,0.10582,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,target_avg_sentence_length,0.006497,0.122883,0.052875,0.957831,-0.234353,0.247348,False,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,clause_density,0.46862,0.104311,4.492537,7e-06,0.264171,0.673069,True,0.740833,1200,400
claude-version,google__gemini-3-flash-preview,lexical_frequency_deviation,-0.49726,0.088749,-5.60299,0.0,-0.671208,-0.323312,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,intercept,0.236692,0.068142,3.47351,0.000514,0.103134,0.37025,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,crosslingual_embedding_similarity,-0.034358,0.088544,-0.388033,0.697992,-0.207905,0.139189,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,bidirectional_entailment,0.004346,0.111072,0.039132,0.968785,-0.213354,0.222047,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,nli_boundary_risk,0.21186,0.108752,1.948096,0.051403,-0.001295,0.425014,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,nli_omission_risk,-0.197145,0.098499,-2.001489,0.04534,-0.390204,-0.004087,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,nli_contradiction_risk,-0.215981,0.164238,-1.315052,0.188492,-0.537887,0.105925,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,dependency_depth,-0.035611,0.076534,-0.465293,0.641721,-0.185617,0.114395,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,mean_dependency_distance,0.014014,0.117798,0.118969,0.9053,-0.21687,0.244898,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,normalized_dependency_distance,-0.106839,0.113506,-0.941263,0.34657,-0.329312,0.115633,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,clause_count,0.003696,0.083438,0.044295,0.964669,-0.159842,0.167234,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,modifier_density,0.264371,0.081634,3.238509,0.001202,0.104369,0.424373,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,nominalization_ratio,0.218736,0.079608,2.747668,0.006002,0.062705,0.374768,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,coordination_count,0.149516,0.077031,1.940983,0.05226,-0.001465,0.300498,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,passive_or_beishi_count,-0.064939,0.080202,-0.809687,0.41812,-0.222135,0.092258,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,sentence_compression_ratio,0.47089,0.094715,4.971623,1e-06,0.285247,0.656532,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,target_function_word_density,-0.841538,0.093573,-8.993363,0.0,-1.024941,-0.658134,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,target_passive_density,-0.221089,0.081808,-2.702553,0.006881,-0.381432,-0.060746,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,target_pronoun_subject_ratio,-0.101993,0.080043,-1.274232,0.202581,-0.258877,0.054891,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,target_explicit_connective_density,-0.363061,0.079411,-4.571923,5e-06,-0.518707,-0.207415,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,target_nominalization_suffix_density,-0.006461,0.079908,-0.080859,0.935554,-0.163081,0.150159,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,target_avg_sentence_length,0.072989,0.114853,0.635497,0.525104,-0.152124,0.298102,False,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,clause_density,0.379185,0.108556,3.493005,0.000478,0.166416,0.591954,True,0.740833,1200,400
claude-version,moonshotai__kimi-k2.5,lexical_frequency_deviation,-0.48346,0.092609,-5.220419,0.0,-0.664974,-0.301945,True,0.740833,1200,400
