id,consensus_order,consensus_rank,rank_sum_A,rank_sum_B,rank_sum_C,borda_A,borda_B,borda_C,top1_votes
001,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
002,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5,1,4,7,"{""B"": 1, ""C"": 3}"
003,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
004,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,7,10,5,5,2,"{""A"": 1, ""B"": 2, ""C"": 1}"
005,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
006,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6,3,3,6,"{""B"": 1, ""C"": 3}"
007,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
008,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
009,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
010,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6,6,0,6,"{""A"": 2, ""C"": 2}"
011,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",7,7,10,5,5,2,"{""A"": 1, ""B"": 2, ""C"": 1}"
012,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5,1,4,7,"{""B"": 1, ""C"": 3}"
013,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8,2,6,4,"{""B"": 3, ""C"": 1}"
014,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10,4,6,2,"{""A"": 2, ""B"": 2}"
015,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
016,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
017,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,7,7,2,5,5,"{""A"": 1, ""B"": 2, ""C"": 1}"
018,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
019,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11,4,7,1,"{""A"": 1, ""B"": 3}"
020,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
021,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,10,9,7,2,3,"{""A"": 3, ""C"": 1}"
022,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
023,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,10,10,8,2,2,"{""A"": 4}"
024,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10,6,4,2,"{""A"": 2, ""B"": 1, ""C"": 1}"
025,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10,6,4,2,"{""A"": 2, ""B"": 1, ""C"": 1}"
026,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,6,10,4,6,2,"{""B"": 3, ""C"": 1}"
027,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12,6,6,0,"{""A"": 2, ""B"": 2}"
028,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,12,7,7,0,5,"{""A"": 3, ""C"": 1}"
029,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,9,4,1,3,8,"{""C"": 4}"
030,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
031,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
032,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,9,10,7,3,2,"{""A"": 3, ""B"": 1}"
033,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7,0,7,5,"{""B"": 3, ""C"": 1}"
034,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8,2,6,4,"{""B"": 3, ""C"": 1}"
035,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12,6,6,0,"{""A"": 2, ""B"": 2}"
036,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",7,5,12,5,7,0,"{""A"": 1, ""B"": 3}"
037,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7,0,7,5,"{""B"": 3, ""C"": 1}"
038,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
039,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
040,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
041,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9,2,7,3,"{""B"": 3, ""C"": 1}"
042,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6,0,6,6,"{""B"": 2, ""C"": 2}"
043,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
044,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
045,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",5,11,8,7,1,4,"{""A"": 3, ""C"": 1}"
046,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
047,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5,3,2,7,"{""B"": 1, ""C"": 3}"
048,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6,3,3,6,"{""A"": 1, ""C"": 3}"
049,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
050,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,11,5,4,1,7,"{""A"": 1, ""C"": 3}"
051,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,8,10,6,4,2,"{""A"": 2, ""B"": 2}"
052,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,10,5,3,2,7,"{""A"": 1, ""C"": 3}"
053,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12,6,6,0,"{""A"": 2, ""B"": 2}"
054,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
055,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,12,4,4,0,8,"{""C"": 4}"
056,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""A"": 1, ""B"": 3}"
057,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
058,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
059,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5,5,0,7,"{""A"": 1, ""C"": 3}"
060,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,5,10,3,7,2,"{""B"": 3, ""C"": 1}"
061,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
062,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
063,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5,0,5,7,"{""B"": 1, ""C"": 3}"
064,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
065,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,6,6,0,6,6,"{""B"": 2, ""C"": 2}"
066,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",9,7,8,3,5,4,"{""B"": 2, ""C"": 2}"
067,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
068,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",10,10,4,2,2,8,"{""C"": 4}"
069,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
070,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,8,5,1,4,7,"{""B"": 1, ""C"": 3}"
071,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,11,6,5,1,6,"{""A"": 2, ""C"": 2}"
072,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,9,6,3,3,6,"{""B"": 1, ""C"": 3}"
073,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
074,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
075,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
076,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
077,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
078,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,9,10,7,3,2,"{""A"": 3, ""B"": 1}"
079,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,5,9,2,7,3,"{""B"": 3, ""C"": 1}"
080,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
081,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,5,11,4,7,1,"{""A"": 1, ""B"": 3}"
082,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,11,7,6,1,5,"{""A"": 2, ""C"": 2}"
083,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,6,12,6,6,0,"{""A"": 2, ""B"": 2}"
084,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
085,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",9,11,4,3,1,8,"{""C"": 4}"
086,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
087,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6,6,0,6,"{""A"": 2, ""C"": 2}"
088,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
089,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,8,4,0,4,8,"{""C"": 4}"
090,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6,6,0,6,"{""A"": 2, ""C"": 2}"
091,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",9,4,11,3,8,1,"{""B"": 4}"
092,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
093,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
094,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",11,7,6,1,5,6,"{""B"": 2, ""C"": 2}"
095,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6,6,0,6,"{""A"": 2, ""C"": 2}"
096,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",10,6,8,2,6,4,"{""B"": 2, ""C"": 2}"
097,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
098,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",8,10,6,4,2,6,"{""A"": 1, ""C"": 3}"
099,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",11,4,9,1,8,3,"{""B"": 4}"
100,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,4,8,0,8,4,"{""B"": 4}"
101,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
102,B>C>A,"{""A"": 3, ""B"": 1, ""C"": 2}",12,5,7,0,7,5,"{""B"": 3, ""C"": 1}"
103,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,9,11,8,3,1,"{""A"": 4}"
104,C>B>A,"{""A"": 3, ""B"": 2, ""C"": 1}",12,7,5,0,5,7,"{""B"": 1, ""C"": 3}"
105,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",8,4,12,4,8,0,"{""B"": 4}"
106,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",4,8,12,8,4,0,"{""A"": 4}"
107,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
108,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",5,8,11,7,4,1,"{""A"": 3, ""B"": 1}"
109,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
110,B>A>C,"{""A"": 2, ""B"": 1, ""C"": 3}",10,4,10,2,8,2,"{""B"": 4}"
111,A>B>C,"{""A"": 1, ""B"": 2, ""C"": 3}",6,7,11,6,5,1,"{""A"": 2, ""B"": 2}"
112,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",4,12,8,8,0,4,"{""A"": 4}"
113,C>A>B,"{""A"": 2, ""B"": 3, ""C"": 1}",7,12,5,5,0,7,"{""A"": 1, ""C"": 3}"
114,A>C>B,"{""A"": 1, ""B"": 3, ""C"": 2}",6,12,6,6,0,6,"{""A"": 2, ""C"": 2}"
