model,feature,standardized_coefficient,training_accuracy,intercept,n_pairwise_observations
anthropic__claude-sonnet-4.6,extra_number_count,-0.309785,0.565,0.04687,600
anthropic__claude-sonnet-4.6,extra_number_ratio,0.051954,0.565,0.04687,600
anthropic__claude-sonnet-4.6,extra_entity_count,0.223945,0.565,0.04687,600
anthropic__claude-sonnet-4.6,financial_register_score,-0.015022,0.565,0.04687,600
anthropic__claude-sonnet-4.6,statistical_register_score,-0.045849,0.565,0.04687,600
anthropic__claude-sonnet-4.6,register_score,-0.04423,0.565,0.04687,600
anthropic__claude-sonnet-4.6,translationese_score,-0.220954,0.565,0.04687,600
deepseek__deepseek-v4-flash,extra_number_count,-0.379581,0.625,0.268255,600
deepseek__deepseek-v4-flash,extra_number_ratio,-0.267288,0.625,0.268255,600
deepseek__deepseek-v4-flash,extra_entity_count,0.08482,0.625,0.268255,600
deepseek__deepseek-v4-flash,financial_register_score,0.024724,0.625,0.268255,600
deepseek__deepseek-v4-flash,statistical_register_score,0.008318,0.625,0.268255,600
deepseek__deepseek-v4-flash,register_score,0.021856,0.625,0.268255,600
deepseek__deepseek-v4-flash,translationese_score,-0.397343,0.625,0.268255,600
google__gemini-3-flash-preview,extra_number_count,-0.430156,0.613333,-0.326662,600
google__gemini-3-flash-preview,extra_number_ratio,0.136789,0.613333,-0.326662,600
google__gemini-3-flash-preview,extra_entity_count,0.298732,0.613333,-0.326662,600
google__gemini-3-flash-preview,financial_register_score,-0.045397,0.613333,-0.326662,600
google__gemini-3-flash-preview,statistical_register_score,-0.025064,0.613333,-0.326662,600
google__gemini-3-flash-preview,register_score,-0.047564,0.613333,-0.326662,600
google__gemini-3-flash-preview,translationese_score,-0.307072,0.613333,-0.326662,600
moonshotai__kimi-k2.5,extra_number_count,-0.189419,0.633333,0.475373,600
moonshotai__kimi-k2.5,extra_number_ratio,0.004278,0.633333,0.475373,600
moonshotai__kimi-k2.5,extra_entity_count,0.338142,0.633333,0.475373,600
moonshotai__kimi-k2.5,financial_register_score,0.000212,0.633333,0.475373,600
moonshotai__kimi-k2.5,statistical_register_score,0.058517,0.633333,0.475373,600
moonshotai__kimi-k2.5,register_score,0.044521,0.633333,0.475373,600
moonshotai__kimi-k2.5,translationese_score,-0.382339,0.633333,0.475373,600
openai__gpt-5.2,extra_number_count,-0.306683,0.6,0.087603,600
openai__gpt-5.2,extra_number_ratio,-0.182886,0.6,0.087603,600
openai__gpt-5.2,extra_entity_count,0.195829,0.6,0.087603,600
openai__gpt-5.2,financial_register_score,0.057819,0.6,0.087603,600
openai__gpt-5.2,statistical_register_score,0.015609,0.6,0.087603,600
openai__gpt-5.2,register_score,0.048198,0.6,0.087603,600
openai__gpt-5.2,translationese_score,-0.391433,0.6,0.087603,600
