version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
claude-version,deepseek__deepseek-v4-flash,intercept,0.341163,0.064753,5.26866,0.0,0.214246,0.468079,True,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.091955,0.080598,1.140914,0.253906,-0.066016,0.249926,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,bidirectional_entailment,-0.005896,0.119415,-0.04937,0.960624,-0.239949,0.228158,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_boundary_risk,0.031114,0.066028,0.471219,0.637484,-0.098301,0.160528,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_omission_risk,-0.253609,0.107646,-2.355949,0.018475,-0.464595,-0.042622,True,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_contradiction_risk,0.015741,0.115635,0.136123,0.891724,-0.210904,0.242385,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,dependency_depth,-0.085405,0.077436,-1.102919,0.270062,-0.23718,0.066369,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,mean_dependency_distance,-0.119838,0.109215,-1.097268,0.272524,-0.3339,0.094223,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,normalized_dependency_distance,0.096338,0.110914,0.868581,0.385077,-0.121054,0.313729,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,clause_count,-0.009544,0.074151,-0.128717,0.897582,-0.15488,0.135791,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,modifier_density,0.156619,0.084133,1.861562,0.062665,-0.008282,0.321521,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,nominalization_ratio,0.084778,0.082651,1.025743,0.305013,-0.077217,0.246774,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,coordination_count,0.178459,0.080245,2.223917,0.026154,0.021178,0.33574,True,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.069144,0.077154,-0.896176,0.370159,-0.220366,0.082078,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,0.169943,0.094208,1.803909,0.071246,-0.014705,0.354591,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.837339,0.082005,-10.210892,0.0,-0.998068,-0.67661,True,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_passive_density,-0.215765,0.084512,-2.553087,0.010677,-0.381408,-0.050123,True,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,-0.186626,0.06788,-2.749332,0.005972,-0.319672,-0.05358,True,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.283903,0.073343,-3.870897,0.000108,-0.427655,-0.140151,True,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.063339,0.077197,0.820494,0.411935,-0.087966,0.214645,False,0.694167,1200,400
claude-version,deepseek__deepseek-v4-flash,target_avg_sentence_length,0.23163,0.090419,2.561755,0.010414,0.05441,0.408851,True,0.694167,1200,400
claude-version,google__gemini-3-flash-preview,intercept,-0.059374,0.070751,-0.839203,0.401355,-0.198047,0.079298,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.040805,0.083421,0.489144,0.62474,-0.1227,0.204309,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,bidirectional_entailment,0.068573,0.090656,0.756412,0.449402,-0.109112,0.246259,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,nli_boundary_risk,0.250132,0.085771,2.916274,0.003542,0.082021,0.418244,True,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,nli_omission_risk,-0.206987,0.087127,-2.375689,0.017516,-0.377757,-0.036218,True,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,nli_contradiction_risk,-0.204632,0.124595,-1.642371,0.100513,-0.448838,0.039575,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,dependency_depth,-0.038166,0.074191,-0.514421,0.606958,-0.18358,0.107249,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,mean_dependency_distance,-0.03546,0.109361,-0.324248,0.74575,-0.249807,0.178887,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,normalized_dependency_distance,0.083854,0.107389,0.780841,0.434896,-0.126629,0.294337,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,clause_count,0.078369,0.087676,0.893843,0.371406,-0.093477,0.250214,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,modifier_density,0.204501,0.075711,2.701058,0.006912,0.056106,0.352895,True,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,nominalization_ratio,0.171401,0.077304,2.217232,0.026607,0.019885,0.322917,True,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,coordination_count,0.056888,0.074725,0.761296,0.44648,-0.089574,0.20335,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,passive_or_beishi_count,-0.101546,0.076535,-1.326803,0.184574,-0.251554,0.048461,False,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,sentence_compression_ratio,0.303938,0.095516,3.182063,0.001462,0.116727,0.49115,True,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,target_function_word_density,-0.953193,0.084533,-11.276053,0.0,-1.118877,-0.787509,True,0.711667,1200,400
claude-version,google__gemini-3-flash-preview,target_passive_density,-0.207607,0.077459,-2.680208,0.007358,-0.359426,-0.055787,True,0.711667,1200,400
