version,direction,model,id,top_candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,EC,anthropic__claude-sonnet-4.6,001,B,9.0,5.0,4.621622,23.0,0.062454,0.495763,0.402597,6.0,0.0,1.287671,77.0,3.0,25.666667,2.101703675,0.516414992,0.740215521,0.326317888,-2.047364608,-0.082702019,0.553005408,1.632345359,-0.632943758,-2.068696584,4.747347017,19.608052568,-0.161190405
claude-version,EC,anthropic__claude-sonnet-4.6,002,B,17.0,5.0,4.463918,23.0,0.04602,0.462658,0.316832,3.0,14.0,1.730769,101.0,4.0,25.25,5.735825795,0.516414992,0.592185754,0.326317888,-2.400341353,-0.356148119,-0.268839205,0.491270684,15.967304682,-1.949817907,7.050170329,29.461345316,-0.201282774
claude-version,EC,anthropic__claude-sonnet-4.6,003,B,12.0,6.0,4.310345,26.0,0.049544,0.384416,0.344444,0.0,4.0,1.675676,90.0,3.0,30.0,3.46449947,1.384631187,0.448033573,0.63271966,-2.324651317,-1.0024242,-0.004246732,-0.649803992,4.109984367,-1.964598798,5.994709645,19.608052568,0.255769863
claude-version,EC,anthropic__claude-sonnet-4.6,004,C,17.0,5.0,3.675,22.0,0.045937,0.439286,0.423529,3.0,4.0,1.779412,85.0,5.0,17.0,5.735825795,0.516414992,-0.148336668,0.224183963,-2.402124063,-0.549199991,0.753586664,0.491270684,4.109984367,-1.936767486,5.514954788,39.314638064,-0.995111037
claude-version,EC,anthropic__claude-sonnet-4.6,005,A,15.0,5.0,3.77381,16.0,0.044926,0.49375,0.340909,8.0,2.0,1.573333,88.0,4.0,22.0,4.827295265,0.516414992,-0.055588093,-0.388619581,-2.42383877,-0.099329326,-0.038120932,2.39306181,1.738520305,-1.992056381,5.802807702,29.461345316,-0.514002998
claude-version,EC,anthropic__claude-sonnet-4.6,006,C,11.0,5.0,3.578125,21.0,0.055908,0.430769,0.402985,3.0,6.0,1.484848,67.0,3.0,22.333333,3.010234205,0.516414992,-0.239268945,0.122050039,-2.187962501,-0.619550102,0.556723425,0.491270684,6.48144843,-2.015796005,3.787837304,19.608052568,-0.481929161
claude-version,EC,anthropic__claude-sonnet-4.6,007,A,15.0,6.0,3.85567,28.0,0.039749,0.411446,0.376238,7.0,2.0,1.8,101.0,4.0,25.25,4.827295265,1.384631187,0.021250267,0.836987508,-2.535032673,-0.779157381,0.300419829,2.012703584,1.738520305,-1.931243936,7.050170329,29.461345316,-0.201282774
claude-version,EC,anthropic__claude-sonnet-4.6,008,A,11.0,4.0,3.97561,25.0,0.048483,0.523288,0.470588,1.0,2.0,1.765625,85.0,3.0,28.333333,3.010234205,-0.351801202,0.133832638,0.530585736,-2.347439946,0.144653482,1.204530356,-0.269445767,1.738520305,-1.940466398,5.514954788,19.608052568,0.095400484
claude-version,EC,anthropic__claude-sonnet-4.6,009,B,14.0,5.0,3.293103,22.0,0.028389,0.457353,0.418033,7.0,3.0,2.024096,122.0,6.0,20.333333,4.37303,0.516414992,-0.506806486,0.224183963,-2.779027795,-0.399967226,0.700921148,2.012703584,2.924252336,-1.871121263,9.065140727,49.167930811,-0.674372377
claude-version,EC,anthropic__claude-sonnet-4.6,010,B,7.0,5.0,4.634146,30.0,0.056514,0.577206,0.47619,1.0,1.0,1.317073,84.0,2.0,42.0,1.193173145,0.516414992,0.751971246,1.041255356,-2.174946564,0.590014206,1.258211619,-0.269445767,0.552788273,-2.060808328,5.419003817,9.75475982,1.410429154
claude-version,EC,anthropic__claude-sonnet-4.6,011,C,13.0,5.0,3.723684,20.0,0.048996,0.424219,0.329114,9.0,1.0,1.692308,79.0,3.0,26.333333,3.918764735,0.516414992,-0.102639152,0.019916115,-2.336421504,-0.673652864,-0.151146725,2.773420035,0.552788273,-1.960136602,4.93924896,19.608052568,-0.097042731
claude-version,EC,anthropic__claude-sonnet-4.6,012,B,12.0,6.0,4.714286,33.0,0.067347,0.535714,0.305556,5.0,0.0,1.412698,72.0,2.0,36.0,3.46449947,1.384631187,0.827195118,1.347657129,-1.942270583,0.247291791,-0.376891673,1.251987134,-0.632943758,-2.035153115,4.267592161,9.75475982,0.833099508
claude-version,EC,anthropic__claude-sonnet-4.6,013,B,11.0,7.0,3.944444,28.0,0.054784,0.523387,0.418919,7.0,0.0,1.584615,74.0,2.0,37.0,3.010234205,2.252847381,0.104578493,0.836987508,-2.212104271,0.145471218,0.709411259,2.012703584,-0.632943758,-1.989029536,4.459494104,9.75475982,0.929321116
claude-version,EC,anthropic__claude-sonnet-4.6,014,C,10.0,5.0,3.584615,28.0,0.055148,0.651961,0.426471,1.0,0.0,1.59322,68.0,3.0,22.666667,2.55596894,0.516414992,-0.233177069,0.836987508,-2.204286118,1.207487794,0.781778431,-0.269445767,-0.632943758,-1.986720902,3.883788276,19.608052568,-0.449855228
claude-version,EC,anthropic__claude-sonnet-4.6,015,C,8.0,8.0,4.053333,48.0,0.054044,0.539344,0.376623,3.0,4.0,1.590164,77.0,2.0,38.5,1.64743841,3.121063576,0.20678778,2.87966599,-2.22799832,0.27727546,0.304109098,0.491270684,4.109984367,-1.987540796,4.747347017,9.75475982,1.073653528
claude-version,EC,anthropic__claude-sonnet-4.6,016,B,15.0,6.0,4.86087,49.0,0.042268,0.531443,0.381356,5.0,2.0,1.765957,118.0,3.0,39.333333,4.827295265,1.384631187,0.964787033,2.981799914,-2.480928474,0.212013486,0.349463154,1.251987134,1.738520305,-1.940377326,8.681336841,19.608052568,1.153838169
claude-version,EC,anthropic__claude-sonnet-4.6,017,A,16.0,5.0,3.697368,26.0,0.04865,0.508594,0.3625,6.0,0.0,1.493151,80.0,4.0,20.0,5.28156053,0.516414992,-0.127340816,0.63271966,-2.343853046,0.023281575,0.168775204,1.632345359,-0.632943758,-2.013568395,5.035199931,29.461345316,-0.706446214
claude-version,EC,anthropic__claude-sonnet-4.6,018,C,9.0,5.0,3.948052,23.0,0.051273,0.405882,0.3375,4.0,3.0,1.656716,80.0,3.0,26.666667,2.101703675,0.516414992,0.107965163,0.326317888,-2.287515088,-0.825115819,-0.070787734,0.871628909,2.924252336,-1.969685572,5.035199931,19.608052568,-0.064968797
claude-version,EC,anthropic__claude-sonnet-4.6,019,B,14.0,5.0,4.217391,35.0,0.061122,0.611667,0.309859,9.0,1.0,1.394737,71.0,2.0,35.5,4.37303,0.516414992,0.360781766,1.551924977,-2.075973895,0.874660816,-0.3356581,2.773420035,0.552788273,-2.039971868,4.17164119,9.75475982,0.784988705
claude-version,EC,anthropic__claude-sonnet-4.6,020,A,15.0,5.0,3.839506,25.0,0.047401,0.473485,0.376471,0.0,0.0,2.032787,85.0,4.0,21.25,4.827295265,0.516414992,0.006077835,0.530585736,-2.370679622,-0.266717491,0.302652556,-0.649803992,-0.632943758,-1.868789556,5.514954788,29.461345316,-0.586169204
claude-version,EC,anthropic__claude-sonnet-4.6,021,B,14.0,6.0,4.602041,25.0,0.04696,0.53642,0.382353,9.0,0.0,1.782051,102.0,4.0,25.5,4.37303,1.384631187,0.721835703,0.530585736,-2.380151615,0.253123326,0.359016924,2.773420035,-0.632943758,-1.936059469,7.1461213,29.461345316,-0.177227372
claude-version,EC,anthropic__claude-sonnet-4.6,022,B,9.0,5.0,5.135593,30.0,0.087044,0.536275,0.377049,5.0,2.0,1.085366,61.0,2.0,30.5,2.101703675,0.516414992,1.222657359,1.041255356,-1.519209676,0.251925631,0.308191251,1.251987134,1.738520305,-2.122972954,3.212131476,9.75475982,0.303880666
claude-version,EC,anthropic__claude-sonnet-4.6,023,B,12.0,4.0,3.35443,18.0,0.042461,0.476812,0.46988,6.0,2.0,1.209302,83.0,4.0,20.75,3.46449947,-0.351801202,-0.449241544,-0.184351733,-2.476783134,-0.239236592,1.197745933,1.632345359,1.738520305,-2.089722188,5.323052845,29.461345316,-0.634280008
claude-version,EC,anthropic__claude-sonnet-4.6,024,A,14.0,4.0,5.116883,43.0,0.066453,0.446774,0.2875,3.0,1.0,1.464789,80.0,3.0,26.666667,4.37303,-0.351801202,1.205095109,2.36899637,-1.961472311,-0.487349382,-0.549913609,0.491270684,0.552788273,-2.02117763,5.035199931,19.608052568,-0.064968797
claude-version,EC,anthropic__claude-sonnet-4.6,025,C,5.0,4.0,2.901961,15.0,0.056901,0.477778,0.388889,1.0,0.0,1.133333,54.0,3.0,18.0,0.284642615,-0.351801202,-0.873954176,-0.490753505,-2.166634406,-0.231257467,0.421648258,-0.269445767,-0.632943758,-2.110103897,2.540474677,19.608052568,-0.898889429
claude-version,EC,anthropic__claude-sonnet-4.6,026,C,11.0,5.0,4.071429,33.0,0.058163,0.448148,0.383562,6.0,1.0,1.557377,73.0,3.0,24.333333,3.010234205,0.516414992,0.223773694,1.347657129,-2.13952861,-0.476000192,0.370602187,1.632345359,0.552788273,-1.996337214,4.363543132,19.608052568,-0.289485946
claude-version,EC,anthropic__claude-sonnet-4.6,027,C,11.0,5.0,5.222222,55.0,0.064472,0.43,0.421687,0.0,7.0,1.828125,83.0,2.0,41.5,3.010234205,0.516414992,1.303972168,3.594603459,-2.004021108,-0.625902014,0.735935667,-0.649803992,7.667180462,-1.923698285,5.323052845,9.75475982,1.36231835
claude-version,EC,anthropic__claude-sonnet-4.6,028,A,12.0,7.0,3.054795,14.0,0.041847,0.563281,0.447368,3.0,4.0,1.324675,76.0,3.0,25.333333,3.46449947,2.252847381,-0.730495662,-0.592887429,-2.489970898,0.474994211,0.982024299,0.491270684,4.109984367,-2.058768788,4.651396046,19.608052568,-0.193264338
claude-version,EC,anthropic__claude-sonnet-4.6,029,A,9.0,6.0,4.142857,23.0,0.059184,0.483621,0.444444,0.0,3.0,1.462687,72.0,2.0,36.0,2.101703675,1.384631187,0.290819998,0.326317888,-2.117599119,-0.182994499,0.954005018,-0.649803992,2.924252336,-2.021741576,4.267592161,9.75475982,0.833099508
claude-version,EC,anthropic__claude-sonnet-4.6,030,C,15.0,4.0,3.020408,15.0,0.03082,0.574706,0.330097,3.0,1.0,1.638554,103.0,5.0,20.6,4.827295265,-0.351801202,-0.762773217,-0.490753505,-2.726813698,0.569364297,-0.141727111,0.491270684,0.552788273,-1.974558252,7.242072272,39.314638064,-0.648713249
claude-version,EC,anthropic__claude-sonnet-4.6,031,C,17.0,4.0,4.606383,31.0,0.049004,0.490385,0.371134,1.0,2.0,1.9,97.0,3.0,32.333333,5.735825795,-0.351801202,0.725911346,1.14338928,-2.336249676,-0.127124104,0.25151066,-0.269445767,1.738520305,-1.904414955,6.666366444,19.608052568,0.480286915
claude-version,EC,anthropic__claude-sonnet-4.6,032,A,11.0,6.0,4.571429,41.0,0.065306,0.475439,0.361111,0.0,3.0,1.688525,72.0,2.0,36.0,3.010234205,1.384631187,0.693101573,2.164728521,-1.986108086,-0.250577522,0.155465087,-0.649803992,2.924252336,-1.961151542,4.267592161,9.75475982,0.833099508
claude-version,EC,anthropic__claude-sonnet-4.6,033,B,19.0,6.0,4.311111,46.0,0.047901,0.449324,0.290323,10.0,1.0,1.855072,93.0,3.0,31.0,6.644356325,1.384631187,0.448752583,2.675398142,-2.3599404,-0.466286475,-0.522862162,3.15377826,0.552788273,-1.916468679,6.282562558,19.608052568,0.35199147
claude-version,EC,anthropic__claude-sonnet-4.6,034,C,10.0,5.0,3.492308,18.0,0.053728,0.461111,0.391304,1.0,1.0,1.745455,69.0,4.0,17.25,2.55596894,0.516414992,-0.319821566,-0.184351733,-2.234785508,-0.368926282,0.444790038,-0.269445767,0.552788273,-1.945877803,3.979739247,29.461345316,-0.971055635
claude-version,EC,anthropic__claude-sonnet-4.6,035,B,15.0,6.0,3.942857,22.0,0.037551,0.432222,0.385321,7.0,3.0,1.705882,109.0,4.0,27.25,4.827295265,1.384631187,0.103088847,0.224183963,-2.582242293,-0.607548374,0.387457836,2.012703584,2.924252336,-1.956494836,7.8177781,29.461345316,-0.008839558
claude-version,EC,anthropic__claude-sonnet-4.6,036,A,11.0,6.0,3.867647,22.0,0.056877,0.5125,0.371429,2.0,2.0,1.446154,70.0,2.0,35.0,3.010234205,1.384631187,0.032492547,0.224183963,-2.167149889,0.055544993,0.254337503,0.110912458,1.738520305,-2.026177211,4.075690218,9.75475982,0.736877901
claude-version,EC,anthropic__claude-sonnet-4.6,037,B,23.0,6.0,5.330275,66.0,0.048902,0.486413,0.401786,10.0,3.0,1.717391,112.0,3.0,37.333333,8.461417384,1.384631187,1.405396739,4.718076624,-2.338440478,-0.15993268,0.545233986,3.15377826,2.924252336,-1.953407088,8.105631013,19.608052568,0.961394953
claude-version,EC,anthropic__claude-sonnet-4.6,038,C,11.0,6.0,4.101124,29.0,0.04608,0.557143,0.467391,1.0,2.0,1.6125,92.0,3.0,30.666667,3.010234205,1.384631187,0.251647077,0.939121432,-2.399052646,0.424294554,1.173895047,-0.269445767,1.738520305,-1.981548275,6.186611587,19.608052568,0.319917633
claude-version,EC,anthropic__claude-sonnet-4.6,039,B,17.0,5.0,3.694737,24.0,0.038892,0.490506,0.363636,2.0,1.0,2.057971,99.0,4.0,24.75,5.735825795,0.516414992,-0.12981042,0.428451812,-2.5534397,-0.126124649,0.179660944,0.110912458,0.552788273,-1.862032946,6.858268386,29.461345316,-0.249393577
claude-version,EC,anthropic__claude-sonnet-4.6,040,C,17.0,6.0,5.84,52.0,0.0584,0.567059,0.362745,9.0,4.0,1.626374,102.0,2.0,51.0,5.735825795,1.384631187,1.883853044,3.288201686,-2.134438219,0.506200354,0.171122921,2.773420035,4.109984367,-1.977826022,7.1461213,9.75475982,2.276423623
claude-version,EC,anthropic__claude-sonnet-4.6,041,A,17.0,5.0,3.628571,22.0,0.034558,0.387245,0.441441,1.0,3.0,1.974684,111.0,6.0,18.5,5.735825795,0.516414992,-0.191917517,0.224183963,-2.646527275,-0.979056763,0.925228718,-0.269445767,2.924252336,-1.884377999,8.009680042,49.167930811,-0.850778625
