version,direction,model,id,top_candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
kimi-version,EC,anthropic__claude-sonnet-4.6,001,B,10.0,7.0,5.24,40.0,0.069867,0.529661,0.376623,5.0,1.0,1.232877,77.0,2.0,38.5,2.55596894,2.252847381,1.32065959,2.062594597,-1.888144904,0.197294231,0.304109098,1.251987134,0.552788273,-2.083397256,4.747347017,9.75475982,1.073653528
kimi-version,EC,anthropic__claude-sonnet-4.6,002,B,16.0,5.0,3.771739,20.0,0.040997,0.482667,0.354167,3.0,13.0,1.666667,96.0,4.0,24.0,5.28156053,0.516414992,-0.057532049,0.019916115,-2.508227576,-0.190874504,0.088924085,0.491270684,14.78157265,-1.967015821,6.570415472,29.461345316,-0.321559783
kimi-version,EC,anthropic__claude-sonnet-4.6,003,B,12.0,6.0,3.679012,25.0,0.04542,0.417857,0.369048,0.0,3.0,1.567568,84.0,3.0,28.0,3.46449947,1.384631187,-0.144570782,0.530585736,-2.413228419,-0.726202753,0.231521528,-0.649803992,2.924252336,-1.993603072,5.419003817,19.608052568,0.063326647
kimi-version,EC,anthropic__claude-sonnet-4.6,004,C,15.0,4.0,3.422535,20.0,0.048205,0.427869,0.355263,3.0,4.0,1.558824,76.0,5.0,15.2,4.827295265,-0.351801202,-0.385314394,0.019916115,-2.353410953,-0.643503997,0.099426525,0.491270684,4.109984367,-1.995948998,4.651396046,39.314638064,-1.16830993
kimi-version,EC,anthropic__claude-sonnet-4.6,005,A,16.0,6.0,3.571429,18.0,0.046382,0.550758,0.333333,8.0,2.0,1.44,81.0,4.0,20.25,5.28156053,1.384631187,-0.245554184,-0.184351733,-2.392566156,0.371554685,-0.110718084,2.39306181,1.738520305,-2.027828266,5.131150903,29.461345316,-0.682390812
kimi-version,EC,anthropic__claude-sonnet-4.6,006,C,10.0,5.0,3.389831,21.0,0.057455,0.461,0.403226,3.0,4.0,1.333333,62.0,3.0,20.666667,2.55596894,0.516414992,-0.416012192,0.122050039,-2.154735348,-0.369843138,0.559032812,0.491270684,4.109984367,-2.056445935,3.308082448,19.608052568,-0.642298443
kimi-version,EC,anthropic__claude-sonnet-4.6,007,C,10.0,7.0,4.107143,24.0,0.048895,0.471528,0.352273,5.0,0.0,1.586667,88.0,4.0,22.0,2.55596894,2.252847381,0.257296846,0.428451812,-2.338590827,-0.28288224,0.070774797,1.251987134,-0.632943758,-1.988479005,5.802807702,29.461345316,-0.514002998
kimi-version,EC,anthropic__claude-sonnet-4.6,008,A,9.0,5.0,4.304348,29.0,0.062382,0.5475,0.375,1.0,1.0,1.515625,72.0,3.0,24.0,2.101703675,0.516414992,0.442404455,0.939121432,-2.048911056,0.344643724,0.288556673,-0.269445767,0.552788273,-2.00753885,4.267592161,19.608052568,-0.321559783
kimi-version,EC,anthropic__claude-sonnet-4.6,009,A,14.0,5.0,3.367347,19.0,0.034361,0.476705,0.336538,9.0,2.0,1.783133,104.0,6.0,17.333333,4.37303,0.516414992,-0.437116928,-0.082217809,-2.650758528,-0.240120408,-0.080006116,2.773420035,1.738520305,-1.93576918,7.338023243,49.167930811,-0.9630372
kimi-version,EC,anthropic__claude-sonnet-4.6,010,B,9.0,5.0,3.9125,30.0,0.048906,0.503676,0.439024,0.0,1.0,1.329268,82.0,2.0,41.0,2.101703675,0.516414992,0.074594074,1.041255356,-2.338354564,-0.017340927,0.902067773,-0.649803992,0.552788273,-2.057536533,5.227101874,9.75475982,1.314207547
kimi-version,EC,anthropic__claude-sonnet-4.6,011,B,9.0,5.0,3.871429,26.0,0.055306,0.428846,0.219178,7.0,1.0,1.461538,73.0,3.0,24.333333,2.101703675,0.516414992,0.036042543,0.63271966,-2.200892524,-0.635434012,-1.20461037,2.012703584,0.552788273,-2.022049841,4.363543132,19.608052568,-0.289485946
kimi-version,EC,anthropic__claude-sonnet-4.6,012,B,12.0,5.0,4.486111,27.0,0.062307,0.442727,0.28,5.0,0.0,1.365079,75.0,3.0,25.0,3.46449947,0.516414992,0.613017341,0.734853584,-2.050521939,-0.520777456,-0.62178249,1.251987134,-0.632943758,-2.047928807,4.555445075,19.608052568,-0.225338176
kimi-version,EC,anthropic__claude-sonnet-4.6,013,C,11.0,5.0,3.381818,23.0,0.061488,0.517347,0.298246,7.0,0.0,1.2,57.0,2.0,28.5,3.010234205,0.516414992,-0.42353364,0.326317888,-2.068112785,0.095581038,-0.446939876,2.012703584,-0.632943758,-2.09221782,2.828327591,9.75475982,0.111437451
