version,model,feature,standardized_coefficient,cluster_robust_se,z_cluster,p_cluster,ci95_low,ci95_high,cluster_significant_05,in_sample_accuracy,n_pairwise_observations,n_clusters
claude-version,deepseek__deepseek-v4-flash,intercept,0.344081,0.0652,5.277289,0.0,0.216288,0.471874,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,crosslingual_embedding_similarity,0.104121,0.083022,1.254139,0.209792,-0.058602,0.266845,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,bidirectional_entailment,-0.015615,0.118959,-0.131263,0.895567,-0.248774,0.217544,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_boundary_risk,0.015298,0.067651,0.226136,0.821096,-0.117298,0.147895,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_omission_risk,-0.255914,0.10747,-2.381267,0.017253,-0.466554,-0.045273,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,nli_contradiction_risk,0.037522,0.099845,0.375798,0.707067,-0.158175,0.233219,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,dependency_depth,-0.082101,0.078313,-1.048373,0.294467,-0.235595,0.071392,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,mean_dependency_distance,-0.146411,0.108478,-1.34968,0.177119,-0.359028,0.066206,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,normalized_dependency_distance,0.120708,0.111939,1.07834,0.280882,-0.098692,0.340108,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,clause_count,-0.022731,0.073741,-0.308256,0.757887,-0.167263,0.121801,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,modifier_density,0.179604,0.084651,2.1217,0.033863,0.013688,0.34552,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,nominalization_ratio,0.078725,0.084681,0.92966,0.352547,-0.087251,0.2447,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,coordination_count,0.19373,0.081884,2.36592,0.017985,0.033238,0.354222,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,passive_or_beishi_count,-0.067263,0.078331,-0.858702,0.390505,-0.220791,0.086265,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,sentence_compression_ratio,0.28406,0.101238,2.805857,0.005018,0.085633,0.482487,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,target_function_word_density,-0.811499,0.082449,-9.842433,0.0,-0.973099,-0.649899,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,target_passive_density,-0.215039,0.086723,-2.479596,0.013153,-0.385017,-0.045061,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,target_pronoun_subject_ratio,-0.188813,0.069874,-2.702202,0.006888,-0.325765,-0.05186,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,target_explicit_connective_density,-0.304775,0.073624,-4.13962,3.5e-05,-0.449077,-0.160472,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,target_nominalization_suffix_density,0.069523,0.075521,0.920584,0.357268,-0.078498,0.217544,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,target_avg_sentence_length,0.26304,0.092131,2.855058,0.004303,0.082463,0.443618,True,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,mtld,0.0,0.0,,,0.0,0.0,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,cohesion_mean_overlap,-0.018016,0.064733,-0.278313,0.780772,-0.144893,0.108861,False,0.6925,1200,400
claude-version,deepseek__deepseek-v4-flash,content_word_ratio,0.243909,0.097713,2.496191,0.012554,0.052393,0.435426,True,0.6925,1200,400
claude-version,google__gemini-3-flash-preview,intercept,-0.058106,0.071315,-0.814787,0.415194,-0.197883,0.081671,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,crosslingual_embedding_similarity,0.067909,0.083951,0.808908,0.418568,-0.096636,0.232454,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,bidirectional_entailment,0.041462,0.096119,0.431361,0.666206,-0.146931,0.229855,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,nli_boundary_risk,0.245156,0.087287,2.808625,0.004975,0.074074,0.416239,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,nli_omission_risk,-0.235118,0.092078,-2.55348,0.010665,-0.41559,-0.054646,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,nli_contradiction_risk,-0.134802,0.106021,-1.271469,0.203562,-0.342602,0.072998,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,dependency_depth,-0.027698,0.074386,-0.37235,0.709632,-0.173494,0.118099,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,mean_dependency_distance,-0.075248,0.10835,-0.69449,0.487375,-0.287614,0.137118,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,normalized_dependency_distance,0.110336,0.106118,1.03975,0.298456,-0.097655,0.318327,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,clause_count,0.052004,0.087455,0.594634,0.552088,-0.119408,0.223416,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,modifier_density,0.246395,0.077859,3.164618,0.001553,0.093791,0.398999,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,nominalization_ratio,0.156037,0.081119,1.923562,0.054409,-0.002956,0.31503,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,coordination_count,0.081238,0.073269,1.108754,0.267536,-0.06237,0.224846,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,passive_or_beishi_count,-0.099046,0.076982,-1.286622,0.198226,-0.24993,0.051838,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,sentence_compression_ratio,0.486321,0.099833,4.871335,1e-06,0.290648,0.681993,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,target_function_word_density,-0.925937,0.085007,-10.892447,0.0,-1.092552,-0.759323,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,target_passive_density,-0.21668,0.080747,-2.683428,0.007287,-0.374945,-0.058415,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,target_pronoun_subject_ratio,-0.137046,0.070401,-1.946655,0.051576,-0.275032,0.000939,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,target_explicit_connective_density,-0.289497,0.072972,-3.967234,7.3e-05,-0.432522,-0.146472,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,target_nominalization_suffix_density,-0.041463,0.080233,-0.51678,0.60531,-0.19872,0.115794,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,target_avg_sentence_length,0.326092,0.110469,2.951884,0.003158,0.109573,0.542612,True,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,mtld,0.0,0.0,,,0.0,0.0,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,cohesion_mean_overlap,0.135874,0.075427,1.80138,0.071643,-0.011964,0.283711,False,0.724167,1200,400
claude-version,google__gemini-3-flash-preview,content_word_ratio,0.370325,0.093029,3.980737,6.9e-05,0.187988,0.552663,True,0.724167,1200,400
claude-version,moonshotai__kimi-k2.5,intercept,0.234165,0.066936,3.498342,0.000468,0.102971,0.36536,True,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,crosslingual_embedding_similarity,-0.039563,0.092296,-0.42865,0.668178,-0.220462,0.141337,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,bidirectional_entailment,0.025444,0.101619,0.250388,0.802287,-0.173728,0.224617,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,nli_boundary_risk,0.211308,0.093108,2.269499,0.023238,0.028817,0.3938,True,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,nli_omission_risk,-0.175782,0.09418,-1.866443,0.061979,-0.360376,0.008811,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,nli_contradiction_risk,-0.157763,0.138852,-1.136196,0.255875,-0.429911,0.114386,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,dependency_depth,-0.021624,0.075544,-0.286237,0.774696,-0.16969,0.126443,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,mean_dependency_distance,-0.015085,0.112347,-0.134275,0.893185,-0.235286,0.205115,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,normalized_dependency_distance,-0.05972,0.114772,-0.520338,0.602828,-0.284673,0.165233,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,clause_count,0.034915,0.080541,0.433504,0.664649,-0.122946,0.192775,False,0.731667,1200,400
claude-version,moonshotai__kimi-k2.5,modifier_density,0.285521,0.08168,3.495621,0.000473,0.125429,0.445613,True,0.731667,1200,400
