version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
kimi-version,CE,001,A,13.0,7.0,4.113043,59.0,0.035766,0.582653,0.432203,5.0,6.0,0.701493,118.0,3.0,39.333333,4.313942741,0.895892151,0.986691342,3.15959958,-1.981262113,-0.19793908,-0.518874878,0.791753912,3.942294088,-1.773089825,6.358328962,6.149075968,0.811394939
kimi-version,CE,001,B,14.0,8.0,3.918182,57.0,0.03562,0.545833,0.442478,6.0,5.0,0.686567,113.0,3.0,37.666667,4.774224285,1.448162002,0.69407354,2.988762395,-1.984159931,-0.458332541,-0.431199387,1.120037315,3.190034025,-1.782217737,5.994289434,6.149075968,0.678758807
kimi-version,CE,001,C,13.0,12.0,3.919643,54.0,0.034997,0.498077,0.495652,3.0,9.0,0.664179,115.0,3.0,38.333333,4.313942741,3.657241403,0.696267487,2.732506616,-1.996525278,-0.796066114,0.022528744,0.135187105,6.199074279,-1.795908992,6.139905245,6.149075968,0.731813228
kimi-version,CE,002,A,17.0,6.0,3.858407,28.0,0.034145,0.623585,0.364407,15.0,0.0,0.550633,118.0,5.0,23.6,6.155068917,0.343622301,0.604310945,0.511623203,-2.013435833,0.091534716,-1.097370992,4.074587943,-0.571266292,-1.865347409,6.358328962,12.535735676,-0.440690622
kimi-version,CE,002,B,14.0,6.0,3.778761,27.0,0.03344,0.575,0.423729,15.0,0.0,0.588608,118.0,5.0,23.6,4.774224285,0.343622301,0.484708575,0.426204611,-2.027428722,-0.252061599,-0.591182626,4.074587943,-0.571266292,-1.842124012,6.358328962,12.535735676,-0.440690622
kimi-version,CE,002,C,18.0,6.0,3.760684,29.0,0.032143,0.590179,0.401639,15.0,2.0,0.594937,122.0,5.0,24.4,6.61535046,0.343622301,0.457562805,0.597041796,-2.053171668,-0.144714713,-0.779674265,4.074587943,0.933253835,-1.838253547,6.649560585,12.535735676,-0.377025253
kimi-version,CE,003,A,10.0,8.0,3.087379,29.0,0.029975,0.518,0.439252,6.0,7.0,0.677165,107.0,4.0,26.75,2.93309811,1.448162002,-0.553522168,0.597041796,-2.096202282,-0.655169348,-0.458726505,1.120037315,4.694554152,-1.787967477,5.557442,9.342405822,-0.190008232
kimi-version,CE,003,B,13.0,7.0,3.170213,25.0,0.033726,0.466667,0.459184,3.0,5.0,0.598425,98.0,4.0,24.5,4.313942741,0.895892151,-0.42913246,0.255367425,-2.021752174,-1.0181997,-0.288648852,0.135187105,3.190034025,-1.836120481,4.902170849,9.342405822,-0.369067082
kimi-version,CE,003,C,10.0,6.0,3.25,27.0,0.03125,0.555435,0.472222,3.0,3.0,0.685039,108.0,4.0,27.0,2.93309811,0.343622301,-0.309318353,0.426204611,-2.070895994,-0.390426566,-0.177396973,0.135187105,1.685513898,-1.783152176,5.630249906,9.342405822,-0.170112805
kimi-version,CE,004,A,12.0,5.0,2.913043,15.0,0.042218,0.467105,0.438356,6.0,0.0,0.547826,73.0,4.0,18.25,3.853661197,-0.208647549,-0.8153181,-0.598818503,-1.853202369,-1.015102135,-0.466371978,1.120037315,-0.571266292,-1.867064014,3.081973208,9.342405822,-0.866452777
kimi-version,CE,004,B,12.0,5.0,2.926471,14.0,0.043036,0.498649,0.430556,7.0,0.0,0.53913,72.0,4.0,18.0,3.853661197,-0.208647549,-0.795153614,-0.684237096,-1.836966648,-0.792020892,-0.532928555,1.448320718,-0.571266292,-1.872382004,3.009165302,9.342405822,-0.886348205
kimi-version,CE,004,C,12.0,6.0,2.9,15.0,0.041429,0.457895,0.418919,6.0,0.0,0.556522,74.0,4.0,18.5,3.853661197,0.343622301,-0.834904441,-0.598818503,-1.868862496,-1.08023586,-0.632225848,1.120037315,-0.571266292,-1.861746024,3.154781113,9.342405822,-0.846557349
kimi-version,CE,005,A,9.0,6.0,2.534483,13.0,0.043698,0.428571,0.349206,11.0,0.0,0.458716,63.0,5.0,12.6,2.472816566,0.343622301,-1.383792011,-0.769655689,-1.823827226,-1.287617117,-1.227079521,2.761454331,-0.571266292,-1.921558733,2.353894151,12.535735676,-1.316089444
kimi-version,CE,005,B,6.0,4.0,2.595745,10.0,0.055229,0.580645,0.45098,3.0,0.0,0.348624,51.0,4.0,12.75,1.091971935,-0.7609174,-1.291796426,-1.025911467,-1.594959138,-0.212139788,-0.358652718,0.135187105,-0.571266292,-1.988884876,1.480199283,9.342405822,-1.304152188
kimi-version,CE,005,C,9.0,6.0,2.955882,16.0,0.043469,0.425,0.5,12.0,1.0,0.59633,72.0,4.0,18.0,2.472816566,0.343622301,-0.750987864,-0.51339991,-1.828372434,-1.312871464,0.059629769,3.089737734,0.180993771,-1.837401666,3.009165302,9.342405822,-0.886348205
kimi-version,CE,006,A,6.0,8.0,3.395833,22.0,0.070747,0.44,0.54,6.0,0.0,0.6,50.0,2.0,25.0,1.091971935,1.448162002,-0.090324651,-0.000888353,-1.286956798,-1.206790477,0.400945549,1.120037315,-0.571266292,-1.835157298,1.407391378,2.955746113,-0.329276227
