model_1,model_2,same_pairwise_judgments,different_pairwise_judgments,total_pairwise_judgments,agreement
anthropic__claude-sonnet-4.6,deepseek__deepseek-v4-flash,440,160,600,0.733333
anthropic__claude-sonnet-4.6,google__gemini-3-flash-preview,463,137,600,0.771667
anthropic__claude-sonnet-4.6,moonshotai__kimi-k2.5,469,131,600,0.781667
anthropic__claude-sonnet-4.6,openai__gpt-5.2,457,143,600,0.761667
deepseek__deepseek-v4-flash,google__gemini-3-flash-preview,463,137,600,0.771667
deepseek__deepseek-v4-flash,moonshotai__kimi-k2.5,479,121,600,0.798333
deepseek__deepseek-v4-flash,openai__gpt-5.2,491,109,600,0.818333
google__gemini-3-flash-preview,moonshotai__kimi-k2.5,468,132,600,0.78
google__gemini-3-flash-preview,openai__gpt-5.2,460,140,600,0.766667
moonshotai__kimi-k2.5,openai__gpt-5.2,484,116,600,0.806667
