id,top1_entropy,disagreement_layer,top1_votes
022,1.521928,high,"{""A"": 1, ""B"": 2, ""C"": 2}"
011,1.370951,high,"{""A"": 1, ""B"": 1, ""C"": 3}"
045,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
082,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
105,1.370951,high,"{""A"": 3, ""B"": 1, ""C"": 1}"
154,1.370951,high,"{""A"": 1, ""B"": 3, ""C"": 1}"
026,0.970951,medium,"{""A"": 3, ""C"": 2}"
036,0.970951,medium,"{""A"": 3, ""B"": 2}"
044,0.970951,medium,"{""A"": 2, ""B"": 3}"
046,0.970951,medium,"{""A"": 3, ""B"": 2}"
048,0.970951,medium,"{""B"": 3, ""C"": 2}"
061,0.970951,medium,"{""A"": 3, ""B"": 2}"
064,0.970951,medium,"{""A"": 2, ""C"": 3}"
066,0.970951,medium,"{""A"": 2, ""C"": 3}"
067,0.970951,medium,"{""B"": 3, ""C"": 2}"
090,0.970951,medium,"{""A"": 3, ""C"": 2}"
093,0.970951,medium,"{""A"": 3, ""B"": 2}"
118,0.970951,medium,"{""B"": 3, ""C"": 2}"
119,0.970951,medium,"{""B"": 2, ""C"": 3}"
122,0.970951,medium,"{""A"": 2, ""B"": 3}"
123,0.970951,medium,"{""B"": 2, ""C"": 3}"
132,0.970951,medium,"{""A"": 2, ""B"": 3}"
143,0.970951,medium,"{""A"": 3, ""C"": 2}"
144,0.970951,medium,"{""B"": 2, ""C"": 3}"
185,0.970951,medium,"{""A"": 3, ""C"": 2}"
186,0.970951,medium,"{""A"": 2, ""C"": 3}"
006,0.721928,medium,"{""B"": 1, ""C"": 4}"
013,0.721928,medium,"{""B"": 1, ""C"": 4}"
020,0.721928,medium,"{""A"": 4, ""B"": 1}"
033,0.721928,medium,"{""A"": 1, ""B"": 4}"
034,0.721928,medium,"{""B"": 1, ""C"": 4}"
035,0.721928,medium,"{""A"": 1, ""C"": 4}"
060,0.721928,medium,"{""A"": 4, ""B"": 1}"
070,0.721928,medium,"{""A"": 4, ""C"": 1}"
071,0.721928,medium,"{""A"": 4, ""C"": 1}"
073,0.721928,medium,"{""B"": 1, ""C"": 4}"
075,0.721928,medium,"{""A"": 4, ""C"": 1}"
076,0.721928,medium,"{""A"": 1, ""C"": 4}"
077,0.721928,medium,"{""B"": 4, ""C"": 1}"
080,0.721928,medium,"{""A"": 1, ""B"": 4}"
085,0.721928,medium,"{""A"": 1, ""C"": 4}"
086,0.721928,medium,"{""A"": 4, ""C"": 1}"
088,0.721928,medium,"{""A"": 4, ""C"": 1}"
096,0.721928,medium,"{""A"": 1, ""B"": 4}"
097,0.721928,medium,"{""A"": 1, ""B"": 4}"
100,0.721928,medium,"{""B"": 1, ""C"": 4}"
104,0.721928,medium,"{""A"": 4, ""C"": 1}"
106,0.721928,medium,"{""A"": 1, ""B"": 4}"
117,0.721928,medium,"{""B"": 1, ""C"": 4}"
120,0.721928,medium,"{""B"": 4, ""C"": 1}"
121,0.721928,medium,"{""A"": 1, ""B"": 4}"
125,0.721928,medium,"{""A"": 1, ""B"": 4}"
128,0.721928,medium,"{""A"": 1, ""C"": 4}"
134,0.721928,medium,"{""A"": 1, ""B"": 4}"
136,0.721928,medium,"{""A"": 4, ""C"": 1}"
137,0.721928,medium,"{""B"": 1, ""C"": 4}"
140,0.721928,medium,"{""A"": 1, ""C"": 4}"
142,0.721928,medium,"{""A"": 4, ""B"": 1}"
146,0.721928,medium,"{""A"": 4, ""C"": 1}"
148,0.721928,medium,"{""A"": 1, ""B"": 4}"
151,0.721928,medium,"{""A"": 4, ""C"": 1}"
155,0.721928,medium,"{""B"": 4, ""C"": 1}"
163,0.721928,medium,"{""A"": 4, ""C"": 1}"
166,0.721928,medium,"{""B"": 1, ""C"": 4}"
168,0.721928,medium,"{""B"": 4, ""C"": 1}"
169,0.721928,medium,"{""B"": 1, ""C"": 4}"
170,0.721928,medium,"{""A"": 4, ""B"": 1}"
173,0.721928,medium,"{""A"": 4, ""B"": 1}"
174,0.721928,medium,"{""B"": 1, ""C"": 4}"
177,0.721928,medium,"{""A"": 4, ""B"": 1}"
178,0.721928,medium,"{""B"": 4, ""C"": 1}"
179,0.721928,medium,"{""A"": 1, ""B"": 4}"
184,0.721928,medium,"{""B"": 1, ""C"": 4}"
188,0.721928,medium,"{""A"": 4, ""C"": 1}"
189,0.721928,medium,"{""A"": 1, ""C"": 4}"
193,0.721928,medium,"{""A"": 1, ""B"": 4}"
194,0.721928,medium,"{""A"": 1, ""B"": 4}"
195,0.721928,medium,"{""B"": 1, ""C"": 4}"
001,0.0,unanimous,"{""B"": 5}"
002,0.0,unanimous,"{""B"": 5}"
003,0.0,unanimous,"{""B"": 5}"
004,0.0,unanimous,"{""C"": 5}"
005,0.0,unanimous,"{""A"": 5}"
007,0.0,unanimous,"{""C"": 5}"
008,0.0,unanimous,"{""A"": 5}"
009,0.0,unanimous,"{""A"": 5}"
010,0.0,unanimous,"{""B"": 5}"
012,0.0,unanimous,"{""B"": 5}"
014,0.0,unanimous,"{""C"": 5}"
015,0.0,unanimous,"{""C"": 5}"
016,0.0,unanimous,"{""B"": 5}"
017,0.0,unanimous,"{""A"": 5}"
018,0.0,unanimous,"{""B"": 5}"
019,0.0,unanimous,"{""B"": 5}"
021,0.0,unanimous,"{""B"": 5}"
023,0.0,unanimous,"{""B"": 5}"
024,0.0,unanimous,"{""A"": 5}"
025,0.0,unanimous,"{""C"": 5}"
027,0.0,unanimous,"{""C"": 5}"
028,0.0,unanimous,"{""A"": 5}"
029,0.0,unanimous,"{""A"": 5}"
030,0.0,unanimous,"{""C"": 5}"
031,0.0,unanimous,"{""C"": 5}"
032,0.0,unanimous,"{""A"": 5}"
037,0.0,unanimous,"{""B"": 5}"
038,0.0,unanimous,"{""C"": 5}"
039,0.0,unanimous,"{""B"": 5}"
040,0.0,unanimous,"{""C"": 5}"
041,0.0,unanimous,"{""A"": 5}"
042,0.0,unanimous,"{""C"": 5}"
043,0.0,unanimous,"{""B"": 5}"
047,0.0,unanimous,"{""B"": 5}"
049,0.0,unanimous,"{""B"": 5}"
050,0.0,unanimous,"{""B"": 5}"
051,0.0,unanimous,"{""A"": 5}"
052,0.0,unanimous,"{""B"": 5}"
053,0.0,unanimous,"{""C"": 5}"
054,0.0,unanimous,"{""B"": 5}"
055,0.0,unanimous,"{""C"": 5}"
056,0.0,unanimous,"{""C"": 5}"
057,0.0,unanimous,"{""B"": 5}"
058,0.0,unanimous,"{""B"": 5}"
059,0.0,unanimous,"{""B"": 5}"
062,0.0,unanimous,"{""A"": 5}"
063,0.0,unanimous,"{""B"": 5}"
065,0.0,unanimous,"{""C"": 5}"
068,0.0,unanimous,"{""B"": 5}"
069,0.0,unanimous,"{""B"": 5}"
072,0.0,unanimous,"{""B"": 5}"
074,0.0,unanimous,"{""A"": 5}"
078,0.0,unanimous,"{""C"": 5}"
079,0.0,unanimous,"{""C"": 5}"
081,0.0,unanimous,"{""C"": 5}"
083,0.0,unanimous,"{""A"": 5}"
084,0.0,unanimous,"{""A"": 5}"
087,0.0,unanimous,"{""A"": 5}"
089,0.0,unanimous,"{""C"": 5}"
091,0.0,unanimous,"{""A"": 5}"
092,0.0,unanimous,"{""C"": 5}"
094,0.0,unanimous,"{""B"": 5}"
095,0.0,unanimous,"{""C"": 5}"
098,0.0,unanimous,"{""A"": 5}"
099,0.0,unanimous,"{""B"": 5}"
101,0.0,unanimous,"{""C"": 5}"
102,0.0,unanimous,"{""A"": 5}"
103,0.0,unanimous,"{""A"": 5}"
107,0.0,unanimous,"{""C"": 5}"
108,0.0,unanimous,"{""B"": 5}"
109,0.0,unanimous,"{""C"": 5}"
110,0.0,unanimous,"{""B"": 5}"
111,0.0,unanimous,"{""B"": 5}"
112,0.0,unanimous,"{""C"": 5}"
113,0.0,unanimous,"{""A"": 5}"
114,0.0,unanimous,"{""B"": 5}"
115,0.0,unanimous,"{""B"": 5}"
116,0.0,unanimous,"{""B"": 5}"
124,0.0,unanimous,"{""A"": 5}"
126,0.0,unanimous,"{""A"": 5}"
127,0.0,unanimous,"{""C"": 5}"
129,0.0,unanimous,"{""B"": 5}"
130,0.0,unanimous,"{""C"": 5}"
131,0.0,unanimous,"{""C"": 5}"
133,0.0,unanimous,"{""B"": 5}"
135,0.0,unanimous,"{""A"": 5}"
138,0.0,unanimous,"{""C"": 5}"
139,0.0,unanimous,"{""A"": 5}"
141,0.0,unanimous,"{""A"": 5}"
145,0.0,unanimous,"{""B"": 5}"
147,0.0,unanimous,"{""C"": 5}"
149,0.0,unanimous,"{""C"": 5}"
150,0.0,unanimous,"{""A"": 5}"
152,0.0,unanimous,"{""A"": 5}"
153,0.0,unanimous,"{""B"": 5}"
156,0.0,unanimous,"{""B"": 5}"
157,0.0,unanimous,"{""A"": 5}"
158,0.0,unanimous,"{""A"": 5}"
159,0.0,unanimous,"{""A"": 5}"
160,0.0,unanimous,"{""A"": 5}"
161,0.0,unanimous,"{""A"": 5}"
162,0.0,unanimous,"{""B"": 5}"
164,0.0,unanimous,"{""B"": 5}"
165,0.0,unanimous,"{""A"": 5}"
167,0.0,unanimous,"{""B"": 5}"
171,0.0,unanimous,"{""B"": 5}"
172,0.0,unanimous,"{""C"": 5}"
175,0.0,unanimous,"{""B"": 5}"
176,0.0,unanimous,"{""A"": 5}"
180,0.0,unanimous,"{""B"": 5}"
181,0.0,unanimous,"{""A"": 5}"
182,0.0,unanimous,"{""B"": 5}"
183,0.0,unanimous,"{""B"": 5}"
187,0.0,unanimous,"{""C"": 5}"
190,0.0,unanimous,"{""B"": 5}"
191,0.0,unanimous,"{""B"": 5}"
192,0.0,unanimous,"{""A"": 5}"
196,0.0,unanimous,"{""A"": 5}"
197,0.0,unanimous,"{""A"": 5}"
198,0.0,unanimous,"{""B"": 5}"
199,0.0,unanimous,"{""B"": 5}"
200,0.0,unanimous,"{""A"": 5}"
